Dataset_id,Name,Provider,Snippet,Tags,DOI,Website
Dataset_1,Canada AAFC Annual Crop Inventory,Agriculture and Agri-Food Canada,AAFC/ACI,"canada, crop, landcover",,https://developers.google.com/earth-engine/datasets/catalog/AAFC_ACI
Dataset_2,Allen Coral Atlas (ACA) - Geomorphic Zonation and Benthic Habitat - v2.0,Allen Coral Atlas Partnership (ACA),ACA/reef_habitat/v2_0,"ocean, sentinel2-derived",https://doi.org/10.5281/zenodo.3833242,https://developers.google.com/earth-engine/datasets/catalog/ACA_reef_habitat_v2_0
Dataset_3,"AHN Netherlands 0.5m DEM, Interpolated",AHN,AHN/AHN2_05M_INT,"ahn, dem, elevation, geophysical, lidar, netherlands",,https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN2_05M_INT
Dataset_4,"AHN Netherlands 0.5m DEM, Non-Interpolated",AHN,AHN/AHN2_05M_NON,"ahn, dem, elevation, geophysical, lidar, netherlands",,https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN2_05M_NON
Dataset_5,"AHN Netherlands 0.5m DEM, Raw Samples",AHN,AHN/AHN2_05M_RUW,"ahn, dem, elevation, geophysical, lidar, netherlands",,https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN2_05M_RUW
Dataset_6,ASTER L1T Radiance,NASA LP DAAC at the USGS EROS Center,ASTER/AST_L1T_003,"aster, imagery, nasa, nir, radiance, swir, terra, thermal, toa, usgs",https://doi.org/10.5067/ASTER/AST_L1T.003,https://developers.google.com/earth-engine/datasets/catalog/ASTER_AST_L1T_003
Dataset_7,Australian 5M DEM,Geoscience Australia,AU/GA/AUSTRALIA_5M_DEM,"australia, dem, elevation, ga, geophysical, geoscience-australia, lidar",https://doi.org/10.4225/25/5652419862E23,https://developers.google.com/earth-engine/datasets/catalog/AU_GA_AUSTRALIA_5M_DEM
Dataset_8,DEM-H: Australian SRTM Hydrologically Enforced Digital Elevation Model,Geoscience Australia,AU/GA/DEM_1SEC/v10/DEM-H,"australia, dem, elevation, ga, geophysical, geoscience-australia, smoothed, srtm",,https://developers.google.com/earth-engine/datasets/catalog/AU_GA_DEM_1SEC_v10_DEM-H
Dataset_9,DEM-S: Australian Smoothed Digital Elevation Model,Geoscience Australia,AU/GA/DEM_1SEC/v10/DEM-S,"australia, dem, elevation, ga, geophysical, geoscience-australia, smoothed, srtm",,https://developers.google.com/earth-engine/datasets/catalog/AU_GA_DEM_1SEC_v10_DEM-S
Dataset_10,Global Map of Oil Palm Plantations,Biopama programme,BIOPAMA/GlobalOilPalm/v1,"biodiversity, conservation, crop, global, landuse",https://doi.org/10.5281/zenodo.4473715,https://developers.google.com/earth-engine/datasets/catalog/BIOPAMA_GlobalOilPalm_v1
