ancestor_note,sub_note,similarity1,similarity2,similarity3
Data Acquisition And Preprocessing,Spatial Analysis,0,0,0
Data Preparation,Data Acquisition And Preprocessing,0.757440925,0.5018242,0.757440925
Import/Load Data,Data Preparation,0.411125273,0.905560514,0.905560514
Covering Grid Generation,Import/Load Data,0.325824738,0.880781001,0.880781001
Binary Image Creation,Import/Load Data,0.167062029,0.880781001,0.880781001
Ancillary Layer Computation,Import/Load Data,0.299093336,0.880781001,0.880781001
Select Data,Data Acquisition And Preprocessing,0.428720921,0.572482305,0.572482305
Select Image,Select Data,0.567200005,0.852072402,0.852072402
Select Specific Bands From Images,Select Image,0.639779687,0.845730578,0.845730578
Limit The Number Of Images,Select Image,0.399825811,0.845730578,0.845730578
Selects Temperature Data,Select Image,0.241093144,0.877639576,0.877639576
Selects Air Temperature Data,Selects Temperature Data,0.876446962,0.920762382,0.920762382
Selects Surface Temperature Data,Selects Temperature Data,0.859672666,0.920762382,0.920762382
Select And Clip Image,Select Image,0.867275059,0.845730578,0.867275059
Select Specific Polarization From Images,Select Data,0.336619914,0.764071772,0.764071772
Select Land Cover Types,Select Data,0.342039675,0.764071772,0.764071772
Select DEM,Select Data,0.598344684,0.764071772,0.764071772
Select Index,Select Data,0.707772851,0.764071772,0.764071772
Area Of Interest Selection,Select Data,0.293488294,0.764071772,0.764071772
Data Filtering,Data Acquisition And Preprocessing,0.50611341,0.722772913,0.722772913
Filter Image Collection,Data Filtering,0.65964359,0.724571756,0.724571756
Filter Image Collection By Time,Filter Image Collection,0.896588862,0.863840782,0.896588862
Filter Image Collection By Date,Filter Image Collection By Time,0.922703803,0.896528853,0.922703803
Filter Image Collection By Month,Filter Image Collection By Time,0.856729686,0.896528853,0.896528853
Filter Image Collection By Year,Filter Image Collection By Time,0.867342949,0.896528853,0.896528853
Filter Image Collection By Region,Filter Image Collection,0.885343373,0.808413842,0.885343373
Filter Image Collection By Bounds,Filter Image Collection,0.886702895,0.808413842,0.886702895
Filter Image Collection By Date And Region,Filter Image Collection,0.848941565,0.808413842,0.848941565
Filter Image Collection By Date And Boundaries,Filter Image Collection,0.85105449,0.808413842,0.85105449
Filter Image Collection By Cloud Coverage,Filter Image Collection,0.819747269,0.808413842,0.819747269
Filter Images,Data Filtering,0.643259227,0.734304138,0.734304138
Filter Images by wind conditions,Filter Images,0.767729759,0.798318753,0.798318753
Filter And Process Images For Water Detection,Filter Images,0.695361793,0.798318753,0.798318753
Filter Images By Time,Filter Images,0.857731104,0.853549341,0.857731104
