Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity,Head_Entity_update,Tail_Entity_update,Tail_Entity_update_pair
1,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Clear pixel mask application,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Image Cloud Masking,Image Cloud Masking
2,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Clear pixel mask application,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Image Cloud Masking,Image Cloud Masking
3,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Cloud and cloud shadow mask application,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Cloud And Shade Masking,Calculates Normalized Difference Water Index (NDWI)
4,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Cloud and cloud shadow mask application,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Cloud And Shade Masking,Calculates Normalized Difference Water Index (NDWI)
5,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Digital number to surface reflectance conversion,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Conversion Feature Collection,Create Median Composite Of Images
6,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Digital number to surface reflectance conversion,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Conversion Feature Collection,Create Median Composite Of Images
7,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Image collection filtering by location and date,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Image Collection By Date And Region,Filter Image Collection By Date And Region
8,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Image collection filtering by location and date,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Filter Image Collection By Date And Region,Filter Image Collection By Date And Region
9,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Reflectance conversion operation,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Image Mapping,Visualize Images In Different Band Combinations
10,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Visualization generation,"USGS Landsat 8 Level 2, Collection 2, Tier 1",'Visualization And Output Generation',Export Processed Images To Drive
