ID,Script_ID,Entity_Type,Value,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_BAAI,Top1_Similarity_BAAI,Value_GPT3.5,Usage
1,script_102957.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.9255800247192384,LAND USE/LAND COVER CLASSIFICATION,0.8051952123641968,LAND USE/LAND COVER CLASSIFICATION,7423
2,script_10376.txt,Theme,Landsat imagery processing,SATELLITE SOIL MOISTURE INDEX,0.818571925163269,LANDSCAPE PROCESSES,0.6698857545852661,REMOTE SENSING,7423
3,script_103827.txt,Theme,Flood monitoring in Gujarat,FLOOD LEVELS,0.8221942186355591,FLOOD LEVELS,0.6210231184959412,FLOODS,7423
4,script_106121.txt,Theme,Image reprojection for geospatial data export,Digital Surface Model (DSM),0.7909662127494812,GEOMAGNETISM,0.6066144108772278,GEOGRAPHIC INFORMATION SYSTEMS (GIS),7423
5,script_10828.txt,Theme,NDVI calculation and visualization,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.823727548122406,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.6963736414909363,VEGETATION INDEX,7423
6,script_110133.txt,Theme,Flood extent analysis,FLOOD LEVELS,0.8886827230453491,INUNDATION AMOUNT,0.6521865725517273,LAND USE/LAND COVER,7416
7,script_115907.txt,Theme,NDVI trend analysis in various vegetation types,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.8864954710006714,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.7672986388206482,VEGETATION INDEX,7416
8,script_118175.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.9255800247192384,LAND USE/LAND COVER CLASSIFICATION,0.8051952123641968,LAND USE/LAND COVER CLASSIFICATION,7416
9,script_118175.txt,Theme,Vegetation health assessment,VEGETATION INDEX,0.8988751173019409,VEGETATION,0.6701139211654663,VEGETATION INDEX,7416
10,script_119133.txt,Theme,Wildfire severity assessment,FIRE WEATHER INDEX,0.8891007900238037,FOREST FIRE DANGER INDEX,0.611409604549408,FIRE MANAGEMENT,7416
11,script_119133.txt,Theme,Binary fire incident classification,FIRE OCCURRENCE,0.8457961678504944,FIRE MODELS,0.6085295677185059,VEGETATION INDEX,7412
12,script_11983.txt,Theme,Vegetation analysis,VEGETATION INDEX,0.9112643003463744,VEGETATION,0.7123562097549438,VEGETATION SPECIES,7412
13,script_11983.txt,Theme,NDVI calculation,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.8218573331832886,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.6938648819923401,VEGETATION INDEX,7412
14,script_11983.txt,Theme,Temporal vegetation change monitoring,PLANT PHENOLOGICAL CHANGES,0.8521043062210083,FOREST MENSURATION,0.7278655171394348,VEGETATION INDEX,7412
15,script_120271.txt,Theme,NDVI extraction and visualization,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.8321045637130737,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.6565432548522949,VEGETATION INDEX,7412
16,script_120557.txt,Theme,Water frequency detection,WATER VAPOR INDICATORS,0.8535640239715576,FLOOD FREQUENCY,0.7315270900726318,SURFACE WATER,7415
17,script_120557.txt,Theme,Vegetation frequency detection,VEGETATION INDEX,0.8774875998497009,VEGETATION OPTICAL DEPTH,0.7253111600875854,VEGETATION INDEX,7415
18,script_125294.txt,Theme,Landsat image processing for environmental monitoring,SATELLITE SOIL MOISTURE INDEX,0.8218510150909424,LANDSCAPE PROCESSES,0.6531752943992615,LAND USE/LAND COVER CLASSIFICATION,7415
19,script_131942.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.9255800247192384,LAND USE/LAND COVER CLASSIFICATION,0.8051952123641968,LAND USE/LAND COVER CLASSIFICATION,7415
20,script_144864.txt,Theme,Land cover classification using NDVI values,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.8995788097381592,LAND USE/LAND COVER CLASSIFICATION,0.6922347545623779,LAND USE/LAND COVER CLASSIFICATION,7415
21,script_146128.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.9255800247192384,LAND USE/LAND COVER CLASSIFICATION,0.8051952123641968,LAND USE/LAND COVER CLASSIFICATION,7422
22,script_15043.txt,Theme,Land cover classification using RF and CART algorithms,LAND USE/LAND COVER CLASSIFICATION,0.8273391723632812,LAND USE/LAND COVER CLASSIFICATION,0.6769052743911743,LAND USE/LAND COVER CLASSIFICATION,7422
23,script_155017.txt,Theme,Land surface temperature analysis,LAND SURFACE TEMPERATURE,0.8869411945343018,LAND SURFACE TEMPERATURE,0.7992053031921387,LAND SURFACE TEMPERATURE,7422
