ID,Script_ID,Entity_Type,Value,Value_BAAI
1,script_102957.txt,Function,Filters images by geographic bounds of Los Angeles.,Filter Image Collection By Bounds
2,script_102957.txt,Function,Filters images by date range from January to April 2022.,Filter Images By Year
3,script_102957.txt,Function,Applies cloud and shadow masking to images.,Cloud And Shade Masking
4,script_102957.txt,Function,Converts digital numbers to surface reflectance values.,Surface Reflectance Correction
5,script_102957.txt,Function,Creates a median composite of the processed images.,Create Median Composite Of Images
6,script_10376.txt,Function,Filters image collection by date and location,Filter Image Collection By Date And Region
7,script_10376.txt,Function,Applies scale factors to images,Apply Scale Factors To Image
8,script_10376.txt,Function,Visualizes images in different band combinations,Visualize Images In Different Band Combinations
9,script_10376.txt,Function,Exports processed images to Google Drive,Export Processed Images To Google Drive
10,script_103827.txt,Function,Filter feature collection by metadata,Filter Feature Collection
11,script_103827.txt,Function,Create date objects for image filtering,Filter Images By Date
12,script_103827.txt,Function,Filter image collection by date and polarization,Filter Image Collection By Date
13,script_103827.txt,Function,Calculate mean of image collection,Calculates Median Of Image Collection
14,script_103827.txt,Function,Clip image to specific region,Clip Images To A Specific Region
15,script_103827.txt,Function,Visualize image data with custom settings,Visualize Data With Specific Color Palettes
16,script_103827.txt,Function,Create interactive map panels,Display Interactive Map
17,script_103827.txt,Function,Link maps for synchronized viewing,Link Maps For Synchronized Viewing
18,script_103827.txt,Function,Add layer selection controls to maps,Layer Addition To Map
19,script_106121.txt,Function,Filters image collection by cloud cover percentage,Filter Image Collection By Cloud Coverage
20,script_106121.txt,Function,Filters image collection by date range,Filter Image Collection By Date
21,script_106121.txt,Function,Filters image collection by spatial boundary,Filter Image Collection By Bounds
22,script_106121.txt,Function,Selects specific bands from the image,Select Specific Bands From Images
23,script_106121.txt,Function,Extracts projection information from an image band,Select Specific Bands From Images
24,script_106121.txt,Function,Reprojects image to a specified coordinate system,Image Reprojection
25,script_106121.txt,Function,Exports image to Google Drive in GeoTIFF format,Export Processed Images To Google Drive
26,script_106121.txt,Function,Displays image on a map with specified visualization parameters,Visualize Radar Images With Specific Visualization Parameters
27,script_10828.txt,Function,"Mask clouds, shadows, and snow from images",Cloud And Snow Masking
28,script_10828.txt,Function,Calculate Normalized Infrared Vegetation Index (NIRV),Calculate Normalized Infrared Vegetation Index (NIRV)
29,script_10828.txt,Function,Apply linear interpolation to fill data gaps,Apply Techniques To  Correct And Fill Data Gaps
30,script_10828.txt,Function,Visualize original and smoothed imagery,Enhancing Image Visualization
31,script_10828.txt,Function,Export processed data for specific geographic points,Export Processed Data
32,script_110133.txt,Function,Filter and select Sentinel-1 data by parameters,Filter And Select
33,script_110133.txt,Function,Create mosaics of images before and after the flood,Generates Visual Comparisons Of Pre- And Post-Event Images
34,script_110133.txt,Function,Smooth radar speckle in images,Smooth Radar Speckle In Images
