Script_ID,Value,Counts
script_102957.txt,Clear Pixel Masking,7
script_102957.txt,Cloud And Cloud Shadow Masking,6
script_102957.txt,Create Median Composite Of Images,5
script_102957.txt,Filter Image Collection By Bounds,4
script_102957.txt,Filter Image Collection By Time,5
script_10376.txt,Export Processed Images To Drive,5
script_10376.txt,Filter Image Collection By Date And Boundaries,5
script_10376.txt,Surface Reflectance Correction,3
script_10376.txt,Visualize Images In Different Band Combinations,5
script_103827.txt,Clip Images To A Specific Region,6
script_103827.txt,Enhancing Image Visualization,4
script_103827.txt,Filter Images By Date,3
script_103827.txt,Generate Image Composites,4
script_106121.txt,Export Processed Images To Google Drive,6
script_106121.txt,Filter Image Collection By Cloud Coverage,6
script_106121.txt,Image Reprojection,7
script_106121.txt,Select Specific Bands From Images,9
script_10828.txt,Cloud And Shade Masking,4
script_10828.txt,Computes Normalized Difference Vegetation Index (NDVI),3
script_10828.txt,Export Results,4
script_10828.txt,Filter Feature Collection,4
script_10828.txt,Filter Image Collection,5
script_10828.txt,Image Cloud Masking,3
script_10828.txt,Interpolate Missing Values,3
script_10828.txt,Performs Linear Interpolation,3
script_10828.txt,Reduction Of Image Regions,5
script_110133.txt,Flood Area Calculation,3
script_115907.txt,Add NDVI Band To Images,7
script_115907.txt,Data Filtering,3
script_115907.txt,Generate Time Series Charts For NDVI,4
script_115907.txt,Image Cloud Masking,6
script_118175.txt,Apply Scale Factors To Image,8
script_118175.txt,Calculates Modified Normalized Difference Water Index (MNDWI),3
script_118175.txt,Calculates Normalized Difference Water Index (NDWI),6
script_118175.txt,Clip Images To A Specific Region,4
script_118175.txt,Compute Median Of NDVI,4
script_118175.txt,Filter Image Collection By Time,4
script_118175.txt,Filter Images By Cloud Cover,3
script_118175.txt,Image Cloud Masking,6
script_118175.txt,Image Mosaicking,4
script_118175.txt,Quality Mosaic Generation,3
script_119133.txt,Apply Mask To Classification Results,6
script_119133.txt,Calculate Difference Normalized Burn Ratio (dNBR),5
script_119133.txt,Cluster Analysis,6
script_119133.txt,Compute Difference Between Pre- And Post-Fire NBR,3
script_119133.txt,Generate Visualizations And Statistical Charts For Classification Results,5
script_119133.txt,Severity Classification,5
script_119133.txt,Training Data Creation,7
script_11983.txt,Anomaly Calculation,9
script_11983.txt,Cloud And Shade Masking,6
script_11983.txt,Compute Median Of NDVI,3
script_11983.txt,Filter Image Collection,3
script_11983.txt,Generate Image Composites,4
script_11983.txt,Image Differencing,6
script_120271.txt,Add NDVI Band To Images,6
script_120271.txt,Calculates Median Of Image Collection,3
script_120271.txt,Clip Images To A Specific Region,8
script_120271.txt,Create Median Composite Of Images,3
script_120271.txt,Filter Image Collection By Cloud Coverage,5
script_120271.txt,Gradient Calculation,6
script_120271.txt,Visualize NDVI Results,5
script_120557.txt,Cloud And Shade Masking,3
script_120557.txt,Decision Tree Classification,4
script_120557.txt,Filter Image Collection By Region,5
script_125294.txt,Clip Images To A Specific Region,6
script_125294.txt,Export Processed Images To Drive,4
script_125294.txt,Export Processed Images To Google Drive,4
script_125294.txt,Filter Image Collection By Cloud Coverage,5
script_125294.txt,Image Cloud Masking,6
script_125294.txt,Reduce Image Collection To Minimum Value,3
script_125294.txt,Visualize Images In Different Band Combinations,4
script_131942.txt,Clip Images To A Specific Region,4
script_131942.txt,Exporting Classified Images,5
script_131942.txt,Image Cloud Masking,3
script_131942.txt,Image Reprojection,3
script_144864.txt,Area Calculation,7
script_144864.txt,Compute Median Of NDVI,3
script_144864.txt,Image Cloud Masking,5
script_144864.txt,Land Cover Classification And Mapping,3
script_146128.txt,Classification,3
script_146128.txt,Filter Images By Region,4
script_146128.txt,Merge Feature Collections,5
script_146128.txt,Sort Image Collections By Cloud Cover,6
script_146128.txt,Training CART Classifier,3
script_146128.txt,Training Data Creation,4
script_146128.txt,Trains And Applies Classifier,4
script_15043.txt,Accuracy Assessment,4
script_15043.txt,Feature Importance Analysis,3
script_15043.txt,Feature Importance Calculation,7
script_15043.txt,Generate Visualizations And Statistical Charts For Classification Results,4
script_15043.txt,Generating Confusion Matrix,4
script_15043.txt,Sampling Regions For Training Data,7
script_15043.txt,Split Data Into Training And Testing Sets,3
script_15043.txt,Train And Apply Random Forest Classifier,3
script_15043.txt,Training CART Classifier,6
script_155017.txt,Clip Images To A Specific Region,6
script_155017.txt,Convert And Format Spatial Data For Export,3
