Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity,Head_Entity_update,Tail_Entity_update
1,script_102957.txt,LANDSAT/LC09/C02/T1_L2,Be_Acted_On,Filters images by geographic bounds of Los Angeles.,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Image Collection By Bounds
2,script_102957.txt,LANDSAT/LC09/C02/T1_L2,Be_Acted_On,Filters images by date range from January to April 2022.,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Images By Year
3,script_102957.txt,LANDSAT/LC09/C02/T1_L2,Be_Acted_On,Applies cloud and shadow masking to images.,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Cloud And Shade Masking
4,script_102957.txt,LANDSAT/LC09/C02/T1_L2,Be_Acted_On,Converts digital numbers to surface reflectance values.,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Surface Reflectance Correction
5,script_102957.txt,LANDSAT/LC09/C02/T1_L2,Be_Acted_On,Creates a median composite of the processed images.,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Create Median Composite Of Images
6,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,Be_Acted_On,Filters images by geographic bounds of Los Angeles.,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Filter Image Collection By Bounds
7,script_10376.txt,LANDSAT/LC08/C02/T1_L2,Be_Acted_On,Filters image collection by date and location,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Filter Image Collection By Date And Region
8,script_10376.txt,LANDSAT/LC08/C02/T1_L2,Be_Acted_On,Applies scale factors to images,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Apply Scale Factors To Image
9,script_10376.txt,LANDSAT/LC08/C02/T1_L2,Be_Acted_On,Visualizes images in different band combinations,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Visualize Images In Different Band Combinations
10,script_10376.txt,LANDSAT/LC08/C02/T1_L2,Be_Acted_On,Exports processed images to Google Drive,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Export Processed Images To Google Drive
11,script_103827.txt,users/hrishippatel/IndiaStates,Be_Acted_On,Filter feature collection by metadata,users/hrishippatel/,Filter Feature Collection
12,script_103827.txt,users/hrishippatel/IndiaStates,Be_Acted_On,Clip image to specific region,users/hrishippatel/,Clip Images To A Specific Region
13,script_103827.txt,COPERNICUS/S1_GRD,Be_Acted_On,Create date objects for image filtering,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filter Images By Date
14,script_103827.txt,COPERNICUS/S1_GRD,Be_Acted_On,Filter image collection by date and polarization,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filter Image Collection By Date
15,script_103827.txt,COPERNICUS/S1_GRD,Be_Acted_On,Calculate mean of image collection,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Calculates Median Of Image Collection
16,script_103827.txt,COPERNICUS/S1_GRD,Be_Acted_On,Visualize image data with custom settings,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Visualize Data With Specific Color Palettes
17,script_106121.txt,COPERNICUS/S2,Be_Acted_On,Filters image collection by cloud cover percentage,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Image Collection By Cloud Coverage
18,script_106121.txt,COPERNICUS/S2,Be_Acted_On,Filters image collection by date range,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Image Collection By Date
19,script_106121.txt,COPERNICUS/S2,Be_Acted_On,Filters image collection by spatial boundary,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Image Collection By Bounds
20,script_106121.txt,COPERNICUS/S2,Be_Acted_On,Selects specific bands from the image,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Select Specific Bands From Images
21,script_106121.txt,COPERNICUS/S2,Be_Acted_On,Extracts projection information from an image band,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Select Specific Bands From Images
22,script_106121.txt,COPERNICUS/S2,Be_Acted_On,Reprojects image to a specified coordinate system,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Image Reprojection
23,script_106121.txt,COPERNICUS/S2,Be_Acted_On,Exports image to Google Drive in GeoTIFF format,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Export Processed Images To Google Drive
24,script_106121.txt,COPERNICUS/S2,Be_Acted_On,Displays image on a map with specified visualization parameters,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Visualize Radar Images With Specific Visualization Parameters
25,script_10828.txt,MODIS/006/MOD09A1,Be_Acted_On,"Mask clouds, shadows, and snow from images",MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Cloud And Snow Masking
26,script_10828.txt,MODIS/006/MOD09A1,Be_Acted_On,Calculate Normalized Infrared Vegetation Index (NIRV),MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Calculate Normalized Infrared Vegetation Index (NIRV)
27,script_10828.txt,MODIS/006/MOD09A1,Be_Acted_On,Apply linear interpolation to fill data gaps,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Apply Techniques To  Correct And Fill Data Gaps
28,script_10828.txt,MODIS/006/MOD09A1,Be_Acted_On,Visualize original and smoothed imagery,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Enhancing Image Visualization
29,script_10828.txt,MODIS/006/MOD09A1,Be_Acted_On,Export processed data for specific geographic points,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Export Processed Data
30,script_10828.txt,users/kongdd/public:Math/pkg_smooth.js,Be_Acted_On,Apply linear interpolation to fill data gaps,users/kongdd/public:Math/,Apply Techniques To  Correct And Fill Data Gaps
31,script_10828.txt,users/kongdd/public:pkg_vis.js,Be_Acted_On,Visualize original and smoothed imagery,users/kongdd/,Enhancing Image Visualization
32,script_110133.txt,COPERNICUS/S1_GRD,Be_Acted_On,Filter and select Sentinel-1 data by parameters,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filter And Select
33,script_110133.txt,COPERNICUS/S1_GRD,Be_Acted_On,Create mosaics of images before and after the flood,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Generates Visual Comparisons Of Pre- And Post-Event Images
34,script_110133.txt,COPERNICUS/S1_GRD,Be_Acted_On,Smooth radar speckle in images,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Smooth Radar Speckle In Images
35,script_110133.txt,COPERNICUS/S1_GRD,Be_Acted_On,Calculate difference between before and after images,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Generates Visual Comparisons Of Pre- And Post-Event Images
36,script_110133.txt,COPERNICUS/S1_GRD,Be_Acted_On,Apply threshold to identify flood extent,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Apply Threshold To Identify Flood Extent
