Script_ID,Head_Entity_update,Tail_Entity_update
script_102957.txt,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Image Collection By Bounds
script_102957.txt,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Surface Reflectance Correction
script_102957.txt,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Create Median Composite Of Images
script_102957.txt,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Filter Image Collection By Bounds
script_10376.txt,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Export Processed Images To Google Drive
script_103827.txt,users/hrishippatel/,Clip Images To A Specific Region
script_103827.txt,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filter Images By Date
script_103827.txt,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filter Image Collection By Date
script_106121.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Image Collection By Cloud Coverage
script_106121.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Image Collection By Date
script_106121.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Select Specific Bands From Images
script_106121.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Image Reprojection
script_106121.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Export Processed Images To Google Drive
script_110133.txt,"JRC Global Surface Water Mapping Layers, v1.4",Mask Areas To Refine Flood Detection
script_115907.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Image Cloud Masking
script_115907.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Add NDVI Band To Images
script_115907.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Add NDVI Band To Images
script_115907.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Generate Time Series Charts For NDVI
script_115907.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Generate Time Series Charts For NDVI
script_118175.txt,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Apply Scale Factors To Image
script_118175.txt,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Apply Scale Factors To Image
script_118175.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Image Mosaicking
script_119133.txt,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Calculate Difference Normalized Burn Ratio (dNBR)
script_119133.txt,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Compute Difference Between Pre- And Post-Fire NBR
script_119133.txt,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Calculate NBR for Post-Fire Image
script_119133.txt,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Classify And Visualize Burn Severity
script_119133.txt,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Severity Classification
script_11983.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Cloud And Shade Masking
script_11983.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Creates Animation Of NDVI Over Time
script_11983.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Generate Time Series Charts
script_11983.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Anomaly Calculation
script_120271.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Filter Image Collection By Cloud Coverage
script_120271.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Clip Images To A Specific Region
script_120271.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Visualize NDVI Results
script_120557.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Cloud And Shade Masking
script_125294.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Image Cloud Masking
script_125294.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Reduce Image Collection To Minimum Value
script_125294.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Clip Images To A Specific Region
script_125294.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Link Maps For Synchronized Viewing
script_125294.txt,users/GeoForPy/Tesis/,Filter Images By Cloud Cover
script_125294.txt,users/GeoForPy/Tesis/,Clip Images To A Specific Region
script_131942.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Image Cloud Masking
script_131942.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Clip Images To A Specific Region
script_131942.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Image Reprojection
script_131942.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Convert Raster To Vector
script_131942.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Export Processed Images To Drive
script_144864.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Compute Median Of NDVI
script_146128.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Sort Image Collections By Cloud Cover
script_15043.txt,users/abuhafsgaa/,Visualize Classified Data And Indices
script_15043.txt,users/abuhafsgaa/,Sampling Regions For Training Data
