ID,Script_ID,Entity_Type,Value,Value_BAAI,Top1_Similarity_BAAI
1,script_102957.txt,Theme,Surface reflectance mapping in urban areas,APPARENT SURFACE REFLECTIVITY,0.730573177
2,script_10376.txt,Theme,Remote sensing of land cover,LAND USE/LAND COVER,0.668048978
3,script_103827.txt,Theme,Flood monitoring using Sentinel-1 imagery,FLOOD FREQUENCY,0.68432647
4,script_106121.txt,Theme,Satellite image processing and reprojection,PHOTOSYNTHESIS,0.633933663
5,script_10828.txt,Theme,Vegetation Index Analysis and Interpolation,VEGETATION INDEX,0.721455216
6,script_110133.txt,Theme,Flood extent analysis and impact assessment,INUNDATION AMOUNT,0.668870568
7,script_115907.txt,Theme,Vegetation monitoring and analysis using NDVI indices,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.77268219
8,script_118175.txt,Theme,Environmental monitoring and change detection,MARINE ENVIRONMENT MONITORING,0.692322969
9,script_119133.txt,Theme,Wildfire impact assessment on vegetation,FOREST MENSURATION,0.649683595
10,script_11983.txt,Theme,Vegetation monitoring using NDVI indices,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.771190405
11,script_120271.txt,Theme,Vegetation analysis using NDVI,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.762412071
12,script_120557.txt,Theme,Water and vegetation frequency analysis,FLOOD FREQUENCY,0.719438076
13,script_125294.txt,Theme,Landsat imagery analysis for environmental monitoring,RADAR IMAGERY,0.612320364
14,script_131942.txt,Theme,Land cover classification using satellite imagery,LAND USE/LAND COVER CLASSIFICATION,0.738997102
15,script_144864.txt,Theme,Land cover classification using NDVI,LAND USE/LAND COVER CLASSIFICATION,0.71004951
16,script_146128.txt,Theme,Fire impact analysis on land cover,LAND USE/LAND COVER CLASSIFICATION,0.62028265
17,script_15043.txt,Theme,Land cover classification and accuracy assessment,LAND USE/LAND COVER CLASSIFICATION,0.739264905
18,script_155017.txt,Theme,Land surface temperature analysis for settlements,LAND SURFACE TEMPERATURE,0.736633241
19,script_159299.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.805195093
20,script_159299.txt,Theme,Urban and rural land analysis,LAND USE/LAND COVER CLASSIFICATION,0.654799044
21,script_165234.txt,Theme,Vegetation analysis using MODIS satellite imagery,VEGETATION OPTICAL DEPTH,0.643847466
22,script_173652.txt,Theme,Land cover change detection and analysis,LAND USE/LAND COVER CLASSIFICATION,0.688638747
23,script_174376.txt,Theme,Land cover classification using multispectral imagery,LAND USE/LAND COVER CLASSIFICATION,0.699599624
24,script_174474.txt,Theme,Vegetation change analysis using NDVI,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.760643125
25,script_174747.txt,Theme,Land Surface Temperature Analysis,LAND SURFACE TEMPERATURE,0.790771842
26,script_176914.txt,Theme,Land cover classification and area calculation,LAND USE/LAND COVER CLASSIFICATION,0.744144678
27,script_179626.txt,Theme,Land surface temperature analysis,LAND SURFACE TEMPERATURE,0.799205124
28,script_179626.txt,Theme,Vegetation index calculation,VEGETATION INDEX,0.77828902
29,script_180257.txt,Theme,Vegetation analysis using remote sensing data,FOREST MENSURATION,0.668636441
30,script_186294.txt,Theme,Vegetation health monitoring using NDVI,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.749244928
31,script_186319.txt,Theme,Forest monitoring and change detection,FOREST MENSURATION,0.795195699
