ID,Script_ID,Value_BAAI
1,script_102957.txt,APPARENT SURFACE REFLECTIVITY
2,script_10376.txt,LAND USE/LAND COVER
3,script_103827.txt,FLOOD FREQUENCY
4,script_106121.txt,PHOTOSYNTHESIS
5,script_10828.txt,VEGETATION INDEX
6,script_110133.txt,INUNDATION AMOUNT
7,script_115907.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)
8,script_118175.txt,MARINE ENVIRONMENT MONITORING
9,script_119133.txt,FOREST MENSURATION
10,script_11983.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)
11,script_120271.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)
12,script_120557.txt,FLOOD FREQUENCY
13,script_125294.txt,RADAR IMAGERY
14,script_131942.txt,LAND USE/LAND COVER CLASSIFICATION
15,script_144864.txt,LAND USE/LAND COVER CLASSIFICATION
16,script_146128.txt,LAND USE/LAND COVER CLASSIFICATION
17,script_15043.txt,LAND USE/LAND COVER CLASSIFICATION
18,script_155017.txt,LAND SURFACE TEMPERATURE
19,script_159299.txt,LAND USE/LAND COVER CLASSIFICATION
20,script_159299.txt,LAND USE/LAND COVER CLASSIFICATION
21,script_165234.txt,VEGETATION OPTICAL DEPTH
22,script_173652.txt,LAND USE/LAND COVER CLASSIFICATION
23,script_174376.txt,LAND USE/LAND COVER CLASSIFICATION
24,script_174474.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)
25,script_174747.txt,LAND SURFACE TEMPERATURE
26,script_176914.txt,LAND USE/LAND COVER CLASSIFICATION
27,script_179626.txt,LAND SURFACE TEMPERATURE
28,script_179626.txt,VEGETATION INDEX
29,script_180257.txt,FOREST MENSURATION
30,script_186294.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)
31,script_186319.txt,FOREST MENSURATION
32,script_186320.txt,FOREST MENSURATION
33,script_186321.txt,FOREST MENSURATION
34,script_186323.txt,FOREST MENSURATION
35,script_186325.txt,FOREST MENSURATION
36,script_186326.txt,FOREST MENSURATION
37,script_186326.txt,SOLAR IMAGERY
38,script_186329.txt,FOREST MENSURATION
39,script_186329.txt,DEFORESTATION
40,script_186329.txt,FOREST MENSURATION
41,script_186332.txt,LAND USE/LAND COVER CLASSIFICATION
42,script_186332.txt,NUTRIENT CYCLING
43,script_186333.txt,FOREST COMPOSITION/VEGETATION STRUCTURE
44,script_186334.txt,SOIL CLASSIFICATION
45,script_186338.txt,CLIMATE ADAPTATION
46,script_186356.txt,LAND USE/LAND COVER CLASSIFICATION
48,script_186365.txt,WATER QUALITY INDEXES
49,script_186365.txt,HEAT INDEX
50,script_186365.txt,SPECTRAL IRRADIANCE
51,script_186365.txt,SENSOR CHARACTERISTICS
52,script_186365.txt,SPECTRAL IRRADIANCE
53,script_186378.txt,FOREST MENSURATION
54,script_186380.txt,MARINE ENVIRONMENT MONITORING
55,script_186411.txt,LAND USE/LAND COVER
56,script_186411.txt,FIRE WEATHER INDEX
57,script_186418.txt,SURFACE THERMAL PROPERTIES
58,script_186442.txt,AGRICULTURAL ENGINEERING
59,script_186449.txt,LAND USE/LAND COVER CLASSIFICATION
60,script_186466.txt,FOREST MENSURATION
61,script_186503.txt,LAND USE/LAND COVER CLASSIFICATION
62,script_186507.txt,FOREST MENSURATION
63,script_186521.txt,LAND USE/LAND COVER
64,script_186521.txt,FOREST MENSURATION
65,script_186528.txt,LAND USE/LAND COVER CLASSIFICATION
66,script_186540.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)
67,script_186548.txt,SURFACE WATER FEATURES
68,script_186562.txt,FOREST MENSURATION
69,script_186562.txt,FOREST MENSURATION
70,script_186562.txt,FOREST MENSURATION
71,script_186570.txt,FOREST MENSURATION
72,script_186570.txt,DEFORESTATION
73,script_186570.txt,FOREST MENSURATION
74,script_186601.txt,FOREST MENSURATION
75,script_186605.txt,FOREST MENSURATION
76,script_186605.txt,DEFORESTATION
77,script_186605.txt,FOREST MENSURATION
78,script_186607.txt,FOREST MENSURATION
79,script_186815.txt,FOREST MENSURATION
80,script_186822.txt,LAND SURFACE/AGRICULTURE INDICATORS
81,script_186829.txt,FOREST MENSURATION
82,script_186829.txt,SURFACE THERMAL PROPERTIES
83,script_186856.txt,RADAR IMAGERY
84,script_186886.txt,FOREST MENSURATION
85,script_186886.txt,DEFORESTATION
86,script_186886.txt,FOREST MENSURATION
87,script_186888.txt,SOIL TEMPERATURE
88,script_186892.txt,FOREST MENSURATION
89,script_186914.txt,POPULATION ESTIMATES
90,script_186915.txt,FLOOD FREQUENCY
91,script_186940.txt,FOREST MENSURATION
92,script_186974.txt,WATER CHARACTERISTICS
93,script_187038.txt,WATER CHARACTERISTICS
94,script_187125.txt,SURFACE WATER FEATURES
95,script_187131.txt,FIRE MANAGEMENT
96,script_187137.txt,AMBIENT TEMPERATURE
97,script_187138.txt,FOREST MENSURATION
98,script_187138.txt,REGIONAL CLIMATE LEVELS
99,script_187138.txt,LAND USE/LAND COVER
100,script_187226.txt,SOLAR IMAGERY
101,script_187248.txt,LAND SURFACE TEMPERATURE
102,script_187248.txt,VEGETATION INDEX
103,script_187481.txt,RADAR IMAGERY
104,script_187523.txt,RADAR IMAGERY
105,script_187528.txt,RADAR IMAGERY
106,script_187530.txt,RADAR IMAGERY
107,script_187532.txt,RADAR BACKSCATTER
108,script_187533.txt,RADAR IMAGERY
109,script_187534.txt,RADAR IMAGERY
110,script_187535.txt,RADAR BACKSCATTER
111,script_187582.txt,LAND USE/LAND COVER CLASSIFICATION
112,script_187585.txt,VEGETATION INDEX
113,script_187586.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)
114,script_187587.txt,VEGETATION INDEX
115,script_187738.txt,SOIL CLASSIFICATION
116,script_187749.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)
117,script_187821.txt,FIRE MANAGEMENT
118,script_187822.txt,FIRE WEATHER INDEX
119,script_187825.txt,FIRE MANAGEMENT
120,script_187888.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)
121,script_187895.txt,SOIL TEXTURE
122,script_188011.txt,SURFACE THERMAL PROPERTIES
123,script_188030.txt,VEGETATION INDEX
124,script_188052.txt,WATER CHARACTERISTICS
125,script_188068.txt,INUNDATION AMOUNT
126,script_188068.txt,FLOODING
127,script_188073.txt,INUNDATION AMOUNT
128,script_188116.txt,LAND USE/LAND COVER CLASSIFICATION
129,script_188147.txt,LAND USE/LAND COVER CLASSIFICATION
131,script_188147.txt,WATER MASSES
132,script_188163.txt,MARINE ENVIRONMENT MONITORING
133,script_188163.txt,AGRICULTURE PRODUCTION
134,script_188163.txt,CLIMATE ADAPTATION
135,script_188163.txt,LAND USE/LAND COVER CLASSIFICATION
136,script_188182.txt,LAND USE/LAND COVER
137,script_188190.txt,LAND USE/LAND COVER CLASSIFICATION
138,script_188200.txt,LAND USE/LAND COVER CLASSIFICATION
139,script_188211.txt,WATER CHARACTERISTICS
140,script_188217.txt,LAND USE/LAND COVER
141,script_188221.txt,AMBIENT TEMPERATURE
142,script_188378.txt,LAND PRODUCTIVITY
143,script_188386.txt,LAND USE/LAND COVER
144,script_188389.txt,LAND USE/LAND COVER
145,script_188397.txt,FIRE MODELS
146,script_188400.txt,AEROSOL CONCENTRATION
147,script_188401.txt,VIRTUAL TEMPERATURE
148,script_188412.txt,LAND SURFACE TEMPERATURE
149,script_188413.txt,SOIL TEMPERATURE
150,script_188414.txt,LAND SURFACE TEMPERATURE
151,script_188419.txt,LAND SURFACE TEMPERATURE
152,script_188454.txt,CLOUD VERTICAL DISTRIBUTION
153,script_188455.txt,CLOUD VERTICAL DISTRIBUTION
154,script_188458.txt,CLOUD VERTICAL DISTRIBUTION
155,script_188465.txt,VIEWING GEOMETRY
156,script_188502.txt,WATER CHARACTERISTICS
157,script_188506.txt,CLOUD VERTICAL DISTRIBUTION
158,script_188509.txt,CLOUD EMISSIVITY
159,script_188511.txt,CLOUD DYNAMICS
160,script_188511.txt,SURFACE PRECIPITATION
161,script_188511.txt,RAIN TYPE
162,script_19155.txt,LAND USE/LAND COVER CLASSIFICATION
163,script_23533.txt,LAND USE/LAND COVER
165,script_3043.txt,SOIL MOISTURE/WATER CONTENT
166,script_32.txt,SNOW COVER
167,script_35538.txt,VEGETATION WATER CONTENT
168,script_37873.txt,LAND USE/LAND COVER CLASSIFICATION
169,script_41838.txt,LAND USE/LAND COVER CLASSIFICATION
170,script_42.txt,FOREST MENSURATION
171,script_43.txt,FOREST MENSURATION
172,script_43803.txt,RADAR IMAGERY
173,script_45435.txt,LEAF AREA INDEX (LAI)
174,script_48.txt,LAND USE/LAND COVER
