Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity,Head_Entity_update,Tail_Entity_update,Tail_Entity_update_pair
1,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Filter images by location,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Filter Images By Region,Filter Image Collection By Date And Region
2,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filter images by location,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Images By Region,Filter Image Collection By Date And Region
3,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filter images by date,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Images By Date,Filter Image Collection By Date
4,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Mask clear pixels,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Clear Pixel Masking,Clear Pixel Masking
5,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Mask clouds and shadows,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Cloud And Shade Masking,Image Cloud Masking
6,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Convert DN to SR,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Data Conversion,Data Conversion
7,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Create median composite,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Create Median Composite Of Images,Calculates Median Of Image Collection
8,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Add layer to map,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Layer Addition To Map,Visualize True Color Images
9,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Filter image collection by date,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Filter Image Collection By Date,Filter Image Collection By Date
10,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Filter image collection by bounds,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Filter Image Collection By Bounds,Filter Image Collection
11,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Display dataset layers,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Visualize Data Layers,Layer Addition To Map
12,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Select first image from collection,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Select Image,Image Mosaicking
13,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Clip image to extent,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Clip Images To A Specific Region,Clip Images To A Specific Region
14,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Convert bands to reflectance,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Calculate Data For Specific Spectral Bands,Surface Reflectance Correction
15,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Display image layers,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Visualize Data Layers,Layer Addition To Map
16,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Visualize image in true color,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Visualize True Color Images,Visualize True Color Images
17,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Visualize image in color infrared,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Enhancing Image Visualization,Compute Median Of NDVI
18,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Export image to Google Drive,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Export Processed Images To Google Drive,Export Processed Images To Google Drive
19,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Clip image to region,users/hrishippatel/,Clip Images To A Specific Region,Clip Images To A Specific Region
20,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Filter image collection by date range,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filter Image Collection By Date,Filter Image Collection By Date
21,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Filter image collection by polarization,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Select Specific Polarization From Images,Select Specific Polarization From Images
22,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Filter image collection by instrument mode,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filter Image Collection,Filter Image Collection By Cloud Coverage
23,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Select specific polarization band,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Select Specific Polarization From Images,Select Specific Polarization From Images
24,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Calculate mean of image collection,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Calculates Mean Of Image Collection,Calculate Urban Green Density
25,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Visualize image with specific parameters,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Visualize Radar Images With Specific Visualization Parameters,Display Specific Spectral Bands And Colors
26,script_106121.txt,COPERNICUS/S2,ActOn,Filter images by cloud coverage,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage
27,script_106121.txt,COPERNICUS/S2,ActOn,Filter images by date range,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Images By Date,Filter Image Collection By Date
28,script_106121.txt,COPERNICUS/S2,ActOn,Filter images by geographic bounds,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Images By Region,Filter Image Collection By Date And Region
29,script_106121.txt,COPERNICUS/S2,ActOn,Select image bands,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Select Specific Bands From Images,Calculates Modified Normalized Difference Water Index (MNDWI)
30,script_106121.txt,COPERNICUS/S2,ActOn,Get image projection,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Image Reprojection,Image Reprojection
31,script_106121.txt,COPERNICUS/S2,ActOn,Reproject image,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Image Reprojection,Image Reprojection
32,script_106121.txt,COPERNICUS/S2,ActOn,Export image to Google Drive,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Export Processed Images To Google Drive,Export Processed Images To Google Drive
33,script_106121.txt,COPERNICUS/S2,ActOn,Visualize image on map,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Display Interactive Map,Generate Time Series Charts
34,script_10828.txt,MODIS/006/MOD09A1,ActOn,Mask clouds and shadows,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Cloud And Shade Masking,Image Cloud Masking
35,script_10828.txt,MODIS/006/MOD09A1,ActOn,Calculate NIRv,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Calculate Normalized Infrared Vegetation Index (NIRV),Computes Normalized Difference Vegetation Index (NDVI)
36,script_10828.txt,MODIS/006/MOD09A1,ActOn,Filter image collection by date,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Filter Image Collection By Date,Filter Image Collection By Date
37,script_10828.txt,MODIS/006/MOD09A1,ActOn,Reduce regions to points,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Reduction Of Image Regions,Reduction Of Image Regions
38,script_10828.txt,MODIS/006/MOD09A1,ActOn,Export data to Drive,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Export Processed Data To Drive,Export Processed Images To Google Drive
39,script_10828.txt,users/kongdd/public:Math/pkg_smooth.js,ActOn,Apply linear interpolation,users/kongdd/public:Math/,Performs Linear Interpolation,Performs Linear Interpolation
40,script_10828.txt,users/kongdd/public:pkg_vis.js,ActOn,Visualize data,users/kongdd/,Data Visualization,Visualize Temperature Data
41,script_110133.txt,users/felixgeooperations/Drin/20210112_Drin_flood,ActOn,Display results on map,users/felixgeooperations/Drin/,Display Interactive Map,Generate Time Series Charts
42,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Filter image collection by parameters,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filter Image Collection,Filter Image Collection By Cloud Coverage
43,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Select images by date,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filter Images By Date,Filter Image Collection By Date
44,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Create mosaic and clip to area,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Clip Images To A Specific Region,Clip Images To A Specific Region
45,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Smooth radar images,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Smooth Radar Speckle In Images,Focal Median Smoothing
46,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Calculate image difference,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Image Differencing,Image Differencing
47,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Apply threshold to difference image,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Image Differencing,Image Differencing
48,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Calculate flood extent area,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Flood Area Calculation,Flood Area Calculation
