ID,Script_ID,Entity_Type,Value,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_BAAI,Top1_Similarity_BAAI,Value_GPT4o,Usage
1,script_102957.txt,Theme,Landsat imagery analysis for Los Angeles,MESOSPHERIC CLOUDS (OBSERVED/ANALYZED),0.790155411,RADAR IMAGERY,0.57506454,LAND USE/LAND COVER CLASSIFICATION,7340
2,script_10376.txt,Theme,Landsat 8 imagery analysis for September 2021,BERYLLIUM-10 ANALYSIS,0.78841722,LANDFALL INTENSITY,0.502521336,LAND USE/LAND COVER CLASSIFICATION,7340
3,script_103827.txt,Theme,Flood analysis in Gujarat using Sentinel-1 imagery,FLOOD LEVELS,0.823630929,FLOOD LEVELS,0.585539997,FLOODS,7340
4,script_106121.txt,Theme,Sentinel-2 image reprojection,RADAR IMAGERY,0.804162383,ISOSTATIC REBOUND,0.612356842,LAND USE/LAND COVER CLASSIFICATION,7340
5,script_106121.txt,Theme,Cloud filtering,CLOUD DYNAMICS,0.891813159,INFILTRATION,0.687356889,CLOUDS,7340
6,script_106121.txt,Theme,Export to Google Drive,GNETOPS,0.764720798,FEED STORAGE,0.511535525,COMMUNICATIONS,7311
7,script_10828.txt,Theme,NIRv calculation,NET RADIATION,0.816029549,INFILTRATION RATE,0.56827569,VEGETATION INDEX,7311
8,script_10828.txt,Theme,Cloud masking,CLOUD MICROPHYSICS,0.896247745,CLOUD CEILING,0.6455549,CLOUD PROPERTIES,7311
9,script_10828.txt,Theme,Linear interpolation,CONTOUR MAPS,0.811500072,INFRARED IMAGERY,0.720442772,SOIL MECHANICS,7311
10,script_110133.txt,Theme,Flood mapping,FLOOD LEVELS,0.878828168,FLOODING,0.757917345,FLOODS,7311
11,script_110133.txt,Theme,Damage assessment,DISASTER RESPONSE,0.846092701,DEGRADATION,0.675355315,ENVIRONMENTAL ASSESSMENTS,7319
12,script_110133.txt,Theme,Population exposure,POPULATION DENSITY,0.875718594,POPULATION,0.721381664,RADIATION EXPOSURE,7319
13,script_115907.txt,Theme,NDVI analysis,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.840828061,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.68153584,VEGETATION INDEX,7319
14,script_115907.txt,Theme,Vegetation monitoring,VEGETATION INDEX,0.88404727,FOREST MENSURATION,0.762295008,VEGETATION COVER,7319
15,script_115907.txt,Theme,Temporal analysis,BIVARIATE ENSO TIMESERIES INDEX,0.821212769,STRATIGRAPHIC SEQUENCE,0.686426878,ATMOSPHERIC TEMPERATURE INDICES,7319
16,script_118175.txt,Theme,Cloud masking,CLOUD MICROPHYSICS,0.896247745,CLOUD CEILING,0.6455549,CLOUD PROPERTIES,7315
17,script_118175.txt,Theme,NDVI calculation,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.821857333,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.693864882,VEGETATION INDEX,7315
18,script_118175.txt,Theme,NDWI calculation,NORTHERN OSCILLATION INDEX,0.7785393,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.609177649,WATER QUALITY INDEXES,7315
19,script_118175.txt,Theme,MNDWI calculation,HUMAN DIMENSIONS,0.798088253,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.579470038,WATER QUALITY INDEXES,7315
20,script_118175.txt,Theme,NDSI calculation,NINO 1+2 INDEX,0.779510081,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.587519765,SNOW COVER,7315
21,script_118175.txt,Theme,EWI calculation,EPIDEMIOLOGY,0.78751868,ENVIRONMENTAL VULNERABILITY INDEX (EVI),0.612433314,ENVIRONMENTAL VULNERABILITY INDEX (EVI),7319
22,script_118175.txt,Theme,ICE detection,ICE TEMPERATURE,0.870506644,ICE VELOCITY,0.776970148,ICE DETECTION,7319
