ID,Script_ID,Entity_Type,Value,Best_Snippet,Best_Name,Best_Provider,Best_Tags,Best_DOI
1,script_102957.txt,Datasource,LANDSAT/LC09/C02/T1_L2,LANDSAT/LC09/C02/T1_L2,"USGS Landsat 9 Level 2, Collection 2, Tier 1",USGS,"cfmask, cloud, fmask, global, l9sr, landsat, lasrc, lc09, lst, reflectance, sr, usgs",
2,script_102957.txt,Datasource,FAO/GAUL_SIMPLIFIED_500m/2015/level2,FAO/GAUL_SIMPLIFIED_500m/2015/level2,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",FAO UN,"borders, county, districts, fao, gaul, un",
3,script_10376.txt,Datasource,LANDSAT/LC08/C02/T1_L2,LANDSAT/LC08/C02/T1_L2,"USGS Landsat 8 Level 2, Collection 2, Tier 1",USGS,"cfmask, cloud, fmask, global, l8sr, landsat, lasrc, lc08, lst, reflectance, sr, usgs",
4,script_103827.txt,Datasource,users/hrishippatel/IndiaStates,,users/hrishippatel/,,IndiaStates,
5,script_103827.txt,Datasource,COPERNICUS/S1_GRD,COPERNICUS/S1_GRD,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",European Union/ESA/Copernicus,"copernicus, esa, eu, radar, sar, sentinel",
6,script_106121.txt,Datasource,COPERNICUS/S2,COPERNICUS/S2,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",European Union/ESA/Copernicus,"copernicus, esa, eu, msi, radiance, sentinel",
7,script_10828.txt,Datasource,MODIS/006/MOD09A1,MODIS/061/MOD09A1,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,NASA LP DAAC at the USGS EROS Center,"8-day, global, modis, nasa, sr, surface-reflectance, terra, usgs",https://doi.org/10.5067/MODIS/MOD09A1.061
8,script_10828.txt,Datasource,users/kongdd/public:Math/pkg_smooth.js,,users/kongdd/public:Math/,,pkg_smooth.js,
9,script_10828.txt,Datasource,users/kongdd/public:pkg_vis.js,,users/kongdd/,,public:pkg_vis.js,
10,script_118175.txt,Datasource,LANDSAT/LC09/C02/T1_L2,LANDSAT/LC09/C02/T1_L2,"USGS Landsat 9 Level 2, Collection 2, Tier 1",USGS,"cfmask, cloud, fmask, global, l9sr, landsat, lasrc, lc09, lst, reflectance, sr, usgs",
