ID,Script_ID,Entity_Type,Value,Value_BAAI,Top1_Similarity_BAAI,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_LLAMA70B,Usage
1,script_102957.txt,Function,Filter image collection by spatial bounds,Filter Image Collection By Bounds,0.896336079,Filter Image Collection By Bounds,0.951050758,Filter Image Collection By Bounds,"{'prompt_tokens': 4014, 'completion_tokens': 6, 'total_tokens': 4020}"
2,script_102957.txt,Function,Mask clear pixels,Clear Pixel Masking,0.881211519,Clear Pixel Masking,0.949528933,Clear Pixel Masking,"{'prompt_tokens': 4011, 'completion_tokens': 4, 'total_tokens': 4015}"
3,script_102957.txt,Function,Mask cloud and cloud shadow,Cloud And Cloud Shadow Masking,0.872214079,Cloud And Cloud Shadow Masking,0.954921722,Cloud Masking,"{'prompt_tokens': 4013, 'completion_tokens': 3, 'total_tokens': 4016}"
4,script_102957.txt,Function,Convert DN to SR,Unit Conversion For Daily Averages,0.534983516,Data Conversion,0.829274774,Image Correction,"{'prompt_tokens': 4012, 'completion_tokens': 3, 'total_tokens': 4015}"
5,script_102957.txt,Function,Filter image collection by time window,Filter Image Collection By Time,0.938981056,Filter Image Collection By Time,0.986424267,Filter Image Collection By Time,"{'prompt_tokens': 4014, 'completion_tokens': 5, 'total_tokens': 4019}"
6,script_102957.txt,Function,Median composite to convert IC to Image,Create Median Composite Of Images,0.774344206,Create Median Composite Of Images,0.921164811,Image Mosaicking,"{'prompt_tokens': 4016, 'completion_tokens': 4, 'total_tokens': 4020}"
7,script_10376.txt,Function,Filtering image collection by date and bounds,Filter Image Collection By Date And Boundaries,0.947230577,Filter Image Collection By Date And Boundaries,0.98748827,Filter Image Collection By Date And Boundaries,"{'prompt_tokens': 4016, 'completion_tokens': 8, 'total_tokens': 4024}"
8,script_10376.txt,Function,Converting image to reflectance,Surface Reflectance Correction,0.740300536,Convert Image,0.890420675,Reflectance Value Scaling,"{'prompt_tokens': 4015, 'completion_tokens': 5, 'total_tokens': 4020}"
9,script_10376.txt,Function,Visualizing image bands,Visualize Images In Different Band Combinations,0.892967343,Visualize Images In Different Band Combinations,0.941932738,Image Band Manipulation,"{'prompt_tokens': 4012, 'completion_tokens': 5, 'total_tokens': 4017}"
10,script_10376.txt,Function,Exporting images to Drive,Export Processed Images To Drive,0.894373894,Export Processed Images To Drive,0.954555631,Export Processed Images To Drive,"{'prompt_tokens': 4013, 'completion_tokens': 6, 'total_tokens': 4019}"
11,script_103827.txt,Function,Filtering Sentinel-1 images by date and polarization,Filter Images By Date,0.744705319,Select Specific Polarization From Images,0.879771233,Filter Image Collection By Date And Polarization,"{'prompt_tokens': 4019, 'completion_tokens': 9, 'total_tokens': 4028}"
12,script_103827.txt,Function,Clipping images to a region,Clip Images To A Specific Region,0.925281227,Clip Images To A Specific Region,0.97443068,Clip Images To A Specific Region,"{'prompt_tokens': 4014, 'completion_tokens': 6, 'total_tokens': 4020}"
13,script_103827.txt,Function,Compositing images,Generate Image Composites,0.885098934,Generate Image Composites,0.930617809,Image Mosaicking,"{'prompt_tokens': 4012, 'completion_tokens': 4, 'total_tokens': 4016}"
14,script_103827.txt,Function,Visualizing images,Enhancing Image Visualization,0.907701969,Enhancing Image Visualization,0.923815846,Data Visualization,"{'prompt_tokens': 4011, 'completion_tokens': 3, 'total_tokens': 4014}"
15,script_106121.txt,Function,Filtering image collection by cloud percentage and date,Filter Image Collection By Cloud Coverage,0.82098496,Filter Image Collection By Cloud Coverage,0.943821192,Filter Image Collection By Cloud Coverage,"{'prompt_tokens': 4017, 'completion_tokens': 7, 'total_tokens': 4024}"
16,script_106121.txt,Function,Selecting specific bands from image,Select Specific Bands From Images,0.948621392,Select Specific Bands From Images,0.979169726,Select Specific Bands From Images,"{'prompt_tokens': 4014, 'completion_tokens': 6, 'total_tokens': 4020}"
17,script_106121.txt,Function,Reprojecting image to EPSG:4326,Image Reprojection,0.68018651,Image Reprojection,0.853513122,Projection,"{'prompt_tokens': 4020, 'completion_tokens': 1, 'total_tokens': 4021}"
18,script_106121.txt,Function,Exporting image to Google Drive,Export Processed Images To Google Drive,0.878956199,Export Processed Images To Google Drive,0.945185423,Export Processed Images To Google Drive,"{'prompt_tokens': 4014, 'completion_tokens': 7, 'total_tokens': 4021}"
19,script_106121.txt,Function,Visualizing image on Google Map API,Enhancing Image Visualization,0.738985479,Display Interactive Map,0.866061091,Display Interactive Map,"{'prompt_tokens': 4015, 'completion_tokens': 4, 'total_tokens': 4019}"
20,script_10828.txt,Function,Cloud masking,Image Cloud Masking,0.901710093,Cloud And Shade Masking,0.958947599,Image Cloud Masking,"{'prompt_tokens': 4011, 'completion_tokens': 4, 'total_tokens': 4015}"
21,script_10828.txt,Function,NDVI calculation,Compute Median Of NDVI,0.863728523,Computes Normalized Difference Vegetation Index (NDVI),0.900147438,Vegetation Indices/Index Calculation,"{'prompt_tokens': 4011, 'completion_tokens': 9, 'total_tokens': 4020}"
22,script_10828.txt,Function,Linear interpolation,Interpolation,0.924953043,Performs Linear Interpolation,0.965872169,Performs Linear Interpolation,"{'prompt_tokens': 4010, 'completion_tokens': 6, 'total_tokens': 4016}"
23,script_10828.txt,Function,Image collection filtering,Filter Image Collection,0.88791275,Filter Image Collection,0.987343848,Filter Image Collection,"{'prompt_tokens': 4011, 'completion_tokens': 3, 'total_tokens': 4014}"
24,script_10828.txt,Function,Region reduction,Reduction Of Image Regions,0.801023304,Reduction Of Image Regions,0.905161858,Reduction Of Image Regions,"{'prompt_tokens': 4010, 'completion_tokens': 8, 'total_tokens': 4018}"
25,script_10828.txt,Function,Feature collection iteration,Filter Feature Collection,0.767270923,Filter Feature Collection,0.899132729,Filter Feature Collection,"{'prompt_tokens': 4011, 'completion_tokens': 3, 'total_tokens': 4014}"
26,script_10828.txt,Function,Table export,Export Results,0.707285404,Export Results,0.878396749,Export Processed Data,"{'prompt_tokens': 4010, 'completion_tokens': 4, 'total_tokens': 4014}"
27,script_118175.txt,Function,Apply scale factors to image bands,Apply Scale Factors To Image,0.859493971,Apply Scale Factors To Image,0.914170325,Apply Scale Factors To Image,"{'prompt_tokens': 4014, 'completion_tokens': 6, 'total_tokens': 4020}"
28,script_118175.txt,Function,Mask clouds in Sentinel-2 images,Image Cloud Masking,0.712874353,Image Cloud Masking,0.916989207,Cloud Filtering,"{'prompt_tokens': 4016, 'completion_tokens': 3, 'total_tokens': 4019}"
29,script_118175.txt,Function,Calculate NDVI index,Compute Median Of NDVI,0.858838439,Computes Normalized Difference Vegetation Index (NDVI),0.886515081,Vegetation Indices/Index Calculation,"{'prompt_tokens': 4012, 'completion_tokens': 9, 'total_tokens': 4021}"
30,script_118175.txt,Function,Calculate NDWI index,Calculates Normalized Difference Water Index (NDWI),0.79883188,Calculates Normalized Difference Water Index (NDWI),0.921834946,Calculates Normalized Difference Water Index (NDWI),"{'prompt_tokens': 4012, 'completion_tokens': 12, 'total_tokens': 4024}"
31,script_118175.txt,Function,Calculate MNDWI index,Calculates Modified Normalized Difference Water Index (MNDWI),0.826884925,Geometric Index Calculation,0.891162872,Calculates Modified Normalized Difference Water Index (MNDWI),"{'prompt_tokens': 4013, 'completion_tokens': 14, 'total_tokens': 4027}"
32,script_118175.txt,Function,Calculate NDSI index,Compute Median Of NDVI,0.743230462,Image Index Calculation,0.902490616,Water Indices/Index Calculation,"{'prompt_tokens': 4012, 'completion_tokens': 7, 'total_tokens': 4019}"
33,script_118175.txt,Function,Calculate EWI index,"Calculate Other Vegetation Indices/index (SAVI, EVI)",0.711871505,Geometric Index Calculation,0.878010631,Spectral Index Computation,"{'prompt_tokens': 4012, 'completion_tokens': 5, 'total_tokens': 4017}"
34,script_118175.txt,Function,Filter image collection by date and cloud cover,Filter Images By Cloud Cover,0.876588404,Filter Image Collection By Cloud Coverage,0.972568989,Filter Image Collection By Date And Cloud Cover,"{'prompt_tokens': 4016, 'completion_tokens': 8, 'total_tokens': 4024}"
35,script_118175.txt,Function,Join image collections based on time difference,Filter Image Collection By Time,0.774710774,Filter Image Collection By Time,0.913605869,Temporal Collection Creation,"{'prompt_tokens': 4015, 'completion_tokens': 3, 'total_tokens': 4018}"
36,script_118175.txt,Function,Clip images to a specific region,Clip Images To A Specific Region,0.981087506,Clip Images To A Specific Region,0.994143605,Spatial Clipping,"{'prompt_tokens': 4014, 'completion_tokens': 3, 'total_tokens': 4017}"
37,script_118175.txt,Function,Create a mosaic of images,Image Mosaicking,0.774778247,Generate Image Composites,0.897460103,Image Mosaicking,"{'prompt_tokens': 4014, 'completion_tokens': 4, 'total_tokens': 4018}"
38,script_118175.txt,Function,Compute maximum value of images,Compute Maximum Values,0.810194016,Compute Maximum Values,0.910643518,"Maximum, Minimum And Mean Statistical Analysis","{'prompt_tokens': 4013, 'completion_tokens': 7, 'total_tokens': 4020}"
39,script_119133.txt,Function,Calculate normalized burn ratio,Calculate Difference Normalized Burn Ratio (dNBR),0.823730052,Calculate Difference Normalized Burn Ratio (dNBR),0.934794545,Index Calculation,"{'prompt_tokens': 4012, 'completion_tokens': 3, 'total_tokens': 4015}"
40,script_119133.txt,Function,Perform clustering analysis,Cluster Analysis,0.722390532,Cluster Analysis,0.941702843,Cluster Analysis,"{'prompt_tokens': 4011, 'completion_tokens': 2, 'total_tokens': 4013}"
41,script_119133.txt,Function,Generate training dataset,Training Data Creation,0.79930371,Training Data Creation,0.934489071,Data Preparation For Training,"{'prompt_tokens': 4011, 'completion_tokens': 5, 'total_tokens': 4016}"
42,script_119133.txt,Function,Visualize classification results,Generate Visualizations And Statistical Charts For Classification Results,0.815187931,Generate Visualizations And Statistical Charts For Classification Results,0.931243062,Display Classified Image and Indices,"{'prompt_tokens': 4012, 'completion_tokens': 7, 'total_tokens': 4019}"
43,script_119133.txt,Function,Apply filter to classification results,Apply Mask To Classification Results,0.796127558,Apply Mask To Classification Results,0.915082037,Correct Classification Results Using Specified Conditions,"{'prompt_tokens': 4013, 'completion_tokens': 8, 'total_tokens': 4021}"
44,script_119133.txt,Function,Multiply binary classification with severity classification,Severity Classification,0.748910785,Severity Classification,0.836040318,Classification,"{'prompt_tokens': 4015, 'completion_tokens': 1, 'total_tokens': 4016}"
45,script_11983.txt,Function,Filtering image collection by date and bounds,Filter Image Collection By Date And Boundaries,0.947230577,Filter Image Collection By Date And Boundaries,0.98748827,Filter Image Collection By Date And Boundaries,"{'prompt_tokens': 4016, 'completion_tokens': 8, 'total_tokens': 4024}"
46,script_11983.txt,Function,Masking clouds and shadows,Cloud And Shade Masking,0.88965708,Cloud And Shade Masking,0.955621719,Image Masking,"{'prompt_tokens': 4013, 'completion_tokens': 3, 'total_tokens': 4016}"
47,script_11983.txt,Function,Calculating NDVI,Compute Median Of NDVI,0.877925038,Computes Normalized Difference Vegetation Index (NDVI),0.893216074,Vegetation Indices/Index Calculation,"{'prompt_tokens': 4012, 'completion_tokens': 9, 'total_tokens': 4021}"
48,script_11983.txt,Function,Creating image composites,Generate Image Composites,0.935142875,Generate Image Composites,0.957761049,Image Mosaicking,"{'prompt_tokens': 4012, 'completion_tokens': 4, 'total_tokens': 4016}"
49,script_11983.txt,Function,Charting NDVI time series,Generate Time Series Charts For NDVI,0.898371398,Generate Time Series Charts For NDVI,0.954255939,Generate Time Series Charts For NDVI,"{'prompt_tokens': 4014, 'completion_tokens': 8, 'total_tokens': 4022}"
50,script_11983.txt,Function,Creating GIF animation,Binary Image Creation,0.680473566,Creates Animation Of NDVI Over Time,0.838112235,Visualization And Output Generation,"{'prompt_tokens': 4012, 'completion_tokens': 5, 'total_tokens': 4017}"
51,script_11983.txt,Function,Calculating image differences,Difference Calculation,0.818551242,Image Differencing,0.926550508,Image Differencing,"{'prompt_tokens': 4012, 'completion_tokens': 4, 'total_tokens': 4016}"
52,script_11983.txt,Function,Calculating standard anomalies,Anomaly Calculation,0.787130773,Anomaly Calculation,0.903097153,Anomaly Calculation,"{'prompt_tokens': 4013, 'completion_tokens': 5, 'total_tokens': 4018}"
53,script_120271.txt,Function,Filtering image collection by date and cloud coverage,Filter Image Collection By Cloud Coverage,0.879156113,Filter Image Collection By Cloud Coverage,0.96168375,Filter Image Collection By Date And Cloud Coverage,"{'prompt_tokens': 4017, 'completion_tokens': 9, 'total_tokens': 4026}"
54,script_120271.txt,Function,Calculating NDVI band,Add NDVI Band To Images,0.807825685,Add NDVI Band To Images,0.86496973,Vegetation Indices/Index Calculation,"{'prompt_tokens': 4013, 'completion_tokens': 9, 'total_tokens': 4022}"
55,script_120271.txt,Function,Applying median reduction to image collection,Reduction Of Image Collection,0.860897899,Calculates Median Of Image Collection,0.93803972,Reduction Of Image Collection,"{'prompt_tokens': 4015, 'completion_tokens': 5, 'total_tokens': 4020}"
56,script_120271.txt,Function,Clipping image to testing area,Clip Images To A Specific Region,0.801764846,Clip Images To A Specific Region,0.913380444,Clip Images To A Specific Region,"{'prompt_tokens': 4014, 'completion_tokens': 6, 'total_tokens': 4020}"
57,script_120271.txt,Function,Generating gradient bar,Gradient Calculation,0.704606175,Gradient Calculation,0.861634493,Gradient Calculation,"{'prompt_tokens': 4012, 'completion_tokens': 3, 'total_tokens': 4015}"
58,script_120271.txt,Function,Creating frame,Generating Histograms,0.709195852,Creating Seasonal Composite,0.823314905,Buffer Creation,"{'prompt_tokens': 4010, 'completion_tokens': 2, 'total_tokens': 4012}"
59,script_120271.txt,Function,Drawing scale bar,Scaling Image Values,0.656774044,Image Scaling,0.830940962,Buffer Creation,"{'prompt_tokens': 4012, 'completion_tokens': 2, 'total_tokens': 4014}"
60,script_120557.txt,Function,Filtering image collection by region,Filter Image Collection By Region,0.942394078,Filter Image Collection By Region,0.990995884,Filter Image Collection By Region,"{'prompt_tokens': 4014, 'completion_tokens': 5, 'total_tokens': 4019}"
61,script_120557.txt,Function,Masking cloudy pixels,Image Cloud Masking,0.854009271,Filtering Pixels,0.914608717,Cloud Filtering,"{'prompt_tokens': 4013, 'completion_tokens': 3, 'total_tokens': 4016}"
62,script_120557.txt,Function,Computing QA bits,Quantifying Pixels,0.680122018,Quality Control,0.81020999,Quality Filtering,"{'prompt_tokens': 4011, 'completion_tokens': 3, 'total_tokens': 4014}"
63,script_120557.txt,Function,Classifying land cover using decision tree,Training And Sampling For Land Cover Classification,0.739244699,Decision Tree Classification,0.915434837,Classification And Machine Learning,"{'prompt_tokens': 4015, 'completion_tokens': 4, 'total_tokens': 4019}"
64,script_125294.txt,Function,Cloud masking for Landsat 5 images,Image Cloud Masking,0.804281235,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.916881204,Image Cloud Masking,"{'prompt_tokens': 4017, 'completion_tokens': 4, 'total_tokens': 4021}"
65,script_125294.txt,Function,Image collection filtering by date and cloud cover,Filter Image Collection By Cloud Coverage,0.86286813,Filter Image Collection By Cloud Coverage,0.967042923,Filter Image Collection By Date And Cloud Cover,"{'prompt_tokens': 4016, 'completion_tokens': 8, 'total_tokens': 4024}"
