Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity
1,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filter image collection by spatial bounds
2,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Mask clear pixels
3,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Mask cloud and cloud shadow
4,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Convert DN to SR
5,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filter image collection by time window
6,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Median composite to convert IC to Image
7,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Filter image collection by spatial bounds
8,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Mask clear pixels
9,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Mask cloud and cloud shadow
10,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Convert DN to SR
11,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Filter image collection by time window
12,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Median composite to convert IC to Image
13,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Filtering image collection by date and bounds
14,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Converting image to reflectance
15,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Visualizing image bands
16,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Exporting images to Drive
17,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Clipping images to a region
18,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Visualizing images
19,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Filtering Sentinel-1 images by date and polarization
20,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Compositing images
21,script_106121.txt,COPERNICUS/S2,ActOn,Filtering image collection by cloud percentage and date
22,script_106121.txt,COPERNICUS/S2,ActOn,Selecting specific bands from image
23,script_106121.txt,COPERNICUS/S2,ActOn,Reprojecting image to EPSG:4326
24,script_106121.txt,COPERNICUS/S2,ActOn,Exporting image to Google Drive
25,script_106121.txt,COPERNICUS/S2,ActOn,Visualizing image on Google Map API
26,script_10828.txt,MODIS/006/MOD09A1,ActOn,Cloud masking
27,script_10828.txt,MODIS/006/MOD09A1,ActOn,NDVI calculation
28,script_10828.txt,MODIS/006/MOD09A1,ActOn,Linear interpolation
29,script_10828.txt,users/kongdd/public:Math/pkg_smooth.js,ActOn,Linear interpolation
30,script_10828.txt,users/kongdd/public:Math/pkg_smooth.js,ActOn,Image collection filtering
31,script_10828.txt,users/kongdd/public:pkg_vis.js,ActOn,Region reduction
32,script_10828.txt,users/kongdd/public:pkg_vis.js,ActOn,Feature collection iteration
33,script_10828.txt,users/kongdd/public:pkg_vis.js,ActOn,Table export
34,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Apply scale factors to image bands
35,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Apply scale factors to image bands
36,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filter image collection by date and cloud cover
37,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Filter image collection by date and cloud cover
38,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Clip images to a specific region
39,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Clip images to a specific region
40,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Create a mosaic of images
41,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Create a mosaic of images
42,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Compute maximum value of images
43,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Compute maximum value of images
44,script_118175.txt,COPERNICUS/S2_SR,ActOn,Mask clouds in Sentinel-2 images
45,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate NDVI index
46,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate NDWI index
47,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate MNDWI index
48,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate NDSI index
49,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate EWI index
50,script_118175.txt,users/gena/packages:utils,ActOn,None
51,script_118175.txt,users/gena/packages:text,ActOn,None
52,script_118175.txt,users/gena/packages:palettes,ActOn,None
53,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Calculate normalized burn ratio
54,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Perform clustering analysis
55,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Generate training dataset
56,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Visualize classification results
57,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Apply filter to classification results
