Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity,Head_Entity_update,Tail_Entity_update,Tail_Entity_update_pair
1,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filter image collection by spatial bounds,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Image Collection By Bounds,Filter Image Collection By Bounds
2,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Mask clear pixels,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Clear Pixel Masking,Clear Pixel Masking
3,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Mask cloud and cloud shadow,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Cloud Masking,Add Land Use Layer
4,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Convert DN to SR,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Image Correction,Surface Reflectance Correction
5,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filter image collection by time window,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Image Collection By Time,Filter Image Collection By Time
6,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Median composite to convert IC to Image,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Image Mosaicking,Image Mosaicking
7,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Filter image collection by spatial bounds,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Filter Image Collection By Bounds,Filter Image Collection By Bounds
8,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Mask clear pixels,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Clear Pixel Masking,Clear Pixel Masking
9,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Mask cloud and cloud shadow,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Cloud Masking,Add Land Use Layer
10,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Convert DN to SR,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Image Correction,Surface Reflectance Correction
11,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Filter image collection by time window,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Filter Image Collection By Time,Filter Image Collection By Time
12,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Median composite to convert IC to Image,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Image Mosaicking,Image Mosaicking
13,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Filtering image collection by date and bounds,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Filter Image Collection By Date And Boundaries,Filter Image Collection By Date And Boundaries
14,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Converting image to reflectance,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Reflectance Value Scaling,Filter Image Collection By Date
15,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Visualizing image bands,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Image Band Manipulation,Calculate Statistical Indicators Of Image Collection
16,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Exporting images to Drive,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Export Processed Images To Drive,Export Selected Image
17,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Clipping images to a region,users/hrishippatel/,Clip Images To A Specific Region,Clip Images To A Specific Region
18,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Visualizing images,users/hrishippatel/,Data Visualization,Export Processed Images To Drive
19,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Filtering Sentinel-1 images by date and polarization,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filter Image Collection By Date And Polarization,Mask Areas To Refine Flood Detection
20,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Compositing images,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Image Mosaicking,Image Mosaicking
21,script_106121.txt,COPERNICUS/S2,ActOn,Filtering image collection by cloud percentage and date,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage
22,script_106121.txt,COPERNICUS/S2,ActOn,Selecting specific bands from image,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Select Specific Bands From Images,Select Specific Bands From Images
23,script_106121.txt,COPERNICUS/S2,ActOn,Reprojecting image to EPSG:4326,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Projection,Image Reprojection
24,script_106121.txt,COPERNICUS/S2,ActOn,Exporting image to Google Drive,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Export Processed Images To Google Drive,Export Processed Images To Google Drive
25,script_106121.txt,COPERNICUS/S2,ActOn,Visualizing image on Google Map API,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Display Interactive Map,Display Interactive Map
26,script_10828.txt,MODIS/006/MOD09A1,ActOn,Cloud masking,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Image Cloud Masking,Image Cloud Masking
27,script_10828.txt,MODIS/006/MOD09A1,ActOn,NDVI calculation,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Vegetation Indices/Index Calculation,Export Processed Data To Google Drive
28,script_10828.txt,MODIS/006/MOD09A1,ActOn,Linear interpolation,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Performs Linear Interpolation,Performs Linear Interpolation
29,script_10828.txt,users/kongdd/public:Math/pkg_smooth.js,ActOn,Linear interpolation,users/kongdd/public:Math/,Performs Linear Interpolation,Performs Linear Interpolation
30,script_10828.txt,users/kongdd/public:Math/pkg_smooth.js,ActOn,Image collection filtering,users/kongdd/public:Math/,Filter Image Collection,Filtering Polygons
31,script_10828.txt,users/kongdd/public:pkg_vis.js,ActOn,Region reduction,users/kongdd/,Reduction Of Image Regions,Calculate Long-Term Averages
32,script_10828.txt,users/kongdd/public:pkg_vis.js,ActOn,Feature collection iteration,users/kongdd/,Filter Feature Collection,Filter Feature Collection
33,script_10828.txt,users/kongdd/public:pkg_vis.js,ActOn,Table export,users/kongdd/,Export Processed Data,Export Processed Data
34,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Apply scale factors to image bands,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Apply Scale Factors To Image,Apply Scale Factors To Image
35,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Apply scale factors to image bands,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Apply Scale Factors To Image,Apply Scale Factors To Image
36,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filter image collection by date and cloud cover,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Image Collection By Date And Cloud Cover,Compute Median Of NDVI
37,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Filter image collection by date and cloud cover,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Filter Image Collection By Date And Cloud Cover,Compute Median Of NDVI
38,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Clip images to a specific region,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Spatial Clipping,Clip Images To A Specific Region
