Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity,Head_Entity_update,Tail_Entity_update,Tail_Entity_update_pair
1,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filter image collection by spatial bounds,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Image Collection By Bounds,Image Mosaicking
2,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Mask clear pixels,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Clear Pixel Masking,Clear Pixel Masking
3,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Mask cloud and cloud shadow,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Cloud And Cloud Shadow Masking,Cloud And Cloud Shadow Masking
4,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Convert DN to SR,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Data Conversion,Data Conversion
5,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filter image collection by time window,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Image Collection By Time,Filter Image Collection By Date And Boundaries
6,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Median composite to convert IC to Image,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Create Median Composite Of Images,Create Median Composite Of Images
7,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Filter image collection by spatial bounds,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Filter Image Collection By Bounds,Image Mosaicking
8,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Mask clear pixels,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Clear Pixel Masking,Clear Pixel Masking
9,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Mask cloud and cloud shadow,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Cloud And Cloud Shadow Masking,Cloud And Cloud Shadow Masking
10,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Convert DN to SR,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Data Conversion,Data Conversion
11,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Filter image collection by time window,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Filter Image Collection By Time,Filter Image Collection By Date And Boundaries
12,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Median composite to convert IC to Image,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Create Median Composite Of Images,Create Median Composite Of Images
13,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Filtering image collection by date and bounds,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Filter Image Collection By Date And Boundaries,Filter Image Collection By Date And Boundaries
14,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Converting image to reflectance,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Convert Image,Surface Reflectance Correction
