ID,Script_ID,Entity_Type,Value,Value_BAAI,Top1_Similarity_BAAI,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_LLAMA70B,Usage
1,script_102957.txt,Theme,Land cover analysis in Los Angeles County,LAND USE/LAND COVER CLASSIFICATION,0.665326595,LAND SURFACE/AGRICULTURE INDICATORS,0.835953534,LAND USE/LAND COVER,"{'prompt_tokens': 7771, 'completion_tokens': 6, 'total_tokens': 7777}"
2,script_10376.txt,Theme,Land surface analysis using Landsat 8 imagery,LAND SURFACE,0.643516898,SATELLITE SOIL MOISTURE INDEX,0.834009469,LAND SURFACE,"{'prompt_tokens': 7774, 'completion_tokens': 3, 'total_tokens': 7777}"
3,script_103827.txt,Theme,Flood monitoring and analysis,FLOOD FREQUENCY,0.703985453,FLOOD LEVELS,0.849592924,HYDROLOGY,"{'prompt_tokens': 7769, 'completion_tokens': 4, 'total_tokens': 7773}"
4,script_106121.txt,Theme,Sentinel-2 image reprojection and export,ISOSTATIC REBOUND,0.557174981,RADAR IMAGERY,0.766137123,REMOTE SENSING,"{'prompt_tokens': 7773, 'completion_tokens': 4, 'total_tokens': 7777}"
5,script_10828.txt,Theme,Vegetation Index Analysis,VEGETATION INDEX,0.792009354,VEGETATION INDEX,0.931815863,VEGETATION INDEX,"{'prompt_tokens': 7768, 'completion_tokens': 4, 'total_tokens': 7772}"
6,script_118175.txt,Theme,Land cover classification and vegetation index analysis,LAND USE/LAND COVER CLASSIFICATION,0.729021251,VEGETATION INDEX,0.891660213,LAND SURFACE/AGRICULTURE INDICATORS,"{'prompt_tokens': 7771, 'completion_tokens': 12, 'total_tokens': 7783}"
7,script_119133.txt,Theme,Wildfire severity analysis,FIRE WEATHER INDEX,0.597022295,FIRE WEATHER INDEX,0.879720449,NATURAL HAZARDS,"{'prompt_tokens': 7768, 'completion_tokens': 6, 'total_tokens': 7774}"
8,script_11983.txt,Theme,Vegetation Index Analysis,VEGETATION INDEX,0.792009354,VEGETATION INDEX,0.931815863,VEGETATION INDEX,"{'prompt_tokens': 7768, 'completion_tokens': 4, 'total_tokens': 7772}"
9,script_120271.txt,Theme,NDVI analysis of Sentinel-2 imagery,INFRARED IMAGERY,0.554455042,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.801470995,VEGETATION INDEX,"{'prompt_tokens': 7774, 'completion_tokens': 4, 'total_tokens': 7778}"
10,script_120557.txt,Theme,Land cover classification in Florida,LAND USE/LAND COVER CLASSIFICATION,0.735061765,LAND USE/LAND COVER CLASSIFICATION,0.844331622,LAND USE/LAND COVER,"{'prompt_tokens': 7769, 'completion_tokens': 6, 'total_tokens': 7775}"
11,script_125294.txt,Theme,Ecorregion Alto Parana analysis,ANTHROPOGENIC/HUMAN INFLUENCED ECOSYSTEMS,0.504975796,ALUMINUM-26 ANALYSIS,0.816504478,ECOLOGICAL DYNAMICS,"{'prompt_tokens': 7771, 'completion_tokens': 7, 'total_tokens': 7778}"
12,script_144864.txt,Theme,"Land cover classification in Hai Phong, Vietnam",LAND USE/LAND COVER CLASSIFICATION,0.666466832,LAND USE/LAND COVER CLASSIFICATION,0.85278976,LAND USE/LAND COVER,"{'prompt_tokens': 7773, 'completion_tokens': 6, 'total_tokens': 7779}"
13,script_146128.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.805195212,LAND USE/LAND COVER CLASSIFICATION,0.925580025,LAND USE/LAND COVER,"{'prompt_tokens': 7767, 'completion_tokens': 6, 'total_tokens': 7773}"
14,script_15043.txt,Theme,Land Use Land Cover Classification,LAND USE/LAND COVER CLASSIFICATION,0.843844175,LAND USE/LAND COVER CLASSIFICATION,0.951677442,LAND USE/LAND COVER CLASSIFICATION,"{'prompt_tokens': 7770, 'completion_tokens': 8, 'total_tokens': 7778}"
15,script_155017.txt,Theme,Land Surface Temperature Analysis in Himachal Pradesh,LAND SURFACE TEMPERATURE,0.662557006,LAND SURFACE TEMPERATURE,0.856417716,LAND SURFACE TEMPERATURE,"{'prompt_tokens': 7774, 'completion_tokens': 6, 'total_tokens': 7780}"
16,script_165234.txt,Theme,MODIS vegetation analysis,SURFACE MOISTURE INDEX,0.599446714,VEGETATION INDEX,0.854735136,VEGETATION,"{'prompt_tokens': 7768, 'completion_tokens': 3, 'total_tokens': 7771}"
17,script_165234.txt,Theme,Country boundary analysis,COUNTRY BOUNDARIES,0.752269506,COUNTRY BOUNDARIES,0.891638398,BOUNDARIES,"{'prompt_tokens': 7767, 'completion_tokens': 3, 'total_tokens': 7770}"
18,script_173652.txt,Theme,Land cover change detection and analysis,LAND USE/LAND COVER CLASSIFICATION,0.688638568,LAND SURFACE/AGRICULTURE INDICATORS,0.861508012,LAND USE/LAND COVER,"{'prompt_tokens': 7770, 'completion_tokens': 6, 'total_tokens': 7776}"
19,script_174474.txt,Theme,Land cover analysis using Landsat 5 imagery,LAND USE/LAND COVER CLASSIFICATION,0.635942638,SATELLITE SOIL MOISTURE INDEX,0.838002205,LAND USE/LAND COVER,"{'prompt_tokens': 7774, 'completion_tokens': 6, 'total_tokens': 7780}"
20,script_174747.txt,Theme,"Land Surface Temperature Analysis in Michoacan, Mexico",LAND SURFACE TEMPERATURE,0.681699634,LAND SURFACE TEMPERATURE,0.837604582,LAND SURFACE TEMPERATURE,"{'prompt_tokens': 7775, 'completion_tokens': 6, 'total_tokens': 7781}"
21,script_179626.txt,Theme,Land Surface Temperature Analysis,LAND SURFACE TEMPERATURE,0.79077208,LAND SURFACE TEMPERATURE,0.878021121,LAND SURFACE TEMPERATURE,"{'prompt_tokens': 7769, 'completion_tokens': 6, 'total_tokens': 7775}"
22,script_180257.txt,Theme,Land cover analysis using Landsat imagery,LAND USE/LAND COVER CLASSIFICATION,0.668859005,LAND SURFACE/AGRICULTURE INDICATORS,0.846221566,LAND USE/LAND COVER,"{'prompt_tokens': 7772, 'completion_tokens': 6, 'total_tokens': 7778}"
23,script_186294.txt,Theme,Land cover classification and vegetation analysis,LAND USE/LAND COVER CLASSIFICATION,0.749319971,LAND USE/LAND COVER CLASSIFICATION,0.888650179,VEGETATION,"{'prompt_tokens': 7770, 'completion_tokens': 3, 'total_tokens': 7773}"
24,script_186319.txt,Theme,Forest monitoring and land cover change detection,FOREST MENSURATION,0.736101866,FOREST MENSURATION,0.881983578,LAND USE/LAND COVER,"{'prompt_tokens': 7771, 'completion_tokens': 6, 'total_tokens': 7777}"
