ID,Script_ID,Entity_Type,Value,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_BAAI,Top1_Similarity_BAAI
1,script_102957.txt,Function,Filter image collection by bounds,Filter Image Collection By Bounds,0.9899117350578308,Filter Image Collection By Bounds,0.9408650994300842
2,script_102957.txt,Function,Mask clear pixels,Clear Pixel Masking,0.9495289325714112,Clear Pixel Masking,0.881211519241333
3,script_102957.txt,Function,Mask cloud and cloud shadow,Cloud And Cloud Shadow Masking,0.9549217224121094,Cloud And Cloud Shadow Masking,0.8722140789031982
4,script_102957.txt,Function,Convert DN to SR,Data Conversion,0.8292747735977173,Unit Conversion For Daily Averages,0.5349835157394409
5,script_102957.txt,Function,Median composite,Create Median Composite Of Images,0.9110546112060548,Create Median Composite Of Images,0.8197221159934998
6,script_10376.txt,Function,Image collection filtering,Filter Image Collection,0.9873438477516174,Filter Image Collection,0.8879127502441406
7,script_10376.txt,Function,Image clipping,Clip Images,0.9256044626235962,Select And Clip Image,0.8260947465896606
8,script_10376.txt,Function,Reflectance conversion,Reflectance Value Scaling,0.8803316354751587,Surface Reflectance Correction,0.8059115409851074
9,script_10376.txt,Function,Image visualization,Enhancing Image Visualization,0.9234810471534728,Enhancing Image Visualization,0.9001052379608154
10,script_10376.txt,Function,Image exporting,Export Composite Image,0.938091278076172,Export Selected Image,0.8382644653320312
11,script_103827.txt,Function,Get weekly Sentinel-1 composite image,Displays Composite Image,0.8293946981430054,Create RGB Composite Image,0.6226091980934143
12,script_103827.txt,Function,Filter image collection by date and polarization,Filter Image Collection By Date And Boundaries,0.9381277561187744,Filter Image Collection By Date,0.8755270838737488
13,script_103827.txt,Function,Clip image to region,Clip Images To A Specific Region,0.9677466750144958,Clip Images To A Specific Region,0.9166984558105469
14,script_103827.txt,Function,Visualize image,Enhancing Image Visualization,0.9247925877571106,Visualize Satellite Images,0.8524935841560364
15,script_106121.txt,Function,Filter image collection,Filter Image Collection,0.9966691136360168,Filter Image Collection,0.9491643309593201
16,script_106121.txt,Function,Select image bands,Select Specific Bands From Images,0.9667831063270568,Select Specific Bands From Images,0.8575605154037476
17,script_106121.txt,Function,Reproject image,Image Reprojection,0.9359153509140016,Image Reprojection,0.8702447414398193
18,script_106121.txt,Function,Export image to Google Drive,Export Processed Images To Google Drive,0.949123203754425,Export Processed Images To Google Drive,0.8938838839530945
19,script_106121.txt,Function,Visualize image on Google Map,Display Interactive Map,0.875912070274353,Visualize Satellite Images,0.7716025114059448
20,script_10828.txt,Function,Cloud Masking,Cloud And Shade Masking,0.962123155593872,Image Cloud Masking,0.9208886027336121
21,script_10828.txt,Function,NDVI Calculation,Computes Normalized Difference Vegetation Index (NDVI),0.8994120955467224,Compute Median Of NDVI,0.86915123462677
22,script_10828.txt,Function,Linear Interpolation,Performs Linear Interpolation,0.9699636697769164,Interpolation,0.923700749874115
23,script_10828.txt,Function,Image Collection Filtering,Filter Image Collection,0.9865096807479858,Filter Image Collection,0.9031354188919067
24,script_10828.txt,Function,Feature Collection Generation,Add A Feature Collection,0.903838872909546,Add A Feature Collection,0.7890822887420654
25,script_10828.txt,Function,Table Export,Export Results,0.8828257322311401,Export Results,0.7466089129447937
26,script_118175.txt,Function,Apply scale factors to image,Apply Scale Factors To Image,0.9838669896125792,Apply Scale Factors To Image,0.943526029586792
27,script_118175.txt,Function,Mask clouds in Sentinel-2 image,Image Cloud Masking,0.9118492007255554,Image Cloud Masking,0.7022637128829956
