Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity
1,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filter image collection by bounds
2,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Mask clear pixels
3,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Mask cloud and cloud shadow
4,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Convert DN to SR
5,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Median composite
6,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Filter image collection by bounds
7,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Image collection filtering
8,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Image clipping
9,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Reflectance conversion
10,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Image visualization
11,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Image exporting
12,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Clip image to region
13,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Get weekly Sentinel-1 composite image
14,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Filter image collection by date and polarization
15,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Visualize image
16,script_106121.txt,COPERNICUS/S2,ActOn,Filter image collection
17,script_106121.txt,COPERNICUS/S2,ActOn,Select image bands
18,script_106121.txt,COPERNICUS/S2,ActOn,Reproject image
19,script_106121.txt,COPERNICUS/S2,ActOn,Export image to Google Drive
20,script_106121.txt,COPERNICUS/S2,ActOn,Visualize image on Google Map
21,script_10828.txt,MODIS/006/MOD09A1,ActOn,Cloud Masking
22,script_10828.txt,MODIS/006/MOD09A1,ActOn,NDVI Calculation
23,script_10828.txt,MODIS/006/MOD09A1,ActOn,Image Collection Filtering
24,script_10828.txt,users/kongdd/public:Math/pkg_smooth.js,ActOn,Linear Interpolation
25,script_10828.txt,users/kongdd/public:pkg_vis.js,ActOn,Feature Collection Generation
26,script_10828.txt,users/kongdd/public:pkg_vis.js,ActOn,Table Export
27,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Apply scale factors to image
28,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Apply scale factors to image
29,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filter image collection by date and cloud cover
30,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Filter image collection by date and cloud cover
31,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Clip image to region of interest
32,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Clip image to region of interest
33,script_118175.txt,COPERNICUS/S2_SR,ActOn,Mask clouds in Sentinel-2 image
34,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate NDVI
35,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate NDWI
36,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate MNDWI
37,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate NDSI
38,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate EWI
39,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate ICE
40,script_118175.txt,users/gena/packages:utils,ActOn,Join image collections
41,script_118175.txt,users/gena/packages:text,ActOn,Join image collections
42,script_118175.txt,users/gena/packages:palettes,ActOn,Join image collections
43,script_118175.txt,users/gena/packages:utils,ActOn,Quality mosaic of image collection
44,script_118175.txt,users/gena/packages:text,ActOn,Quality mosaic of image collection
45,script_118175.txt,users/gena/packages:palettes,ActOn,Quality mosaic of image collection
46,script_118175.txt,users/gena/packages:utils,ActOn,Maximum value composite of image collection
47,script_118175.txt,users/gena/packages:text,ActOn,Maximum value composite of image collection
48,script_118175.txt,users/gena/packages:palettes,ActOn,Maximum value composite of image collection
49,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Normalized difference calculation
50,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Image stacking
51,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Normalized difference calculation
52,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Image stacking
53,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Clustering
54,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Clustering
55,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Image classification
56,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Image classification
57,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Histogram generation
58,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Histogram generation
59,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Filtering
60,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Filtering
61,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Masking
62,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Masking
63,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Image multiplication
64,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Image multiplication
