Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity,Head_Entity_update,Tail_Entity_update,Tail_Entity_update_pair
1,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filter image collection by bounds,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Image Collection By Bounds,Filter Image Collection By Cloud Coverage
2,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Mask clear pixels,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Clear Pixel Masking,Clear Pixel Masking
3,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Mask cloud and cloud shadow,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Cloud And Cloud Shadow Masking,Cloud And Cloud Shadow Masking
4,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Convert DN to SR,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Data Conversion,Filter Image Collection By Date And Region
5,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Median composite,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Create Median Composite Of Images,Create Median Composite Of Images
6,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Filter image collection by bounds,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Filter Image Collection By Bounds,Filter Image Collection By Cloud Coverage
7,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Image collection filtering,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Filter Image Collection,Filter Image Collection By Date
8,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Image clipping,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Clip Images,Clip Images To A Specific Region
9,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Reflectance conversion,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Reflectance Value Scaling,Reflectance Value Scaling
10,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Image visualization,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Enhancing Image Visualization,Layer Addition To Map
11,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Image exporting,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Export Composite Image,Export Selected Image
12,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Clip image to region,users/hrishippatel/,Clip Images To A Specific Region,Clip Images To A Specific Region
13,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Get weekly Sentinel-1 composite image,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Displays Composite Image,Displays Composite Image
14,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Filter image collection by date and polarization,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filter Image Collection By Date And Boundaries,Filter Image Collection By Date And Boundaries
15,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Visualize image,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Enhancing Image Visualization,Layer Addition To Map
16,script_106121.txt,COPERNICUS/S2,ActOn,Filter image collection,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Image Collection,Filter Image Collection By Date
17,script_106121.txt,COPERNICUS/S2,ActOn,Select image bands,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Select Specific Bands From Images,Select Specific Bands From Images
18,script_106121.txt,COPERNICUS/S2,ActOn,Reproject image,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Image Reprojection,Image Reprojection
19,script_106121.txt,COPERNICUS/S2,ActOn,Export image to Google Drive,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Export Processed Images To Google Drive,Export Processed Images To Google Drive
20,script_106121.txt,COPERNICUS/S2,ActOn,Visualize image on Google Map,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Display Interactive Map,Visualize Disaster Impacts
21,script_10828.txt,MODIS/006/MOD09A1,ActOn,Cloud Masking,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Cloud And Shade Masking,Image Cloud Masking
22,script_10828.txt,MODIS/006/MOD09A1,ActOn,NDVI Calculation,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Computes Normalized Difference Vegetation Index (NDVI),Buffer Creation
23,script_10828.txt,MODIS/006/MOD09A1,ActOn,Image Collection Filtering,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Filter Image Collection,Filter Image Collection By Date
24,script_10828.txt,users/kongdd/public:Math/pkg_smooth.js,ActOn,Linear Interpolation,users/kongdd/public:Math/,Performs Linear Interpolation,Performs Linear Interpolation
25,script_10828.txt,users/kongdd/public:pkg_vis.js,ActOn,Feature Collection Generation,users/kongdd/,Add A Feature Collection,Create Median Composite Of Images
