ID,Script_ID,Entity_Type,Value,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_BAAI,Top1_Similarity_BAAI
1,script_102957.txt,Function,Filtering Landsat 9 imagery to Los Angeles county and a specific time window,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.873559832572937,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.6819640398025513
2,script_102957.txt,Function,Applying clear pixel mask to the imagery,Clear Pixel Masking,0.9312637448310852,Clear Pixel Masking,0.868929386138916
3,script_102957.txt,Function,Applying cloud and cloud shadow mask to the imagery,Image Cloud Masking,0.929302215576172,Cloud And Shade Masking,0.8472755551338196
4,script_102957.txt,Function,Converting digital numbers to surface reflectance,Reflectance Value Scaling,0.8511672616004944,Surface Reflectance Correction,0.7493118643760681
5,script_102957.txt,Function,Creating a median composite image from the filtered and masked imagery,Create Median Composite Of Images,0.9097158312797546,Create Median Composite Of Images,0.8711545467376709
6,script_10376.txt,Function,Filtering image collection by date and extent,Filter Image Collection By Date And Boundaries,0.9655925035476683,Filter Image Collection By Date And Boundaries,0.8983346223831177
7,script_10376.txt,Function,Applying scale factors to optical and thermal bands,Apply Scale Factors To Features,0.8356567621231079,Apply Scale Factors To Image,0.7598106265068054
8,script_10376.txt,Function,Visualizing images in different bands and combinations,Visualize Images In Different Band Combinations,0.981935739517212,Visualize Images In Different Band Combinations,0.9556409120559692
9,script_10376.txt,Function,Exporting images to Google Drive,Export Processed Images To Google Drive,0.9642196893692015,Export Processed Images To Google Drive,0.9013044834136963
10,script_103827.txt,Function,getWeeklySentinelComposite function for compositing Sentinel-1 images,Displays Composite Image,0.8438551425933838,Creating Monthly Composite,0.6516228914260864
11,script_103827.txt,Function,addLayerSelector function for adding layer selection widgets to maps,Layer Addition To Map,0.8692157864570618,Layer Addition To Map,0.7534493207931519
12,script_103827.txt,Function,updateMap function for updating maps based on user selection,Display Interactive Map,0.8433760404586792,Layer Addition To Map,0.6290981769561768
13,script_106121.txt,Function,"Filtering Sentinel-2 image collection by cloud percentage, date, and geometry",Filter Image Collection By Cloud Coverage,0.9256964325904846,Filter Image Collection By Cloud Coverage,0.7374424934387207
14,script_106121.txt,Function,Selecting a single band from the filtered image collection,Select Specific Bands From Images,0.9000471830368042,Select Specific Bands From Images,0.8294535875320435
15,script_106121.txt,Function,Reprojecting the image to EPSG:4326,Image Reprojection,0.832227349281311,Image Reprojection,0.6757010221481323
16,script_106121.txt,Function,Exporting the reprojected image to Google Drive,Export Processed Images To Google Drive,0.9344058632850648,Export Processed Images To Google Drive,0.8282194137573242
17,script_106121.txt,Function,Visualizing the raw and reprojected images on a map,Image Mapping,0.880668044090271,Image Reprojection,0.7491137981414795
18,script_10828.txt,Function,getGlobalRoi: generates a global region of interest,Area Of Interest Selection,0.7987310290336609,Generate Ratio Images,0.5662307739257812
19,script_10828.txt,Function,maskClouds: masks clouds in MODIS images,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.898966908454895,Image Cloud Masking,0.7545180320739746
20,script_10828.txt,Function,cal_nirv: calculates NIRV values from MODIS images,Calculate Normalized Infrared Vegetation Index (NIRV),0.8413070440292358,Calculate Normalized Infrared Vegetation Index (NIRV),0.6984648108482361
21,script_10828.txt,Function,pkg_smooth.linearInterp: performs linear interpolation on NIRV values,Performs Linear Interpolation,0.8898171782493591,Performs Linear Interpolation,0.761793851852417
22,script_10828.txt,Function,fill: extracts point information from NIRV images,Image Segmentation,0.8322303295135498,Image Gap Filling,0.6601530313491821
23,script_110133.txt,Function,Filtering Sentinel-1 GRD data by predefined parameters,Data Filtering,0.8580082654953003,Filtering Precipitation Data,0.652758002281189
24,script_110133.txt,Function,Selecting images by predefined dates,Filter Images By Date,0.9292048215866088,Filter Images By Date,0.8159124255180359
25,script_110133.txt,Function,Creating a mosaic of selected tiles and clipping to study area,Clip Images To A Specific Region,0.814415693283081,Filter And Mosaic,0.6462466716766357
26,script_110133.txt,Function,Applying reduce radar speckle by smoothing,Radar Image Noise Reduction,0.8947151899337769,Speckle Reduction,0.6868057250976562
27,script_110133.txt,Function,Calculating flood extent,Flood Area Calculation,0.9491036534309388,Flood Area Calculation,0.8345407247543335
28,script_110133.txt,Function,Refining flood result using additional datasets,Calculate Features To Refine Flood Analysis,0.8598055839538574,Calculate Features To Refine Flood Analysis,0.7618657350540161
29,script_110133.txt,Function,Calculating flood extent area,Flood Area Calculation,0.9731873273849488,Flood Area Calculation,0.8863226771354675
30,script_110133.txt,Function,Damage assessment,Visualize Disaster Impacts,0.8457708358764648,Area Degradation Assessment,0.7126961946487427
31,script_110133.txt,Function,Exposed population density calculation,Area Statistics Calculation,0.841342031955719,Forest Canopy Density Calculation,0.6922595500946045
32,script_118175.txt,Function,applyScaleFactors: scales optical and thermal bands of Landsat imagery,Filter And Mosaic Landsat Images,0.8529654741287231,Apply Scale Factors To Image,0.6926388144493103
33,script_118175.txt,Function,maskS2Clouds: masks clouds in Sentinel-2 imagery,Image Cloud Masking,0.8799363374710083,Image Cloud Masking,0.6936914920806885
34,script_118175.txt,Function,add_NDVI: calculates Normalized Difference Vegetation Index,Computes Normalized Difference Vegetation Index (NDVI),0.9704705476760864,Computes Normalized Difference Vegetation Index (NDVI),0.9302284717559814
35,script_118175.txt,Function,add_NDWI: calculates Normalized Difference Water Index,Calculates Normalized Difference Water Index (NDWI),0.9640171527862548,Calculates Normalized Difference Water Index (NDWI),0.9367656707763672
36,script_118175.txt,Function,add_MNDWI: calculates Modified Normalized Difference Water Index,Calculates Modified Normalized Difference Water Index (MNDWI),0.9720538854599,Calculates Modified Normalized Difference Water Index (MNDWI),0.9411264657974243
37,script_118175.txt,Function,add_NDSI: calculates Normalized Difference Snow Index,Calculate Normalized Difference Water Body Index (NDWBI),0.8599215745925903,Calculates Normalized Difference Water Index (NDWI),0.755096435546875
38,script_118175.txt,Function,add_EWI: calculates Enhanced Wetness Index,Calculates Modified Normalized Difference Water Index (MNDWI),0.883324384689331,Topographic Wetness Index (TWI) Computation,0.7573539018630981
39,script_118175.txt,Function,add_ICE: extracts ice cover information from Sentinel-2 imagery,Image Addition,0.8083739876747131,Elevation Data Extraction,0.6123999357223511
40,script_119133.txt,Function,Normalized Burn Ratio (NBR) calculation,Calculate Difference Normalized Burn Ratio (dNBR),0.940029799938202,Calculate Normalized Burn Ratio (NBR) For Images,0.8761486411094666
41,script_119133.txt,Function,Difference NBR (dNBR) calculation,Difference Calculation,0.9118300676345824,Calculate Difference Normalized Burn Ratio (dNBR),0.8668015003204346
42,script_119133.txt,Function,Layer stacking,Image Stacking,0.8914963603019714,Image Stacking,0.779003918170929
43,script_119133.txt,Function,Training dataset generation,Training Data Creation,0.9503920674324036,Training Data Creation,0.8566268682479858
44,script_119133.txt,Function,Weka Cascade K-Means clustering,Cluster Analysis,0.8640159964561462,Image Clustering,0.5851898789405823
45,script_119133.txt,Function,Image classification,Classify Images Based On Training Data,0.9349048137664796,Image Differencing,0.7922650575637817
46,script_119133.txt,Function,Statistics calculation,Statistics Calculation,0.979922890663147,Statistics Calculation,0.9500045776367188
47,script_119133.txt,Function,Visualization,Data Visualization,0.909970760345459,Data Visualization,0.9153507947921753
48,script_119133.txt,Function,Filtering,Filter Feature,0.924488127231598,Data Filtering,0.9053170680999756
49,script_119133.txt,Function,Masking,Image Masking,0.9394485950469972,Mask Application,0.8282065987586975
50,script_119133.txt,Function,Image multiplication,Image Mapping,0.9028042554855348,Image Masking,0.7957509160041809
51,script_11983.txt,Function,maskL8sr (cloud masking and image correction),Image Cloud Masking,0.9125299453735352,Image Cloud Masking,0.7373391389846802
52,script_11983.txt,Function,ndvi (calculating Normalized Difference Vegetation Index),Computes Normalized Difference Vegetation Index (NDVI),0.9725114107131958,Computes Normalized Difference Vegetation Index (NDVI),0.9315072894096375
53,script_11983.txt,Function,image filtering and compositing,Image Preprocessing,0.9145047664642334,Filter And Composite,0.8451406955718994
54,script_11983.txt,Function,image differencing and anomaly calculation,Image Differencing,0.8887104988098145,Anomaly Calculation,0.8027422428131104
55,script_120271.txt,Function,addNDVI function to calculate NDVI band,Add NDVI Band To Images,0.8719644546508789,Add NDVI Band To Images,0.8376029133796692
56,script_120271.txt,Function,median function to calculate median image,Calculates Median Of Image Collection,0.9270375967025756,Create Median Composite Of Images,0.7809439301490784
57,script_120271.txt,Function,clip function to clip image to testing area,Clip Images To A Specific Region,0.927688717842102,Clip Images To A Specific Region,0.7588175535202026
58,script_120271.txt,Function,select function to select NDVI band,Display Selected Band,0.8528622388839722,Add NDVI Band To Images,0.7583335041999817
59,script_120271.txt,Function,reduceRegion function to calculate percentile,Calculate Area Statistics,0.8571405410766602,Reduction Of Image Regions,0.6554005742073059
60,script_120271.txt,Function,Map.addLayer function to add layers to the map,Layer Addition To Map,0.9332688450813292,Layer Addition To Map,0.8356716632843018
61,script_120557.txt,Function,Filtering the region of interest (Florida) from the TIGER/2016/States feature collection,Filter Feature Collection,0.8434203863143921,Filter Images By Region,0.6865379810333252
62,script_120557.txt,Function,Filtering Landsat 8 images within the region of interest and date range,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.9022622108459472,Filter Images By Date And Region,0.7818611264228821
63,script_120557.txt,Function,Extracting QA bits for cloud masking,Cloud Probability Masking,0.8788701295852661,Image Cloud Masking,0.6955083608627319
64,script_120557.txt,Function,Masking out cloudy pixels,Filtering Pixels,0.9231691360473632,Image Cloud Masking,0.8302809000015259
65,script_120557.txt,Function,Applying decision tree classification for land cover types (water and vegetation),Decision Tree Classification,0.8986266851425171,Training And Sampling For Land Cover Classification,0.7486374378204346
66,script_125294.txt,Function,Cloud masking for Landsat 5 images,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.9168812036514282,Image Cloud Masking,0.8042812347412109
67,script_125294.txt,Function,Image collection filtering and reduction,Filter Image Collection,0.93465918302536,Reduction Of Image Collection,0.8569211363792419
68,script_125294.txt,Function,Percentile calculation and image clipping,Image Fraction Calculation,0.8616126775741577,Image Fraction Calculation,0.7130497097969055
69,script_125294.txt,Function,Map visualization and layering,Visualize Data Layers,0.891445517539978,Data Visualization,0.7883856296539307
70,script_125294.txt,Function,Image export to Google Drive,Export Processed Images To Google Drive,0.9600884914398192,Export Processed Images To Google Drive,0.888643741607666
71,script_144864.txt,Function,Filtering and selecting administrative boundaries,Filtering Administrative Boundaries,0.9447554349899292,Filtering Administrative Boundaries,0.9268337488174438
72,script_144864.txt,Function,Cloud masking and image filtering,Image Cloud Masking,0.9474202394485474,Image Cloud Masking,0.8715951442718506
73,script_144864.txt,Function,Image collection and mosaicking,Image Aggregation,0.89922034740448,Image Mosaicking,0.8262996077537537
74,script_144864.txt,Function,NDVI calculation and land cover classification,Computes Normalized Difference Vegetation Index (NDVI),0.9160677194595336,Land Cover Classification And Mapping,0.7610911726951599
75,script_144864.txt,Function,Area calculation and statistics,Area Statistics Calculation,0.9660041332244872,Area Calculation,0.8868552446365356
76,script_146128.txt,Function,Filtering and sorting Sentinel-2 images by date and cloud cover,Filter Images By Cloud Cover,0.9204373359680176,Filter Images By Cloud Cover,0.7324838638305664
77,script_146128.txt,Function,Merging feature collections,Merge Feature Collections,0.981907844543457,Merge Feature Collections,0.9337573051452637
78,script_146128.txt,Function,Creating training data using sample regions,Sampling Regions For Training Data,0.9582559466362,Sampling Regions For Training Data,0.9102733135223389
79,script_146128.txt,Function,Training a classifier using CART algorithm,Training CART Classifier,0.9732897281646729,Training CART Classifier,0.9008207321166992
80,script_146128.txt,Function,Running classification on Sentinel-2 image,Classify Images Based On Training Data,0.8955029249191284,Run Algorithm For Change Detection,0.620660662651062
81,script_15043.txt,Function,Sample regions for training data,Sampling Regions For Training Data,0.9588192701339722,Sampling Regions For Training Data,0.9400995969772339
82,script_15043.txt,Function,Classify images using Random Forest and CART classifiers,Classify Images Based On Training Data,0.8987768292427063,Training CART Classifier,0.7320683002471924
83,script_15043.txt,Function,Compute variable importance,Feature Importance Calculation,0.8481618165969849,Feature Importance Calculation,0.7352567911148071
84,script_15043.txt,Function,Classify test data,Validating Classification,0.8813392519950867,Classify Images Based On Training Data,0.7367852330207825
85,script_15043.txt,Function,Accuracy assessment,Accuracy Assessment,0.984325647354126,Accuracy Assessment,0.9661080837249756
86,script_15043.txt,Function,Visualize results,Visualize NDVI Results,0.9129524230957032,Visualize NDVI Results,0.8492670059204102
87,script_155017.txt,Function,Filtering MODIS images by bounds and date,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.9004800915718079,Filter Image Collection By Date And Boundaries,0.8551954030990601
88,script_155017.txt,Function,Clipping images to Himachal Pradesh region,Clip Images To Specific Geographic Boundaries,0.9020450115203856,Clip Images To A Specific Region,0.8056396245956421
89,script_155017.txt,Function,Scaling LST values,Scaling index/indices values,0.8397694826126099,Scaling Image Values,0.768659234046936
90,script_155017.txt,Function,Reducing regions to mean LST values,Mean Reduction,0.8420562148094177,Reduction Of Image Regions,0.7210267782211304
91,script_155017.txt,Function,Joining tables by label and imageId,Converts Joined Data To Image Collection,0.8311824798583984,Converts Joined Data To Image Collection,0.6777243614196777
92,script_155017.txt,Function,Exporting results to CSV,Export Results,0.8930438756942749,Exporting Prediction Results,0.7454274296760559
93,script_165234.txt,Function,Filtering MODIS data by year (2019) and applying cloud mask,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.8831815719604492,Cloud Filtering,0.6538130640983582
94,script_165234.txt,Function,Scaling MODIS data,Apply Scale Factors To Features,0.8351670503616333,Scaling index/indices values,0.7310594320297241
95,script_165234.txt,Function,Calculating NDVI,Computes Normalized Difference Vegetation Index (NDVI),0.893216073513031,Compute Median Of NDVI,0.8779250383377075
96,script_165234.txt,Function,"Extracting date, month, and day of year from MODIS data",Elevation Data Extraction,0.8062990307807922,Add Date Information To Images,0.6159853935241699
97,script_165234.txt,Function,Creating a quality mosaic of NDVI,Visualize NDVI Results,0.855435311794281,Addition Of NDVI,0.7105343341827393
98,script_165234.txt,Function,"Visualizing NDVI, greenest pixel, greenest month, and greenest day of year",Visualize NDVI And Date Information,0.8890090584754944,Visualize NDVI And Date Information,0.7746188640594482
99,script_173652.txt,Function,maskL8sr,Mask Application,0.8318372964859009,Shadow Masking,0.5719122886657715
100,script_173652.txt,Function,filterDate,Filter Images By Date,0.8821566104888916,Filter Images By Date,0.7557669878005981
101,script_173652.txt,Function,map,Filter And Map,0.8471934795379639,Display Interactive Map,0.7245842218399048
102,script_173652.txt,Function,clip,Clip Images,0.8915505409240723,Clip Images,0.7891244888305664
103,script_173652.txt,Function,median,Calculates Median Values,0.8870102167129517,Calculates Median Values,0.7249610424041748
104,script_173652.txt,Function,reduceRegions,Reduction Of Image Regions,0.8614928722381592,Reduction Of Image Regions,0.6575111150741577
105,script_173652.txt,Function,Export.table.toDrive,Export Processed Data To Drive,0.8860909938812256,Export Processed Data To Drive,0.7416028380393982
106,script_174474.txt,Function,Filtering image collection by cloud cover and date,Filter Image Collection By Cloud Coverage,0.9714978337287904,Filter Images By Cloud Cover,0.8809105753898621
107,script_174474.txt,Function,Masking clouds and shadows in images,Image Cloud Masking,0.9403729438781738,Cloud And Shade Masking,0.8428606390953064
108,script_174474.txt,Function,Calculating NDVI,Computes Normalized Difference Vegetation Index (NDVI),0.893216073513031,Compute Median Of NDVI,0.8779250383377075
109,script_174474.txt,Function,Clipping images to a specific geometry,Clip Images To A Specific Region,0.9240905046463012,Clip Images To A Specific Region,0.8571103811264038
110,script_174474.txt,Function,Compositing images,Generate Image Composites,0.9306178092956544,Generate Image Composites,0.885098934173584
111,script_174474.txt,Function,Adding layers to the map,Layer Addition To Map,0.9399656057357788,Layer Addition To Map,0.9115357995033264
112,script_174747.txt,Function,Filtering country boundaries,Filtering Administrative Boundaries,0.8806114196777344,Filtering Administrative Boundaries,0.8681634664535522
113,script_174747.txt,Function,Importing LST image collection,Import/Load Data,0.8172337412834167,Export Composite Image,0.67391037940979
114,script_174747.txt,Function,Scaling to Kelvin and converting to Celsius,Temperature Calculation,0.8457404375076294,Scaling index/indices values,0.6971960663795471
115,script_174747.txt,Function,Charting time series of LST,Generate Time Series Charts,0.8725140690803528,Generate Time Series Charts Of Temperature Data,0.6922225952148438
116,script_174747.txt,Function,Calculating 8-day mean temperature,Temperature Calculation,0.8670471906661987,Temperature Calculation,0.7507599592208862
117,script_174747.txt,Function,Testing trend with Sen's slope,Trend Analysis,0.8483772873878479,Detect Trends In Time Series Data,0.6447591781616211
118,script_174747.txt,Function,Exporting images to Drive,Export Processed Images To Drive,0.9545556306838988,Export Processed Images To Drive,0.894373893737793
119,script_179626.txt,Function,Cloud masking using Landsat 8 imagery,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.9073779582977296,Image Cloud Masking,0.7897147536277771
120,script_179626.txt,Function,NDVI calculation and visualization,Visualize NDVI Results,0.9275408387184144,Addition Of NDVI,0.8257635831832886
121,script_179626.txt,Function,Thermal band selection and visualization,Visualize Temperature Data,0.9078728556632996,Image Band Normalization,0.7457746267318726
122,script_179626.txt,Function,Fractional Vegetation Cover (FV) calculation,Fractional Vegetation Cover (FVC) Calculation,0.9898765087127686,Fractional Vegetation Cover (FVC) Calculation,0.9491953253746033
123,script_179626.txt,Function,Emissivity (EM) calculation,Emissivity Calculation,0.9635583758354188,Emissivity Calculation,0.8647921085357666
124,script_179626.txt,Function,Land Surface Temperature (LST) calculation and visualization,Visualize Temperature Data,0.90128755569458,Surface Temperature Calculation,0.7697618007659912
125,script_180257.txt,Function,Filtering Landsat 7 imagery by date,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.9007166624069214,Filter Images By Date,0.7988253831863403
126,script_180257.txt,Function,Painting a feature collection onto an image,Image Mapping,0.8680510520935059,Add A Feature Collection,0.7434619665145874
127,script_180257.txt,Function,Buffering points,Buffering Points,0.9868528842926024,Buffering Points,0.9510499238967896
128,script_180257.txt,Function,Calculating zonal statistics,Calculate Area Statistics,0.92237788438797,Calculate Area Statistics,0.7556643486022949
129,script_180257.txt,Function,Masking clouds and shadows in Landsat 7 imagery,Cloud And Shade Masking,0.8950934410095215,Image Cloud Masking,0.7562661170959473
130,script_180257.txt,Function,Renaming bands in Landsat 7 imagery,Rename Image Bands,0.898128092288971,Rename Image Bands,0.7533609867095947
131,script_180257.txt,Function,Preparing Landsat 7 imagery for analysis,Filter And Mosaic Landsat Images,0.8639907836914062,"Merge, Harmonize, And Standardize Landsat Image Collections",0.6680169701576233
132,script_186294.txt,Function,Filtering Sentinel-2 images by date and bounds,Filter Image Collection By Date And Boundaries,0.912322163581848,Filter Image Collection By Date And Boundaries,0.790355920791626
133,script_186294.txt,Function,Applying NDVI function to the image collection,Add NDVI Band To Images,0.9153958559036256,Add NDVI Band To Images,0.821528434753418
134,script_186294.txt,Function,Masking images using QA60 band,Image Masking,0.8949012756347656,Image Masking,0.7190017700195312
135,script_186294.txt,Function,Clipping and visualizing NDVI results,Visualize NDVI Results,0.9477015733718872,Visualize NDVI Results,0.8690491914749146
136,script_186294.txt,Function,Exporting NDVI image to Google Drive,Export Processed Images To Google Drive,0.9092391729354858,Export Processed Images To Google Drive,0.7858908176422119
137,script_186319.txt,Function,Filtering and sorting image collections,Filter Image Collection,0.9457322955131532,Merge And Sort Image Collections,0.8351970911026001
