Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity,Head_Entity_update,Tail_Entity_update,Tail_Entity_update_pair
1,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filtering Landsat 9 imagery to Los Angeles county and a specific time window,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,Sort Image Collections By Cloud Cover
2,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Applying clear pixel mask to the imagery,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Clear Pixel Masking,Filter Image Collection By Date And Region
3,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Applying cloud and cloud shadow mask to the imagery,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Cloud And Shade Masking,Cloud And Shade Masking
4,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Converting digital numbers to surface reflectance,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Surface Reflectance Correction,Surface water area computation
5,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Creating a median composite image from the filtered and masked imagery,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Create Median Composite Of Images,Create Median Composite Of Images
6,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Filtering Landsat 9 imagery to Los Angeles county and a specific time window,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,Sort Image Collections By Cloud Cover
7,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Filtering image collection by date and extent,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Filter Image Collection By Date And Boundaries,Filter Image Collection By Date And Boundaries
8,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Applying scale factors to optical and thermal bands,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Apply Scale Factors To Image,Apply Scale Factors To Image
9,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Visualizing images in different bands and combinations,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Visualize Images In Different Band Combinations,Computes Normalized Difference Vegetation Index (NDVI)
10,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Exporting images to Google Drive,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Export Processed Images To Google Drive,Cluster Analysis
11,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,updateMap function for updating maps based on user selection,users/hrishippatel/,Layer Addition To Map,Layer Addition To Map
12,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,addLayerSelector function for adding layer selection widgets to maps,users/hrishippatel/,Layer Addition To Map,Layer Addition To Map
13,script_103827.txt,COPERNICUS/S1_GRD,ActOn,getWeeklySentinelComposite function for compositing Sentinel-1 images,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Creating Monthly Composite,Image Cloud Masking
14,script_103827.txt,COPERNICUS/S1_GRD,ActOn,updateMap function for updating maps based on user selection,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Layer Addition To Map,Layer Addition To Map
15,script_103827.txt,COPERNICUS/S1_GRD,ActOn,addLayerSelector function for adding layer selection widgets to maps,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Layer Addition To Map,Layer Addition To Map
16,script_106121.txt,COPERNICUS/S2,ActOn,"Filtering Sentinel-2 image collection by cloud percentage, date, and geometry","Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage
17,script_106121.txt,COPERNICUS/S2,ActOn,Selecting a single band from the filtered image collection,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Select Specific Bands From Images,Select Land Cover Types
18,script_106121.txt,COPERNICUS/S2,ActOn,Reprojecting the image to EPSG:4326,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Image Reprojection,Image Reprojection
19,script_106121.txt,COPERNICUS/S2,ActOn,Exporting the reprojected image to Google Drive,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Export Processed Images To Google Drive,Cluster Analysis
20,script_106121.txt,COPERNICUS/S2,ActOn,Visualizing the raw and reprojected images on a map,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Image Reprojection,Image Reprojection
21,script_10828.txt,MODIS/006/MOD09A1,ActOn,getGlobalRoi: generates a global region of interest,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Generate Ratio Images,Forest Area Calculation
22,script_10828.txt,MODIS/006/MOD09A1,ActOn,maskClouds: masks clouds in MODIS images,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Image Cloud Masking,Image Cloud Masking
23,script_10828.txt,MODIS/006/MOD09A1,ActOn,cal_nirv: calculates NIRV values from MODIS images,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Calculate Normalized Infrared Vegetation Index (NIRV),Computes Normalized Difference Vegetation Index (NDVI)
24,script_10828.txt,MODIS/006/MOD09A1,ActOn,pkg_smooth.linearInterp: performs linear interpolation on NIRV values,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Performs Linear Interpolation,Performs Linear Interpolation
25,script_10828.txt,MODIS/006/MOD09A1,ActOn,fill: extracts point information from NIRV images,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Image Gap Filling,Image Gap Filling
26,script_110133.txt,users/felixgeooperations/Drin/20210112_Drin_flood,ActOn,Filtering Sentinel-1 GRD data by predefined parameters,users/felixgeooperations/Drin/,Filtering Precipitation Data,Filter Image Collection By Date And Region
27,script_110133.txt,users/felixgeooperations/Drin/20210112_Drin_flood,ActOn,Calculating flood extent,users/felixgeooperations/Drin/,Flood Area Calculation,Flood Area Calculation
28,script_110133.txt,users/felixgeooperations/Drin/20210112_Drin_flood,ActOn,Calculating flood extent area,users/felixgeooperations/Drin/,Flood Area Calculation,Flood Area Calculation
29,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Filtering Sentinel-1 GRD data by predefined parameters,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filtering Precipitation Data,Filter Image Collection By Date And Region
30,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Selecting images by predefined dates,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filter Images By Date,Filter Image Collection By Date And Boundaries
31,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Applying reduce radar speckle by smoothing,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Speckle Reduction,Speckle Reduction
32,script_110133.txt,JRC/GSW1_0/GlobalSurfaceWater,ActOn,Refining flood result using additional datasets,"JRC Global Surface Water Mapping Layers, v1.4",Calculate Features To Refine Flood Analysis,Threshold Application
33,script_110133.txt,WWF/HydroSHEDS/03VFDEM,ActOn,Refining flood result using additional datasets,"WWF HydroSHEDS Void-Filled DEM, 3 Arc-Seconds",Calculate Features To Refine Flood Analysis,Threshold Application
34,script_110133.txt,JRC/GHSL/P2016/POP_GPW_GLOBE_V1/2015,ActOn,Exposed population density calculation,"GHSL: Global Human Settlement Layers, Built-Up Grid 1975-1990-2000-2015 (P2016)",Forest Canopy Density Calculation,Forest Canopy Density Calculation
35,script_110133.txt,JRC/GHSL/P2016/POP_GPW_GLOBE_V1/2015,ActOn,Damage assessment,"GHSL: Global Human Settlement Layers, Built-Up Grid 1975-1990-2000-2015 (P2016)",Area Degradation Assessment,Area Degradation Assessment
36,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,applyScaleFactors: scales optical and thermal bands of Landsat imagery,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Apply Scale Factors To Image,Apply Scale Factors To Image
37,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,applyScaleFactors: scales optical and thermal bands of Landsat imagery,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Apply Scale Factors To Image,Apply Scale Factors To Image
38,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,add_NDVI: calculates Normalized Difference Vegetation Index,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Computes Normalized Difference Vegetation Index (NDVI),Computes Normalized Difference Vegetation Index (NDVI)
39,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,add_NDVI: calculates Normalized Difference Vegetation Index,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Computes Normalized Difference Vegetation Index (NDVI),Computes Normalized Difference Vegetation Index (NDVI)
40,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,add_NDWI: calculates Normalized Difference Water Index,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Calculates Normalized Difference Water Index (NDWI),Calculates Normalized Difference Water Index (NDWI)
41,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,add_NDWI: calculates Normalized Difference Water Index,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Calculates Normalized Difference Water Index (NDWI),Calculates Normalized Difference Water Index (NDWI)
42,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,add_MNDWI: calculates Modified Normalized Difference Water Index,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Calculates Modified Normalized Difference Water Index (MNDWI),Image Index Calculation
43,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,add_MNDWI: calculates Modified Normalized Difference Water Index,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Calculates Modified Normalized Difference Water Index (MNDWI),Image Index Calculation
44,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,add_NDSI: calculates Normalized Difference Snow Index,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Calculates Normalized Difference Water Index (NDWI),Calculates Normalized Difference Water Index (NDWI)
45,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,add_NDSI: calculates Normalized Difference Snow Index,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Calculates Normalized Difference Water Index (NDWI),Calculates Normalized Difference Water Index (NDWI)
46,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,add_EWI: calculates Enhanced Wetness Index,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Topographic Wetness Index (TWI) Computation,Shadow Detection
47,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,add_EWI: calculates Enhanced Wetness Index,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Topographic Wetness Index (TWI) Computation,Shadow Detection
48,script_118175.txt,COPERNICUS/S2_SR,ActOn,maskS2Clouds: masks clouds in Sentinel-2 imagery,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Image Cloud Masking,Image Cloud Masking
49,script_118175.txt,COPERNICUS/S2_SR,ActOn,add_ICE: extracts ice cover information from Sentinel-2 imagery,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Elevation Data Extraction,Temperature Calculation
50,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Normalized Burn Ratio (NBR) calculation,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Calculate Normalized Burn Ratio (NBR) For Images,Land Cover Change Detection
51,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Normalized Burn Ratio (NBR) calculation,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Calculate Normalized Burn Ratio (NBR) For Images,Land Cover Change Detection
52,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Difference NBR (dNBR) calculation,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Calculate Difference Normalized Burn Ratio (dNBR),Calculate Difference Normalized Burn Ratio (dNBR)
53,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Difference NBR (dNBR) calculation,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Calculate Difference Normalized Burn Ratio (dNBR),Calculate Difference Normalized Burn Ratio (dNBR)
54,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Layer stacking,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Image Stacking,Image Stacking
55,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Layer stacking,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Image Stacking,Image Stacking
56,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Training dataset generation,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Training Data Creation,Train A Clusterer
57,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Training dataset generation,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Training Data Creation,Train A Clusterer
58,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Weka Cascade K-Means clustering,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Image Clustering,Image Clustering
59,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Weka Cascade K-Means clustering,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Image Clustering,Image Clustering
60,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Image classification,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Image Differencing,Image Differencing
61,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Image classification,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Image Differencing,Image Differencing
62,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Statistics calculation,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Statistics Calculation,Apply Mask To Classification Results
63,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Statistics calculation,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Statistics Calculation,Apply Mask To Classification Results
64,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Visualization,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Data Visualization,Visualize Images In Different Band Combinations
65,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Visualization,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Data Visualization,Visualize Images In Different Band Combinations
66,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Filtering,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Data Filtering,Data Filtering
67,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Filtering,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Data Filtering,Data Filtering
68,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Masking,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Mask Application,Cloud And Water Masking
69,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Masking,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Mask Application,Cloud And Water Masking
70,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Image multiplication,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Image Masking,Burn Masking
71,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Image multiplication,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Image Masking,Burn Masking
72,script_11983.txt,LANDSAT/LC08/C01/T1_SR,ActOn,maskL8sr (cloud masking and image correction),USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Image Cloud Masking,Image Cloud Masking
73,script_11983.txt,LANDSAT/LC08/C01/T1_SR,ActOn,ndvi (calculating Normalized Difference Vegetation Index),USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Computes Normalized Difference Vegetation Index (NDVI),Computes Normalized Difference Vegetation Index (NDVI)
74,script_11983.txt,LANDSAT/LC08/C01/T1_SR,ActOn,image filtering and compositing,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Filter And Composite,Filter Image Collection
75,script_11983.txt,LANDSAT/LC08/C01/T1_SR,ActOn,image differencing and anomaly calculation,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Anomaly Calculation,Anomaly Calculation
76,script_120271.txt,COPERNICUS/S2_SR,ActOn,addNDVI function to calculate NDVI band,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Add NDVI Band To Images,Add NDVI Band To Images
77,script_120271.txt,COPERNICUS/S2_SR,ActOn,median function to calculate median image,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Create Median Composite Of Images,Create Median Composite Of Images
78,script_120271.txt,COPERNICUS/S2_SR,ActOn,clip function to clip image to testing area,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Clip Images To A Specific Region,Clip Images To A Specific Region
79,script_120271.txt,COPERNICUS/S2_SR,ActOn,select function to select NDVI band,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Add NDVI Band To Images,Add NDVI Band To Images
80,script_120271.txt,COPERNICUS/S2_SR,ActOn,reduceRegion function to calculate percentile,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Reduction Of Image Regions,Reduction Of Image Regions
81,script_120271.txt,COPERNICUS/S2_SR,ActOn,Map.addLayer function to add layers to the map,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Layer Addition To Map,Layer Addition To Map
82,script_120557.txt,TIGER/2016/States,ActOn,Filtering the region of interest (Florida) from the TIGER/2016/States feature collection,TIGER: US Census States 2016,Filter Images By Region,Filter Images By Date And Region
83,script_120557.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Filtering Landsat 8 images within the region of interest and date range,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Filter Images By Date And Region,Filter Image Collection By Date And Boundaries
84,script_120557.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Extracting QA bits for cloud masking,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Image Cloud Masking,Image Cloud Masking
85,script_120557.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Masking out cloudy pixels,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Image Cloud Masking,Image Cloud Masking
