Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity,Head_Entity_update,Tail_Entity_update,Tail_Entity_update_pair
1,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filtering Landsat 9 imagery to Los Angeles county and a specific time window,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,Filter Image Collection By Date
2,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Applying clear pixel mask to the imagery,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Clear Pixel Masking,Clear Pixel Masking
3,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Applying cloud and cloud shadow mask to the imagery,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Image Cloud Masking,Image Cloud Masking
4,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Converting digital numbers to surface reflectance,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Reflectance Value Scaling,Surface Reflectance Correction
5,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Creating a median composite image from the filtered and masked imagery,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Create Median Composite Of Images,Create Median Composite Of Images
6,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Filtering Landsat 9 imagery to Los Angeles county and a specific time window,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,Filter Image Collection By Date
7,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Filtering image collection by date and extent,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Filter Image Collection By Date And Boundaries,Filter Image Collection By Date And Boundaries
8,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Applying scale factors to optical and thermal bands,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Apply Scale Factors To Features,Apply Scale Factors To Image
9,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Visualizing images in different bands and combinations,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Visualize Images In Different Band Combinations,Calculate NBR For Pre-Fire Image
10,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Exporting images to Google Drive,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Export Processed Images To Google Drive,Cluster Analysis
11,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,updateMap function for updating maps based on user selection,users/hrishippatel/,Display Interactive Map,Displays Composite Image
12,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,addLayerSelector function for adding layer selection widgets to maps,users/hrishippatel/,Layer Addition To Map,Layer Addition To Map
13,script_103827.txt,COPERNICUS/S1_GRD,ActOn,getWeeklySentinelComposite function for compositing Sentinel-1 images,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Displays Composite Image,Clip Images To A Specific Region
14,script_103827.txt,COPERNICUS/S1_GRD,ActOn,updateMap function for updating maps based on user selection,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Display Interactive Map,Displays Composite Image
15,script_103827.txt,COPERNICUS/S1_GRD,ActOn,addLayerSelector function for adding layer selection widgets to maps,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Layer Addition To Map,Layer Addition To Map
16,script_106121.txt,COPERNICUS/S2,ActOn,"Filtering Sentinel-2 image collection by cloud percentage, date, and geometry","Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage
17,script_106121.txt,COPERNICUS/S2,ActOn,Selecting a single band from the filtered image collection,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Select Specific Bands From Images,Select Land Cover Types
18,script_106121.txt,COPERNICUS/S2,ActOn,Reprojecting the image to EPSG:4326,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Image Reprojection,Image Mosaicking
