ID,Script_ID,Entity_Type,Value,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_BAAI,Top1_Similarity_BAAI
1,script_102957.txt,Theme,Land cover analysis using Landsat 9 imagery and FAO administrative boundaries,LAND USE/LAND COVER CLASSIFICATION,0.8238955140113831,LAND USE/LAND COVER,0.6288700103759766
2,script_10376.txt,Theme,Landsat 8 Image Processing and Visualization,RADAR IMAGERY,0.8093045949935913,RADAR IMAGERY,0.5712592005729675
3,script_103827.txt,Theme,Flood analysis and monitoring using Sentinel-1 imagery,FLOOD LEVELS,0.8169852495193481,FLOOD FREQUENCY,0.6560566425323486
4,script_106121.txt,Theme,Reprojection and Export of Sentinel-2 Image,RADAR IMAGERY,0.7895249724388123,ISOSTATIC REBOUND,0.5586087703704834
5,script_10828.txt,Theme,MODIS data processing and analysis,SHORELINE MAPPING,0.8040990233421326,FEED PROCESSING,0.5916306376457214
6,script_110133.txt,Theme,Flood extent calculation and damage assessment,FLOOD LEVELS,0.8647259473800659,INUNDATION AMOUNT,0.6893178224563599
7,script_118175.txt,Theme,Land cover classification and change detection using Landsat and Sentinel-2 imagery,LAND USE/LAND COVER CLASSIFICATION,0.8318648338317871,LAND USE/LAND COVER CLASSIFICATION,0.6410776972770691
8,script_119133.txt,Theme,Burned area detection and severity analysis,BURNED AREA,0.8603806495666504,BURNED AREA,0.6686530709266663
9,script_11983.txt,Theme,Land cover analysis using Landsat 8 imagery,LAND SURFACE/AGRICULTURE INDICATORS,0.829707145690918,LAND USE/LAND COVER CLASSIFICATION,0.6278092861175537
10,script_120271.txt,Theme,NDVI calculation and visualization,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.823727548122406,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.6963736414909363
11,script_120557.txt,Theme,Land cover classification and cloud masking,LAND USE/LAND COVER CLASSIFICATION,0.8715848922729492,LAND USE/LAND COVER CLASSIFICATION,0.7124004364013672
12,script_125294.txt,Theme,Land cover analysis and image processing,LAND USE/LAND COVER,0.8556804656982422,LAND USE/LAND COVER,0.7129390239715576
13,script_144864.txt,Theme,Land cover classification and area calculation,LAND USE/LAND COVER CLASSIFICATION,0.8855082988739014,LAND USE/LAND COVER CLASSIFICATION,0.7441446185112
14,script_146128.txt,Theme,Land cover classification using Sentinel-2 imagery,LAND USE/LAND COVER CLASSIFICATION,0.8466280102729797,LAND USE/LAND COVER CLASSIFICATION,0.705150842666626
15,script_15043.txt,Theme,Land Use Land Cover (LULC) classification using optical and SAR data,LAND USE/LAND COVER CLASSIFICATION,0.8640153408050537,LAND USE/LAND COVER CLASSIFICATION,0.7191567420959473
16,script_155017.txt,Theme,Land Surface Temperature Analysis,LAND SURFACE TEMPERATURE,0.8780211210250854,LAND SURFACE TEMPERATURE,0.7907720804214478
17,script_165234.txt,Theme,Land cover analysis using MODIS data,LAND SURFACE/AGRICULTURE INDICATORS,0.8472093343734741,LAND USE/LAND COVER CLASSIFICATION,0.6284675598144531
18,script_173652.txt,Theme,Land cover change analysis using Landsat 8 imagery and LandTrendr algorithm,LAND SURFACE/AGRICULTURE INDICATORS,0.828440248966217,GEOMORPHIC LANDFORMS/PROCESSES,0.5746409893035889
