Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity,Head_Entity_update,Tail_Entity_update,Tail_Entity_update_pair
1,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filtering image collection by spatial bounds,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Image Collection By Bounds,Filter Image Collection By Bounds
2,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filtering image collection by time window,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Image Collection By Time,Filter Image Collection By Date And Boundaries
3,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Masking cloud and cloud shadow,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Cloud And Shade Masking,Filter Image Collection By Date And Region
4,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Converting DN to SR,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Data Conversion,Data Conversion
5,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Median compositing to convert IC to Image,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Create Median Composite Of Images,Create Median Composite Of Images
6,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Image collection filtering,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Filter Image Collection,Filter Image Collection By Time
7,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Image clipping,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Clip Images,Spatial Clipping
8,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Reflectance conversion,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Reflectance Value Scaling,Reflectance Value Scaling
9,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Image visualization,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Enhancing Image Visualization,Layer Addition To Map
10,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Image exporting,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Export Composite Image,Export Processed Data To Drive
11,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Clipping images to a specific region,users/hrishippatel/,Clip Images To A Specific Region,Clip Images To A Specific Region
12,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Visualizing images,users/hrishippatel/,Enhancing Image Visualization,Layer Addition To Map
