ID,Script_ID,Entity_Type,Value,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_BAAI,Top1_Similarity_BAAI
1,script_102957.txt,Theme,Land cover analysis in Los Angeles County,LAND SURFACE/AGRICULTURE INDICATORS,0.8359535336494446,LAND USE/LAND COVER CLASSIFICATION,0.6653265953063965
2,script_10376.txt,Theme,Land surface reflectance analysis,APPARENT SURFACE REFLECTIVITY,0.8483002185821533,APPARENT SURFACE REFLECTIVITY,0.746894121170044
3,script_103827.txt,Theme,Flood monitoring and analysis,FLOOD LEVELS,0.849592924118042,FLOOD FREQUENCY,0.7039854526519775
4,script_106121.txt,Theme,Sentinel-2 Image Reprojection and Export,RADAR IMAGERY,0.7797187566757202,SPECTRAL/ENGINEERING,0.5648483037948608
5,script_10828.txt,Theme,Vegetation Index Analysis,VEGETATION INDEX,0.9318158626556396,VEGETATION INDEX,0.7920093536376953
6,script_118175.txt,Theme,Land cover classification and vegetation index analysis,VEGETATION INDEX,0.891660213470459,LAND USE/LAND COVER CLASSIFICATION,0.7290212512016296
7,script_119133.txt,Theme,Wildfire severity analysis,FIRE WEATHER INDEX,0.8797204494476318,FIRE WEATHER INDEX,0.597022294998169
8,script_11983.txt,Theme,Vegetation Index Analysis,VEGETATION INDEX,0.9318158626556396,VEGETATION INDEX,0.7920093536376953
9,script_120271.txt,Theme,NDVI Analysis,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.8418113589286804,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.6897026300430298
10,script_120557.txt,Theme,Land cover classification in Florida,LAND USE/LAND COVER CLASSIFICATION,0.8443316221237183,LAND USE/LAND COVER CLASSIFICATION,0.735061764717102
11,script_125294.txt,Theme,Ecorregion Alto Parana analysis,ALUMINUM-26 ANALYSIS,0.8165044784545898,ANTHROPOGENIC/HUMAN INFLUENCED ECOSYSTEMS,0.5049757957458496
12,script_144864.txt,Theme,"Land cover classification in Hai Phong, Vietnam",LAND USE/LAND COVER CLASSIFICATION,0.8527897596359253,LAND USE/LAND COVER CLASSIFICATION,0.6664668321609497
13,script_146128.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.9255800247192384,LAND USE/LAND COVER CLASSIFICATION,0.8051952123641968
14,script_15043.txt,Theme,Land Use Land Cover Classification,LAND USE/LAND COVER CLASSIFICATION,0.9516774415969848,LAND USE/LAND COVER CLASSIFICATION,0.8438441753387451
15,script_155017.txt,Theme,Land Surface Temperature Analysis in Himachal Pradesh,LAND SURFACE TEMPERATURE,0.856417715549469,LAND SURFACE TEMPERATURE,0.6625570058822632
16,script_165234.txt,Theme,MODIS vegetation analysis,VEGETATION INDEX,0.8547351360321045,SURFACE MOISTURE INDEX,0.599446713924408
17,script_165234.txt,Theme,Country boundary analysis,COUNTRY BOUNDARIES,0.8916383981704712,COUNTRY BOUNDARIES,0.7522695064544678
18,script_173652.txt,Theme,Land cover change detection and analysis,LAND SURFACE/AGRICULTURE INDICATORS,0.8615080118179321,LAND USE/LAND COVER CLASSIFICATION,0.6886385679244995
19,script_174474.txt,Theme,Land cover analysis using Landsat 5 imagery,SATELLITE SOIL MOISTURE INDEX,0.8380022048950195,LAND USE/LAND COVER CLASSIFICATION,0.6359426379203796
20,script_174747.txt,Theme,"Land Surface Temperature Analysis in Michoacan, Mexico",LAND SURFACE TEMPERATURE,0.8376045823097229,LAND SURFACE TEMPERATURE,0.6816996335983276
21,script_179626.txt,Theme,Land Surface Temperature Analysis,LAND SURFACE TEMPERATURE,0.8780211210250854,LAND SURFACE TEMPERATURE,0.7907720804214478
22,script_180257.txt,Theme,Land cover analysis using Landsat imagery,LAND SURFACE/AGRICULTURE INDICATORS,0.8462215662002563,LAND USE/LAND COVER CLASSIFICATION,0.6688590049743652
23,script_186294.txt,Theme,Land cover classification and vegetation analysis,LAND USE/LAND COVER CLASSIFICATION,0.8886501789093018,LAND USE/LAND COVER CLASSIFICATION,0.7493199706077576
24,script_186319.txt,Theme,Forest monitoring and land cover change detection,FOREST MENSURATION,0.8819835782051086,FOREST MENSURATION,0.7361018657684326
25,script_186320.txt,Theme,Forest monitoring and early detection of forest loss and fire using Sentinel-2 images,FOREST MENSURATION,0.8337796330451965,FOREST MENSURATION,0.6834716796875
26,script_186321.txt,Theme,Forest monitoring and early detection of forest loss and fire using Sentinel-2 images,FOREST MENSURATION,0.8337796330451965,FOREST MENSURATION,0.6834716796875
27,script_186323.txt,Theme,Forest monitoring and deforestation detection,FOREST MENSURATION,0.8835861682891846,FOREST MENSURATION,0.7792404294013977
28,script_186325.txt,Theme,Forest monitoring and land cover change detection,FOREST MENSURATION,0.8819835782051086,FOREST MENSURATION,0.7361018657684326
29,script_186326.txt,Theme,Forest monitoring and early detection of forest loss and fire using Sentinel-2 images,FOREST MENSURATION,0.8337796330451965,FOREST MENSURATION,0.6834716796875
30,script_186329.txt,Theme,Forest monitoring and land cover change detection,FOREST MENSURATION,0.8819835782051086,FOREST MENSURATION,0.7361018657684326
31,script_186332.txt,Theme,"Land cover classification and crop type identification in Maharashtra, India",LAND SURFACE/AGRICULTURE INDICATORS,0.8568705320358276,LAND USE/LAND COVER CLASSIFICATION,0.6466285586357117
32,script_186333.txt,Theme,"Crop classification and land use analysis in Maharashtra, India",LAND SURFACE/AGRICULTURE INDICATORS,0.8516764044761658,LAND USE/LAND COVER CLASSIFICATION,0.6430227756500244
33,script_186334.txt,Theme,Land cover classification and crop type identification,LAND SURFACE/AGRICULTURE INDICATORS,0.8978045582771301,LAND USE/LAND COVER CLASSIFICATION,0.7435523867607117
34,script_186356.txt,Theme,Land cover classification using Sentinel-1 data,LAND USE/LAND COVER CLASSIFICATION,0.8409910798072815,LAND USE/LAND COVER CLASSIFICATION,0.7032828330993652
35,script_186365.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.9255800247192384,LAND USE/LAND COVER CLASSIFICATION,0.8051952123641968
36,script_186365.txt,Theme,Vegetation analysis,VEGETATION INDEX,0.9112643003463744,VEGETATION,0.7123562097549438
37,script_186365.txt,Theme,Burn area detection,BURNED AREA,0.8658654689788818,BURNED AREA,0.6871712803840637
38,script_186365.txt,Theme,Snow detection,SNOW MICROSTRUCTURE,0.8743677735328674,SNOW DENSITY,0.7380900979042053
39,script_186365.txt,Theme,Linear transformation,TRANSITION DIRECTION,0.8488185405731201,EVOLUTIONARY ADAPTATION,0.6744122505187988
40,script_186365.txt,Theme,Principal component analysis,PRECIPITATION ANOMALIES,0.822684645652771,MAJOR ELEMENTS,0.6104475855827332
41,script_186365.txt,Theme,Spectral unmixing,SPECTRAL IRRADIANCE,0.8740299940109253,SPECTRAL IRRADIANCE,0.660219132900238
42,script_186365.txt,Theme,Pan-sharpening,SUB-DEBRIS MELT ENHANCEMENT,0.7918804287910461,INFRARED IMAGERY,0.6530032753944397
43,script_186378.txt,Theme,Land cover classification and vegetation monitoring,LAND SURFACE/AGRICULTURE INDICATORS,0.8811299204826355,LAND USE/LAND COVER CLASSIFICATION,0.7356984615325928
44,script_186380.txt,Theme,Marsh bird survey points analysis using Landsat 7 and 8 imagery,SATELLITE SOIL MOISTURE INDEX,0.8020005822181702,LANDSCAPE PATTERNS,0.5356735587120056
45,script_186418.txt,Theme,Land Surface Temperature Retrieval,LAND SURFACE TEMPERATURE,0.8986050486564636,LAND SURFACE TEMPERATURE,0.7488353252410889
46,script_186418.txt,Theme,Atmospheric Correction,ATMOSPHERIC CIRCULATION RECONSTRUCTION,0.8759475350379944,ATMOSPHERIC STABILITY,0.7389675378799438
47,script_186418.txt,Theme,Vegetation Index Analysis,VEGETATION INDEX,0.9318158626556396,VEGETATION INDEX,0.7920093536376953
48,script_186449.txt,Theme,Land cover classification using Landsat imagery,LAND USE/LAND COVER CLASSIFICATION,0.8678206205368042,LAND USE/LAND COVER CLASSIFICATION,0.7236871719360352
49,script_186466.txt,Theme,Forest monitoring and land cover classification,FOREST MENSURATION,0.9014551043510436,LAND USE/LAND COVER CLASSIFICATION,0.7395797967910767
50,script_186503.txt,Theme,Land cover classification using Sentinel-1 data,LAND USE/LAND COVER CLASSIFICATION,0.8409910798072815,LAND USE/LAND COVER CLASSIFICATION,0.7032828330993652
51,script_186528.txt,Theme,Land cover classification using Sentinel-1 data,LAND USE/LAND COVER CLASSIFICATION,0.8409910798072815,LAND USE/LAND COVER CLASSIFICATION,0.7032828330993652
52,script_186540.txt,Theme,Land cover classification and vegetation analysis,LAND USE/LAND COVER CLASSIFICATION,0.8886501789093018,LAND USE/LAND COVER CLASSIFICATION,0.7493199706077576
53,script_186548.txt,Theme,Surface water detection and analysis,SURFACE WATER PROCESSES/MEASUREMENTS,0.8504301309585571,SURFACE WATER,0.7605438232421875
54,script_186562.txt,Theme,Forest monitoring and land cover change detection,FOREST MENSURATION,0.8819835782051086,FOREST MENSURATION,0.7361018657684326
55,script_186570.txt,Theme,Forest monitoring and land cover change detection,FOREST MENSURATION,0.8819835782051086,FOREST MENSURATION,0.7361018657684326
