Parameter,Model,Precision,Recall,F1-Score,BMASS
Similarity>0.5,LLAMA3+bge-m3,0.798,0.768,0.781,0.754
Similarity>0.5,LLAMA3+sentence-t5-large,0.776,0.748,0.76,0.74
Similarity>0.5,LLAMA3,0.635,0.603,0.616,0.571
Similarity>0.5,GPT-3.5+bge-m3,0.607,0.473,0.521,0.447
Similarity>0.5,GPT-3.5+sentence-t5-large,0.594,0.464,0.511,0.437
Similarity>0.5,GPT-3.5,0.471,0.373,0.408,0.344
Similarity>0.5,GPT-4o+bge-m3,0.649,0.647,0.647,0.659
Similarity>0.5,GPT-4o+sentence-t5-large,0.668,0.666,0.667,0.668
Similarity>0.5,GPT-4o,0.652,0.65,0.651,0.633
Similarity>0.6,LLAMA3+bge-m3,0.792,0.762,0.775,0.754
Similarity>0.6,LLAMA3+sentence-t5-large,0.768,0.741,0.753,0.74
Similarity>0.6,LLAMA3,0.586,0.558,0.57,0.571
Similarity>0.6,GPT-3.5+bge-m3,0.584,0.455,0.502,0.447
Similarity>0.6,GPT-3.5+sentence-t5-large,0.574,0.449,0.494,0.437
Similarity>0.6,GPT-3.5,0.442,0.351,0.384,0.344
Similarity>0.6,GPT-4o+bge-m3,0.609,0.608,0.608,0.659
Similarity>0.6,GPT-4o+sentence-t5-large,0.627,0.625,0.626,0.668
Similarity>0.6,GPT-4o,0.614,0.612,0.613,0.633
Similarity>0.7,LLAMA3+bge-m3,0.78,0.751,0.764,0.754
Similarity>0.7,LLAMA3+sentence-t5-large,0.744,0.717,0.729,0.74
Similarity>0.7,LLAMA3,0.537,0.511,0.522,0.571
Similarity>0.7,GPT-3.5+bge-m3,0.552,0.43,0.474,0.447
Similarity>0.7,GPT-3.5+sentence-t5-large,0.54,0.421,0.464,0.437
Similarity>0.7,GPT-3.5,0.402,0.318,0.348,0.344
Similarity>0.7,GPT-4o+bge-m3,0.521,0.519,0.52,0.659
Similarity>0.7,GPT-4o+sentence-t5-large,0.54,0.538,0.539,0.668
Similarity>0.7,GPT-4o,0.496,0.494,0.495,0.633
Similarity>0.8,LLAMA3+bge-m3,0.762,0.734,0.746,0.754
Similarity>0.8,LLAMA3+sentence-t5-large,0.73,0.704,0.715,0.74
Similarity>0.8,LLAMA3,0.472,0.449,0.459,0.571
Similarity>0.8,GPT-3.5+bge-m3,0.536,0.418,0.46,0.447
Similarity>0.8,GPT-3.5+sentence-t5-large,0.522,0.408,0.449,0.437
Similarity>0.8,GPT-3.5,0.364,0.287,0.315,0.344
Similarity>0.8,GPT-4o+bge-m3,0.495,0.493,0.494,0.659
Similarity>0.8,GPT-4o+sentence-t5-large,0.503,0.501,0.502,0.668
Similarity>0.8,GPT-4o,0.449,0.447,0.448,0.633
Similarity>0.9,LLAMA3+bge-m3,0.751,0.723,0.735,0.754
Similarity>0.9,LLAMA3+sentence-t5-large,0.717,0.691,0.702,0.74
Similarity>0.9,LLAMA3,0.447,0.427,0.436,0.571
Similarity>0.9,GPT-3.5+bge-m3,0.517,0.404,0.444,0.447
Similarity>0.9,GPT-3.5+sentence-t5-large,0.5,0.392,0.431,0.437
Similarity>0.9,GPT-3.5,0.327,0.259,0.283,0.344
Similarity>0.9,GPT-4o+bge-m3,0.437,0.436,0.436,0.659
Similarity>0.9,GPT-4o+sentence-t5-large,0.435,0.434,0.435,0.668
Similarity>0.9,GPT-4o,0.397,0.395,0.396,0.633
Similarity=1.0,LLAMA3+bge-m3,0.746,0.718,0.731,0.754
Similarity=1.0,LLAMA3+sentence-t5-large,0.714,0.688,0.699,0.74
Similarity=1.0,LLAMA3,0.437,0.418,0.426,0.571
Similarity=1.0,GPT-3.5+bge-m3,0.509,0.398,0.438,0.447
Similarity=1.0,GPT-3.5+sentence-t5-large,0.495,0.388,0.426,0.437
Similarity=1.0,GPT-3.5,0.309,0.244,0.267,0.344
Similarity=1.0,GPT-4o+bge-m3,0.414,0.412,0.413,0.659
Similarity=1.0,GPT-4o+sentence-t5-large,0.423,0.421,0.422,0.668
Similarity=1.0,GPT-4o,0.373,0.372,0.372,0.633
