ID,Script_ID,Entity_Type,Value,Value_BAAI,Top1_Similarity_BAAI,Value_BERT,Top1_Similarity_BERT,Value_BERT0,Top1_Similarity_BERT0,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_GPT3.5,Usage
1,script_102957.txt,Function,Clear pixel mask application,Clear Pixel Masking,0.888874412,Clear Pixel Masking,0.999537706,Clear Pixel Masking,0.956665337,Clear Pixel Masking,0.951850176,Image Cloud Masking,4885
2,script_102957.txt,Function,Cloud and cloud shadow mask application,Shadow Masking,0.762081563,Cloud And Cloud Shadow Masking,0.999636531,Image Cloud Masking,0.928397894,Image Cloud Masking,0.890324175,Cloud And Shade Masking,4885
3,script_102957.txt,Function,Digital number to surface reflectance conversion,Surface Reflectance Correction,0.727452815,Convert Flood Detection Results To Vector Polygons,0.999077857,Surface Reflectance Correction,0.929763258,Reflectance Value Scaling,0.851548493,Conversion Feature Collection,4885
4,script_102957.txt,Function,Image collection filtering by location and date,Filter Image Collection By Date And Region,0.900034547,Filter Image Collection By Date And Region,0.999653935,Filter Image Collection By Date And Region,0.939988375,Filter Image Collection By Date And Region,0.9642663,Filter Image Collection By Date And Region,4885
5,script_10376.txt,Function,Reflectance conversion operation,Surface Reflectance Correction,0.771815896,Surface Reflectance Correction,0.999246836,Spectral Distance Calculation,0.963250041,Reflectance Value Scaling,0.869660616,Image Mapping,4885
6,script_10376.txt,Function,Visualization generation,Visualization And Output Generation,0.837517977,Visualization Setup,0.999571681,Visualization Setup,0.983001888,Visualization And Output Generation,0.9401896,'Visualization And Output Generation',4901
7,script_103827.txt,Function,Create weekly Sentinel-1 composites for flood monitoring,Filtering Precipitation Data,0.616329789,Generate Time Series Charts Of Water Area,0.998648465,Calculate Features To Refine Flood Analysis,0.89596796,Flood Mask Generation,0.799531579,'Generate Image Composites',4901
8,script_103827.txt,Function,Add layer selection widget for user comparison,Visualize Data Layers,0.662733674,Compute Median Of NDVI,0.998827338,Link Maps For Synchronized Viewing,0.960354269,Add Land Use Layer,0.842628837,'Add A Feature Collection',4901
9,script_106121.txt,Function,Filtering Sentinel-2 images by cloud cover and date,Filter Images By Cloud Cover,0.77538836,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.998903215,Filter Image Collection By Cloud Coverage,0.857476294,Filter Images By Cloud Cover,0.935259998,'Filter Image Collection By Cloud Coverage',4901
10,script_106121.txt,Function,Selecting specific bands for reprojection,Select Specific Bands From Images,0.756875992,Sampling Regions For Classifier Training,0.998866796,Select Specific Bands From Images,0.942111611,Select Specific Bands From Images,0.887204885,'Select Specific Bands From Images',4901
11,script_106121.txt,Function,Reprojecting image to EPSG:4326 for export,Export Composite Image,0.652361274,Calculate Normalized Infrared Vegetation Index (NIRV),0.998503387,Export Composite Image,0.903278351,Image Reprojection,0.849994898,Image Reprojection,4906
12,script_10828.txt,Function,"Cloud masking to remove cloud, shadow, and snow effects",Image Cloud Masking,0.767118216,Cloud And Cloud Shadow Masking,0.998811901,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.805425942,Image Cloud Masking,0.899024487,Cloud And Shade Masking,4906
13,script_10828.txt,Function,Calculation of NDVI and NIRV values,Calculates Normalized Difference Water Index (NDWI),0.696990132,Add NDVI Band To Images,0.999062419,Calculate Normalized Difference And Other Indices,0.913773179,Visualize NDVI Results,0.855355978,Calculate Spectral Indices And Ratios From Satellite Bands,4906
