ID,Script_ID,Entity_Type,Value,Value_BAAI,Top1_Similarity_BAAI,Value_BERT,Top1_Similarity_BERT,Value_BERT0,Top1_Similarity_BERT0,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_GPT3.5,Usage
1,script_102957.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.805195212,LAND USE/LAND COVER CLASSIFICATION,0.999158859,LAND USE CLASSES,0.940996528,LAND USE/LAND COVER CLASSIFICATION,0.925580025,LAND USE/LAND COVER CLASSIFICATION,7423
2,script_10376.txt,Theme,Landsat imagery processing,LANDSCAPE PROCESSES,0.669885755,CLOUD RADIATIVE TRANSFER,0.998731911,SOLAR IMAGERY,0.944678307,SATELLITE SOIL MOISTURE INDEX,0.818571925,REMOTE SENSING,7423
3,script_103827.txt,Theme,Flood monitoring in Gujarat,FLOOD LEVELS,0.621023118,PALMER HYDROLOGICAL DROUGHT INDEX,0.998523057,STORMWATER MANAGEMENT,0.927727818,FLOOD LEVELS,0.822194219,FLOODS,7423
4,script_106121.txt,Theme,Image reprojection for geospatial data export,GEOMAGNETISM,0.606614411,PYROCLASTICS COMPOSITION/TEXTURE,0.998833656,DEEP CONVECTIVE CLOUD SYSTEMS,0.889411449,Digital Surface Model (DSM),0.790966213,GEOGRAPHIC INFORMATION SYSTEMS (GIS),7423
5,script_10828.txt,Theme,NDVI calculation and visualization,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.696373641,ATLANTIC MULTIDECADAL OSCILLATION LONG VERSION,0.998831749,Digital Surface Model (DSM),0.879780293,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.823727548,VEGETATION INDEX,7423
6,script_110133.txt,Theme,Flood extent analysis,INUNDATION AMOUNT,0.652186573,STREAMFLOW RECONSTRUCTION,0.999095738,ENVIRONMENTAL ASSESSMENTS,0.931534648,FLOOD LEVELS,0.888682723,LAND USE/LAND COVER,7416
7,script_115907.txt,Theme,NDVI trend analysis in various vegetation types,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.767298639,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.998872042,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.90903312,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.886495471,VEGETATION INDEX,7416
8,script_118175.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.805195212,LAND USE/LAND COVER CLASSIFICATION,0.999158859,LAND USE CLASSES,0.940996528,LAND USE/LAND COVER CLASSIFICATION,0.925580025,LAND USE/LAND COVER CLASSIFICATION,7416
9,script_118175.txt,Theme,Vegetation health assessment,VEGETATION,0.670113921,VEGETATION OPTICAL DEPTH,0.999295712,ENVIRONMENTAL ASSESSMENTS,0.971316695,VEGETATION INDEX,0.898875117,VEGETATION INDEX,7416
10,script_119133.txt,Theme,Wildfire severity assessment,FOREST FIRE DANGER INDEX,0.611409605,WILDFIRE SUPPRESSION,0.999427915,FOREST FIRE DANGER INDEX,0.935194373,FIRE WEATHER INDEX,0.88910079,FIRE MANAGEMENT,7416
11,script_119133.txt,Theme,Binary fire incident classification,FIRE MODELS,0.608529568,FOREST FIRE DANGER INDEX,0.998735428,STORM SYSTEM MOTION,0.934389532,FIRE OCCURRENCE,0.845796168,VEGETATION INDEX,7412
12,script_11983.txt,Theme,Vegetation analysis,VEGETATION,0.71235621,VEGETATION RECONSTRUCTION,0.999534249,VEGETATION RECONSTRUCTION,0.953329861,VEGETATION INDEX,0.9112643,VEGETATION SPECIES,7412
13,script_11983.txt,Theme,NDVI calculation,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.693864882,PARTICULATES,0.998787522,DESTRUCTION POTENTIAL INDEX,0.926448107,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.821857333,VEGETATION INDEX,7412
14,script_11983.txt,Theme,Temporal vegetation change monitoring,FOREST MENSURATION,0.727865517,VEGETATION WATER POTENTIAL,0.998945773,MARINE ENVIRONMENT MONITORING,0.956554413,PLANT PHENOLOGICAL CHANGES,0.852104306,VEGETATION INDEX,7412
15,script_120271.txt,Theme,NDVI extraction and visualization,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.656543255,OCEAN SALINITY RECONSTRUCTION,0.998912454,ISOTOPIC ANALYSIS,0.883859754,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.832104564,VEGETATION INDEX,7412
16,script_120557.txt,Theme,Water frequency detection,FLOOD FREQUENCY,0.73152709,WATER VAPOR INDICATORS,0.999083757,AIR TEMPERATURE RECONSTRUCTION,0.941959023,WATER VAPOR INDICATORS,0.853564024,SURFACE WATER,7415
17,script_120557.txt,Theme,Vegetation frequency detection,VEGETATION OPTICAL DEPTH,0.72531116,VEGETATION OPTICAL DEPTH,0.999414146,SEA SURFACE TEMPERATURE RECONSTRUCTION,0.934243321,VEGETATION INDEX,0.8774876,VEGETATION INDEX,7415
18,script_125294.txt,Theme,Landsat image processing for environmental monitoring,LANDSCAPE PROCESSES,0.653175294,AFFORESTATION/REFORESTATION,0.998984218,DEEP CONVECTIVE CLOUD SYSTEMS,0.934876859,SATELLITE SOIL MOISTURE INDEX,0.821851015,LAND USE/LAND COVER CLASSIFICATION,7415
19,script_131942.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.805195212,LAND USE/LAND COVER CLASSIFICATION,0.999158859,LAND USE CLASSES,0.940996528,LAND USE/LAND COVER CLASSIFICATION,0.925580025,LAND USE/LAND COVER CLASSIFICATION,7415
20,script_144864.txt,Theme,Land cover classification using NDVI values,LAND USE/LAND COVER CLASSIFICATION,0.692234755,LAND USE/LAND COVER CLASSIFICATION,0.998924613,FOREST FIRE DANGER INDEX,0.919179618,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.89957881,LAND USE/LAND COVER CLASSIFICATION,7415
21,script_146128.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.805195212,LAND USE/LAND COVER CLASSIFICATION,0.999158859,LAND USE CLASSES,0.940996528,LAND USE/LAND COVER CLASSIFICATION,0.925580025,LAND USE/LAND COVER CLASSIFICATION,7422
22,script_15043.txt,Theme,Land cover classification using RF and CART algorithms,LAND USE/LAND COVER CLASSIFICATION,0.676905274,SOIL HORIZONS/PROFILE,0.998400986,Digital Surface Model (DSM),0.88846314,LAND USE/LAND COVER CLASSIFICATION,0.827339172,LAND USE/LAND COVER CLASSIFICATION,7422
23,script_155017.txt,Theme,Land surface temperature analysis,LAND SURFACE TEMPERATURE,0.799205303,SEA SURFACE TEMPERATURE RECONSTRUCTION,0.999494553,SEA SURFACE TEMPERATURE RECONSTRUCTION,0.941057563,LAND SURFACE TEMPERATURE,0.886941195,LAND SURFACE TEMPERATURE,7422
24,script_159299.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.805195212,LAND USE/LAND COVER CLASSIFICATION,0.999158859,LAND USE CLASSES,0.940996528,LAND USE/LAND COVER CLASSIFICATION,0.925580025,LAND USE/LAND COVER CLASSIFICATION,7422
25,script_165234.txt,Theme,NDVI analysis,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.68153584,VERNAL POOL,0.999003768,ISOTOPIC ANALYSIS,0.936364293,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.840828061,VEGETATION INDEX,7422
26,script_165234.txt,Theme,Greenest pixel identification,GREEN INFRASTRUCTURE,0.57685554,VISIBLE RADIANCE,0.999098778,ENHANCED FUJITA SCALE RATING,0.895261765,GREEN INFRASTRUCTURE,0.780254543,LAND USE/LAND COVER CLASSIFICATION,7417
27,script_165234.txt,Theme,Temporal analysis,STRATIGRAPHIC SEQUENCE,0.686426878,PRECIPITATION PROFILES,0.999106288,CLOUD DYNAMICS,0.944976985,BIVARIATE ENSO TIMESERIES INDEX,0.821212769,LAND USE CLASSES,7417
28,script_173652.txt,Theme,Land cover change detection,LAND USE/LAND COVER,0.671150088,VEGETATION COVER,0.998990953,RADIATION FOG,0.945979714,LAND SURFACE/AGRICULTURE INDICATORS,0.865116358,LAND USE/LAND COVER,7417
29,script_174376.txt,Theme,Landcover classification,LAND USE/LAND COVER CLASSIFICATION,0.754962981,KARST LANDFORMS,0.998995721,CLOUD PROPERTIES,0.935293078,LAND USE/LAND COVER CLASSIFICATION,0.924393296,LAND RESOURCES,7417
30,script_174474.txt,Theme,Landsat 5 imagery processing,LANDSCAPE PROCESSES,0.601531267,AFFORESTATION/REFORESTATION,0.998765826,SOLAR RADIATION MANAGEMENT,0.921983719,SATELLITE SOIL MOISTURE INDEX,0.805590868,LAND/OCEAN/ICE MASK,7417
31,script_174747.txt,Theme,Land Surface Temperature Analysis,LAND SURFACE TEMPERATURE,0.79077208,SEA SURFACE TEMPERATURE RECONSTRUCTION,0.999494553,SEA SURFACE TEMPERATURE RECONSTRUCTION,0.941057563,LAND SURFACE TEMPERATURE,0.878021121,LAND SURFACE TEMPERATURE,7429
32,script_176914.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.805195212,LAND USE/LAND COVER CLASSIFICATION,0.999158859,LAND USE CLASSES,0.940996528,LAND USE/LAND COVER CLASSIFICATION,0.925580025,LAND USE/LAND COVER CLASSIFICATION,7429
33,script_179626.txt,Theme,Land surface temperature (LST) analysis,LAND SURFACE TEMPERATURE,0.731917083,SEA SURFACE HEIGHT ANOMALY (SSHA),0.999162018,GEOMAGNETIC FORECASTS,0.892962039,LAND SURFACE TEMPERATURE,0.862112284,LAND SURFACE TEMPERATURE,7429
34,script_179626.txt,Theme,Normalized Difference Vegetation Index (NDVI) calculation,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.846406579,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.999864876,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.940762639,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.910179734,VEGETATION INDEX,7429
35,script_180257.txt,Theme,Landsat image zonal statistics extraction,STRATIGRAPHIC SEQUENCE,0.546581149,PYROCLASTICS COMPOSITION/TEXTURE,0.998836815,CONTOUR MAPS,0.911270082,SATELLITE SOIL MOISTURE INDEX,0.819418788,REMOTE SENSING,7429
36,script_186294.txt,Theme,NDVI calculation for vegetation monitoring.,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.76331079,FOREST COMPOSITION/VEGETATION STRUCTURE,0.998572111,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.892340899,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.857796133,VEGETATION INDEX,7437
37,script_186319.txt,Theme,NDVI and NBR calculation for land cover analysis,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.601556778,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.998691916,Digital Surface Model (DSM),0.876518548,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.835339785,LAND USE/LAND COVER CLASSIFICATION,7437
38,script_186320.txt,Theme,NDVI and NBR calculation for vegetation analysis,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.678754866,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.998558521,ISOTOPIC ANALYSIS,0.870685875,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.842674553,VEGETATION INDEX,7437
39,script_186321.txt,Theme,Image processing and analysis using Sentinel-2 data,PHOTOSYNTHESIS,0.634819269,NON-METALLIC MINERAL AGE DETERMINATIONS,0.998519897,Digital Surface Model (DSM),0.843490839,RADAR IMAGERY,0.803179562,REMOTE SENSING DATA ANALYSIS,7437
40,script_186323.txt,Theme,NDVI and NBR calculation,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.607508779,SAV/SEA GRASS BED,0.998533368,BERYLLIUM-10 ANALYSIS,0.895728052,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.797699213,VEGETATION INDEX,7437
41,script_186323.txt,Theme,Image export,PHOTOSYNTHESIS,0.581121087,TOTAL ELECTRON CONTENT,0.998828709,CLOUD TYPES,0.900633633,PASTURE,0.787399292,LAND USE/LAND COVER,7415
42,script_186325.txt,Theme,Satellite image processing,PHOTOSYNTHESIS,0.689454615,RECESSIONAL MORAINE,0.998854518,CLOUD DYNAMICS,0.922585964,SATELLITE SOIL MOISTURE INDEX,0.82567513,LAND USE/LAND COVER,7415
43,script_186325.txt,Theme,Vegetation monitoring,FOREST MENSURATION,0.762295008,VEGETATION COVER,0.999266684,MARINE ENVIRONMENT MONITORING,0.967963696,VEGETATION INDEX,0.88404727,VEGETATION INDEX,7415
44,script_186325.txt,Theme,Forest loss detection,FOREST MENSURATION,0.741072893,FOREST FIRE DANGER INDEX,0.999053001,RADIATION FOG,0.95595634,FOREST MENSURATION,0.887243629,FOREST LOSS DETECTION,7415
45,script_186326.txt,Theme,NDVI and NBR calculation for vegetation analysis,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.678754866,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.998558521,ISOTOPIC ANALYSIS,0.870685875,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.842674553,VEGETATION INDEX,7415
46,script_186329.txt,Theme,Image collection and processing,PHOTOSYNTHESIS,0.746913195,CARBON CAPTURE AND STORAGE,0.998981476,FOREST HARVESTING AND ENGINEERING,0.915947318,FLUVIAL PROCESSES,0.786816239,LAND USE/LAND COVER CLASSIFICATION,7432
47,script_186329.txt,Theme,NDVI and NBR calculation,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.607508779,SAV/SEA GRASS BED,0.998533368,BERYLLIUM-10 ANALYSIS,0.895728052,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.797699213,LAND USE/LAND COVER CLASSIFICATION,7432
48,script_186329.txt,Theme,Image export and mosaic creation,PHOTOSYNTHESIS,0.603312075,ANIMAL BREEDING AND GENETICS,0.998468399,FOREST HARVESTING AND ENGINEERING,0.877844214,MARICULTURE PRODUCTION,0.783667684,LAND USE/LAND COVER CLASSIFICATION,7432
49,script_186329.txt,Theme,"Forest loss, degradation, and fire detection",FOREST MENSURATION,0.704971731,AGE AT ICE-THICKNESS-NORMALIZED DEPTHS,0.998516917,HAZARD MITIGATION/PLANNING,0.84157455,FOREST FIRE DANGER INDEX,0.850248754,FOREST FIRE DANGER INDEX,7432
50,script_186332.txt,Theme,Crop classification based on NDVI values,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.758665323,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.998716772,CROP HARVEST DATES,0.901885033,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.877894759,CROP CLASSIFICATION,7432
51,script_186333.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.805195212,LAND USE/LAND COVER CLASSIFICATION,0.999158859,LAND USE CLASSES,0.940996528,LAND USE/LAND COVER CLASSIFICATION,0.925580025,LAND USE/LAND COVER CLASSIFICATION,7416
52,script_186334.txt,Theme,Crop classification,SOIL CLASSIFICATION,0.719805121,SOIL CLASSIFICATION,0.998899162,SOIL CLASSIFICATION,0.945060432,SOIL CLASSIFICATION,0.876702666,FIELD CROP PRODUCTS,7416
53,script_186338.txt,Theme,SAR backscatter analysis,RADAR BACKSCATTER,0.719902277,AEROSOL BACKSCATTER,0.999273539,ISOTOPIC ANALYSIS,0.919761181,RADAR BACKSCATTER,0.892296672,RADAR BACKSCATTER,7416
54,script_186356.txt,Theme,Land cover classification using SAR data,LAND USE/LAND COVER CLASSIFICATION,0.723908246,LAND USE/LAND COVER CLASSIFICATION,0.998937249,COORDINATE REFERENCE SYSTEM,0.919487596,LAND USE/LAND COVER CLASSIFICATION,0.864589453,LAND USE/LAND COVER CLASSIFICATION,7416
55,script_186365.txt,Theme,Vegetation analysis,VEGETATION,0.71235621,VEGETATION RECONSTRUCTION,0.999534249,VEGETATION RECONSTRUCTION,0.953329861,VEGETATION INDEX,0.9112643,VEGETATION COVER,7416
56,script_186365.txt,Theme,Water analysis,WATER CHARACTERISTICS,0.742689013,WATER MANAGEMENT,0.999578655,ENVIRONMENTAL ASSESSMENTS,0.959337831,WATER QUALITY/WATER CHEMISTRY,0.875613689,WATER QUALITY/WATER CHEMISTRY,7407
57,script_186365.txt,Theme,Burn area index calculation,FIRE WEATHER INDEX,0.618660748,CONDUCTIVITY PROFILES,0.998776615,WATER VAPOR TRANSPORT INDEX,0.935451388,FIRE WEATHER INDEX,0.814763546,FIRE MANAGEMENT,7407
58,script_186365.txt,Theme,Snow analysis,SNOW CLASSIFICATION,0.734158993,SNOW COVER,0.999441326,ENVIRONMENTAL ASSESSMENTS,0.935602844,SNOW STRATIGRAPHY,0.906541646,SNOW/ICE,7407
59,script_186365.txt,Theme,Spectral unmixing,SPECTRAL IRRADIANCE,0.660219133,SOLAR INDUCED FLUORESCENCE,0.998819053,DECOMPOSITION,0.941563964,SPECTRAL IRRADIANCE,0.874029994,SPECTRAL/ENGINEERING,7407
60,script_186365.txt,Theme,HSV transformation,HABITAT CONVERSION/FRAGMENTATION,0.564352512,HYDROGEN OXIDE PROFILES,0.998606682,RADIATIVE FORCING,0.894496024,VECTOR-BORN DISEASES,0.80382067,LAND SURFACE,7398
61,script_186378.txt,Theme,Remote sensing data fusion for land cover analysis.,LAND USE/LAND COVER,0.633476973,PYROCLASTICS COMPOSITION/TEXTURE,0.998605251,SOIL ORGANIC CARBON (SOC),0.87231642,RADAR CROSS-SECTION,0.812099934,LAND USE/LAND COVER CLASSIFICATION,7438
62,script_186380.txt,Theme,Spectral index calculation around marsh bird survey points,FOREST MENSURATION,0.579062581,LEAF AREA INDEX (LAI),0.998522043,FIRE WEATHER INDEX,0.932510734,SURFACE MOISTURE INDEX,0.801732302,PLANT DISEASES/DISORDERS/PESTS,7438
63,script_186411.txt,Theme,Land cover change detection,LAND USE/LAND COVER,0.671150088,VEGETATION COVER,0.998990953,RADIATION FOG,0.945979714,LAND SURFACE/AGRICULTURE INDICATORS,0.865116358,LAND USE/LAND COVER CLASSIFICATION,7438
64,script_186418.txt,Theme,Surface temperature retrieval from Landsat data,LAND SURFACE TEMPERATURE,0.664432049,SEA SURFACE TEMPERATURE RECONSTRUCTION,0.99882865,ATMOSPHERIC PRESSURE MEASUREMENTS,0.927446485,LAND SURFACE TEMPERATURE,0.821074605,LAND SURFACE TEMPERATURE,7438
65,script_186442.txt,Theme,Pest risk assessment,ENVIRONMENTAL ASSESSMENTS,0.58056438,FOREST FIRE DANGER INDEX,0.999156177,ENVIRONMENTAL ASSESSMENTS,0.961132765,PLANT DISEASES/DISORDERS/PESTS,0.815462589,PESTICIDES,7438
66,script_186449.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.805195212,LAND USE/LAND COVER CLASSIFICATION,0.999158859,LAND USE CLASSES,0.940996528,LAND USE/LAND COVER CLASSIFICATION,0.925580025,LAND USE/LAND COVER CLASSIFICATION,7429
67,script_186466.txt,Theme,Forest loss detection and degradation monitoring using Sentinel-1 imagery,FOREST MENSURATION,0.673909664,WHEEL WEAVERS (CYCLIOPHORANS),0.998458505,Digital Surface Model (DSM),0.860740542,FOREST MENSURATION,0.848554671,FOREST MANAGEMENT,7429
68,script_186503.txt,Theme,Land cover classification using SAR data,LAND USE/LAND COVER CLASSIFICATION,0.723908246,LAND USE/LAND COVER CLASSIFICATION,0.998937249,COORDINATE REFERENCE SYSTEM,0.919487596,LAND USE/LAND COVER CLASSIFICATION,0.864589453,LAND USE/LAND COVER CLASSIFICATION,7429
69,script_186507.txt,Theme,Landsat data processing,LANDSCAPE PROCESSES,0.636480689,OCEAN VOLUME BUDGET,0.998765588,SOLAR RADIATION MANAGEMENT,0.949658751,SATELLITE SOIL MOISTURE INDEX,0.822414279,LAND USE/LAND COVER CLASSIFICATION,7429
