Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity,Head_Entity_update,Tail_Entity_update,Tail_Entity_update_pair
1,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Clear pixel mask application,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Clear Pixel Masking,Sampling Regions For Classifier Training
2,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Clear pixel mask application,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Clear Pixel Masking,Sampling Regions For Classifier Training
3,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Cloud and cloud shadow mask application,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Cloud And Cloud Shadow Masking,Filter Image Collection By Date And Boundaries
4,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Cloud and cloud shadow mask application,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Cloud And Cloud Shadow Masking,Filter Image Collection By Date And Boundaries
5,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Digital number to surface reflectance conversion,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Convert Flood Detection Results To Vector Polygons,Convert Flood Detection Results To Vector Polygons
6,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Digital number to surface reflectance conversion,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Convert Flood Detection Results To Vector Polygons,Convert Flood Detection Results To Vector Polygons
7,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Image collection filtering by location and date,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Image Collection By Date And Region,Filter Image Collection By Bounds
8,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Image collection filtering by location and date,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Filter Image Collection By Date And Region,Filter Image Collection By Bounds
9,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Reflectance conversion operation,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Surface Reflectance Correction,Evaluate Classifier Performance Using Confusion Matrix
10,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Visualization generation,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Visualization Setup,Visualize Disaster Impacts
11,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Create weekly Sentinel-1 composites for flood monitoring,users/hrishippatel/,Generate Time Series Charts Of Water Area,Calculate Normalized Difference And Other Indices
12,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Add layer selection widget for user comparison,users/hrishippatel/,Compute Median Of NDVI,Filter Image Collection By Region
13,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Create weekly Sentinel-1 composites for flood monitoring,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Generate Time Series Charts Of Water Area,Calculate Normalized Difference And Other Indices
14,script_106121.txt,COPERNICUS/S2,ActOn,Filtering Sentinel-2 images by cloud cover and date,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,"Merge, Harmonize, And Standardize Landsat Image Collections"
15,script_106121.txt,COPERNICUS/S2,ActOn,Selecting specific bands for reprojection,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Sampling Regions For Classifier Training,Classify Images Based On Training Data
