Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity,Head_Entity_update,Tail_Entity_update,Tail_Entity_update_pair
1,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Clear pixel mask application,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Clear Pixel Masking,Create Image Composites To Minimize Cloud Cover
2,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Clear pixel mask application,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Clear Pixel Masking,Create Image Composites To Minimize Cloud Cover
3,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Cloud and cloud shadow mask application,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Image Cloud Masking,Filter Images By Cloud Cover
4,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Cloud and cloud shadow mask application,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Image Cloud Masking,Filter Images By Cloud Cover
5,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Digital number to surface reflectance conversion,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Surface Reflectance Correction,Calculates Median Values
6,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Digital number to surface reflectance conversion,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Surface Reflectance Correction,Calculates Median Values
7,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Image collection filtering by location and date,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Image Collection By Date And Region,Filter Image Collection By Bounds
8,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Image collection filtering by location and date,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",Filter Image Collection By Date And Region,Filter Image Collection By Bounds
9,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Reflectance conversion operation,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Spectral Distance Calculation,Filter Images by wind conditions
10,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Visualization generation,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Visualization Setup,Visualize Fire Data
11,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Create weekly Sentinel-1 composites for flood monitoring,users/hrishippatel/,Calculate Features To Refine Flood Analysis,Converts Joined Data To Image Collection
