ID,Script_ID,Entity_Type,Value
1,script_102957.txt,Function,Filter images by location
2,script_102957.txt,Function,Filter images by date
3,script_102957.txt,Function,Mask clear pixels
4,script_102957.txt,Function,Mask clouds and shadows
5,script_102957.txt,Function,Convert DN to SR
6,script_102957.txt,Function,Create median composite
7,script_102957.txt,Function,Add layer to map
8,script_10376.txt,Function,Define spatial extent
9,script_10376.txt,Function,Filter image collection by date
10,script_10376.txt,Function,Filter image collection by bounds
11,script_10376.txt,Function,Display dataset layers
12,script_10376.txt,Function,Select first image from collection
13,script_10376.txt,Function,Center map on extent
14,script_10376.txt,Function,Clip image to extent
15,script_10376.txt,Function,Convert bands to reflectance
16,script_10376.txt,Function,Display image layers
17,script_10376.txt,Function,Visualize image in true color
18,script_10376.txt,Function,Visualize image in color infrared
19,script_10376.txt,Function,Export image to Google Drive
20,script_103827.txt,Function,Filter image collection by date range
21,script_103827.txt,Function,Filter image collection by polarization
22,script_103827.txt,Function,Filter image collection by instrument mode
23,script_103827.txt,Function,Select specific polarization band
24,script_103827.txt,Function,Calculate mean of image collection
25,script_103827.txt,Function,Clip image to region
26,script_103827.txt,Function,Visualize image with specific parameters
27,script_103827.txt,Function,Create and configure map
28,script_103827.txt,Function,Add layer selection widget to map
29,script_103827.txt,Function,Link maps for synchronized navigation
30,script_106121.txt,Function,Filter images by cloud coverage
31,script_106121.txt,Function,Filter images by date range
32,script_106121.txt,Function,Filter images by geographic bounds
33,script_106121.txt,Function,Select image bands
34,script_106121.txt,Function,Get image projection
35,script_106121.txt,Function,Reproject image
36,script_106121.txt,Function,Export image to Google Drive
37,script_106121.txt,Function,Visualize image on map
38,script_10828.txt,Function,Define global region of interest
39,script_10828.txt,Function,Add layer to map
40,script_10828.txt,Function,Mask clouds and shadows
41,script_10828.txt,Function,Calculate NIRv
42,script_10828.txt,Function,Apply linear interpolation
43,script_10828.txt,Function,Visualize data
44,script_10828.txt,Function,Filter image collection by date
45,script_10828.txt,Function,Reduce regions to points
46,script_10828.txt,Function,Export data to Drive
47,script_110133.txt,Function,Filter image collection by parameters
48,script_110133.txt,Function,Select images by date
49,script_110133.txt,Function,Create mosaic and clip to area
50,script_110133.txt,Function,Smooth radar images
51,script_110133.txt,Function,Calculate image difference
52,script_110133.txt,Function,Apply threshold to difference image
53,script_110133.txt,Function,Mask permanent water areas
54,script_110133.txt,Function,Eliminate noise from flood extent
55,script_110133.txt,Function,Mask areas with high slope
56,script_110133.txt,Function,Calculate flood extent area
57,script_110133.txt,Function,Calculate exposed population
58,script_110133.txt,Function,Export images and vectors
59,script_110133.txt,Function,Display results on map
60,script_115907.txt,Function,Load feature collection
61,script_115907.txt,Function,Define region of interest
62,script_115907.txt,Function,Filter image collection by date
63,script_115907.txt,Function,Filter image collection by bounds
64,script_115907.txt,Function,Mask clouds
65,script_115907.txt,Function,Add NDVI band
66,script_115907.txt,Function,Add time band
67,script_115907.txt,Function,Sort images by date
68,script_115907.txt,Function,Generate NDVI time series chart
69,script_115907.txt,Function,Generate NDVI temporal signature chart
70,script_118175.txt,Function,Apply scale factors to image bands
71,script_118175.txt,Function,Mask clouds in Sentinel-2 images
72,script_118175.txt,Function,Calculate NDVI
73,script_118175.txt,Function,Calculate NDWI
74,script_118175.txt,Function,Calculate MNDWI
75,script_118175.txt,Function,Calculate NDSI
76,script_118175.txt,Function,Calculate EWI
77,script_118175.txt,Function,Detect ICE
78,script_118175.txt,Function,Filter image collection by date
79,script_118175.txt,Function,Filter image collection by bounds
80,script_118175.txt,Function,Filter image collection by cloud cover
81,script_118175.txt,Function,Merge image collections
82,script_118175.txt,Function,Sort image collection by date
83,script_118175.txt,Function,Join image collections by date
84,script_118175.txt,Function,Clip image to region of interest
85,script_118175.txt,Function,Add layer to map
86,script_119133.txt,Function,Center map on study area
87,script_119133.txt,Function,Display pre-fire image
88,script_119133.txt,Function,Display post-fire image
89,script_119133.txt,Function,Calculate pre-fire NBR
90,script_119133.txt,Function,Calculate post-fire NBR
91,script_119133.txt,Function,Calculate dNBR
92,script_119133.txt,Function,Stack image bands
93,script_119133.txt,Function,Sample pixels for training
94,script_119133.txt,Function,Train cluster model
95,script_119133.txt,Function,Apply cluster model
96,script_119133.txt,Function,Calculate statistics
97,script_119133.txt,Function,Generate histogram
98,script_119133.txt,Function,Clip clusters to study area
99,script_119133.txt,Function,Apply mode filter
100,script_119133.txt,Function,Reclassify binary mask
101,script_119133.txt,Function,Multiply binary and severity classifications
102,script_11983.txt,Function,Define study area
103,script_11983.txt,Function,Filter image collection by bounds
104,script_11983.txt,Function,Mask clouds and shadows
105,script_11983.txt,Function,Compute median composite
106,script_11983.txt,Function,Calculate NDVI
107,script_11983.txt,Function,Clip images to study area
108,script_11983.txt,Function,Create time series charts
109,script_11983.txt,Function,Generate GIF animation
110,script_11983.txt,Function,Compute image difference
111,script_11983.txt,Function,Calculate mean image
112,script_11983.txt,Function,Compute standard deviation
113,script_11983.txt,Function,Calculate anomalies
114,script_120271.txt,Function,Calculate NDVI
115,script_120271.txt,Function,Filter image collection by date
116,script_120271.txt,Function,Filter image collection by cloud percentage
117,script_120271.txt,Function,Filter image collection by bounds
118,script_120271.txt,Function,Map NDVI calculation over image collection
119,script_120271.txt,Function,Compute median of image collection
120,script_120271.txt,Function,Clip image to area
121,script_120271.txt,Function,Select NDVI band
122,script_120271.txt,Function,Add layer to map
123,script_120271.txt,Function,Reduce region to percentiles
124,script_120271.txt,Function,Draw gradient bar
125,script_120271.txt,Function,Set map options
126,script_120271.txt,Function,Draw frame
127,script_120271.txt,Function,Draw scalebar
128,script_120557.txt,Function,Filter image collection by region and date
129,script_120557.txt,Function,Extract QA bits for cloud masking
130,script_120557.txt,Function,Mask cloudy pixels
131,script_120557.txt,Function,Calculate MNDWI
132,script_120557.txt,Function,Calculate EVI
133,script_120557.txt,Function,Calculate NDVI
134,script_120557.txt,Function,Calculate LSWI
135,script_120557.txt,Function,Detect water
136,script_120557.txt,Function,Detect vegetation
137,script_120557.txt,Function,Calculate frequency of water and vegetation
138,script_125294.txt,Function,Define region of interest
139,script_125294.txt,Function,Print region
140,script_125294.txt,Function,Add region to map
141,script_125294.txt,Function,Mask clouds in images
142,script_125294.txt,Function,Filter image collection by date
143,script_125294.txt,Function,Filter image collection by cloud cover
144,script_125294.txt,Function,Filter image collection by region
145,script_125294.txt,Function,Apply cloud mask to images
146,script_125294.txt,Function,Reduce image collection by percentiles
147,script_125294.txt,Function,Clip images to region
148,script_125294.txt,Function,Reduce image collection by mean
149,script_125294.txt,Function,Add mean image to map
150,script_125294.txt,Function,Add percentile images to map
151,script_125294.txt,Function,Create RGB compositions
152,script_125294.txt,Function,Link maps
153,script_125294.txt,Function,Configure map layout
154,script_125294.txt,Function,Center map on region
155,script_125294.txt,Function,Reset UI layout
156,script_125294.txt,Function,Select bands for export
157,script_125294.txt,Function,Export images to Drive
158,script_131942.txt,Function,Filter image collection by date
159,script_131942.txt,Function,Clip images to study area
160,script_131942.txt,Function,Mask clouds in images
161,script_131942.txt,Function,Merge feature collections
162,script_131942.txt,Function,Sample regions for training
163,script_131942.txt,Function,Train random forest classifier
164,script_131942.txt,Function,Classify images
165,script_131942.txt,Function,Assess classification accuracy
166,script_131942.txt,Function,Reproject classified image
167,script_131942.txt,Function,Convert raster to vector
168,script_131942.txt,Function,Export image to Drive
169,script_144864.txt,Function,Filter boundary by metadata
170,script_144864.txt,Function,Add boundary layer to map
171,script_144864.txt,Function,Select QA60 band
172,script_144864.txt,Function,Create cloud mask
173,script_144864.txt,Function,Apply cloud mask
174,script_144864.txt,Function,Filter images by boundary
175,script_144864.txt,Function,Filter images by date
176,script_144864.txt,Function,Filter images by cloud percentage
177,script_144864.txt,Function,Apply cloud mask and merge images
178,script_144864.txt,Function,Select specific bands
179,script_144864.txt,Function,Clip images by boundary
180,script_144864.txt,Function,Add satellite image layer to map
181,script_144864.txt,Function,Calculate NDVI
182,script_144864.txt,Function,Mask NDVI values
183,script_144864.txt,Function,Classify NDVI values
184,script_144864.txt,Function,Add classified NDVI layer to map
185,script_144864.txt,Function,Calculate image area
186,script_146128.txt,Function,Define region of interest
187,script_146128.txt,Function,Load satellite image
188,script_146128.txt,Function,Merge feature collections
189,script_146128.txt,Function,Create training data
190,script_146128.txt,Function,Train classifier
191,script_146128.txt,Function,Run classification
192,script_146128.txt,Function,Display classification
193,script_15043.txt,Function,Sample pixel values
194,script_15043.txt,Function,Split data into training and testing
195,script_15043.txt,Function,Train Random Forest classifier
196,script_15043.txt,Function,Train CART classifier
197,script_15043.txt,Function,Explain classifier results
198,script_15043.txt,Function,Compute variable importance
199,script_15043.txt,Function,Display variable importance
200,script_15043.txt,Function,Classify imagery
201,script_15043.txt,Function,Classify test data
202,script_15043.txt,Function,Compute confusion matrix
203,script_15043.txt,Function,Print validation accuracy
204,script_15043.txt,Function,Print training accuracy
205,script_15043.txt,Function,Visualize classification results
206,script_15043.txt,Function,Combine optical and SAR data
207,script_155017.txt,Function,Define spatial area
208,script_155017.txt,Function,Create feature collection
