ID,Script_ID,Entity_Type,Value
1,script_102957.txt,Theme,Landsat imagery analysis for Los Angeles
2,script_10376.txt,Theme,Landsat 8 imagery analysis for September 2021
3,script_103827.txt,Theme,Flood analysis in Gujarat using Sentinel-1 imagery
4,script_106121.txt,Theme,Sentinel-2 image reprojection
5,script_106121.txt,Theme,Cloud filtering
6,script_106121.txt,Theme,Export to Google Drive
7,script_10828.txt,Theme,NIRv calculation
8,script_10828.txt,Theme,Cloud masking
9,script_10828.txt,Theme,Linear interpolation
10,script_110133.txt,Theme,Flood mapping
11,script_110133.txt,Theme,Damage assessment
12,script_110133.txt,Theme,Population exposure
13,script_115907.txt,Theme,NDVI analysis
14,script_115907.txt,Theme,Vegetation monitoring
15,script_115907.txt,Theme,Temporal analysis
16,script_118175.txt,Theme,Cloud masking
17,script_118175.txt,Theme,NDVI calculation
18,script_118175.txt,Theme,NDWI calculation
19,script_118175.txt,Theme,MNDWI calculation
20,script_118175.txt,Theme,NDSI calculation
21,script_118175.txt,Theme,EWI calculation
22,script_118175.txt,Theme,ICE detection
23,script_119133.txt,Theme,Burn severity analysis
24,script_119133.txt,Theme,Post-fire classification
25,script_11983.txt,Theme,NDVI analysis
26,script_11983.txt,Theme,Time series analysis
27,script_11983.txt,Theme,Cloud masking
28,script_11983.txt,Theme,Image differencing
29,script_11983.txt,Theme,Anomaly detection
30,script_120271.txt,Theme,NDVI calculation
31,script_120271.txt,Theme,Gradient bar creation
32,script_120271.txt,Theme,Map styling
33,script_120557.txt,Theme,Cloud masking
34,script_120557.txt,Theme,Water detection
35,script_120557.txt,Theme,Vegetation detection
36,script_125294.txt,Theme,Cloud masking
37,script_125294.txt,Theme,Landsat image analysis
38,script_125294.txt,Theme,Percentile reduction
39,script_125294.txt,Theme,RGB composition
40,script_131942.txt,Theme,Sentinel-2 imagery classification
41,script_131942.txt,Theme,Cloud-free image generation
42,script_131942.txt,Theme,Land cover classification
43,script_144864.txt,Theme,Satellite image processing
44,script_144864.txt,Theme,Cloud masking
45,script_144864.txt,Theme,NDVI classification
46,script_146128.txt,Theme,Burned area classification
47,script_146128.txt,Theme,Vegetation analysis
48,script_146128.txt,Theme,Bare soil detection
49,script_146128.txt,Theme,Water body identification
50,script_15043.txt,Theme,Land cover classification
51,script_15043.txt,Theme,Variable importance analysis
52,script_15043.txt,Theme,Accuracy assessment
53,script_155017.txt,Theme,Land Surface Temperature Analysis
54,script_159299.txt,Theme,Land cover classification in Gujrat City
55,script_165234.txt,Theme,MODIS data processing
56,script_165234.txt,Theme,NDVI calculation
57,script_165234.txt,Theme,Greenest pixel analysis
58,script_173652.txt,Theme,Land cover change detection
59,script_173652.txt,Theme,Cloud masking
60,script_173652.txt,Theme,Landsat imagery analysis
61,script_174376.txt,Theme,Land cover classification
62,script_174376.txt,Theme,Urban area analysis
63,script_174376.txt,Theme,Water body analysis
64,script_174376.txt,Theme,Vegetation analysis
65,script_174474.txt,Theme,Landsat imagery analysis
66,script_174474.txt,Theme,Cloud masking
67,script_174474.txt,Theme,NDVI calculation
68,script_174747.txt,Theme,Temperature analysis in Mexico
69,script_176914.txt,Theme,Land cover classification
70,script_176914.txt,Theme,Area calculation
71,script_176914.txt,Theme,Accuracy assessment
72,script_179626.txt,Theme,Land Surface Temperature Analysis
73,script_179626.txt,Theme,NDVI Calculation
74,script_179626.txt,Theme,Cloud Masking
75,script_180257.txt,Theme,Landsat imagery analysis
76,script_180257.txt,Theme,Zonal statistics extraction
77,script_180257.txt,Theme,Cloud masking
78,script_180257.txt,Theme,Point buffering
