ID,Script_ID,Entity_Type,Value,Value_BAAI,Top1_Similarity_BAAI,Value_BERT,Top1_Similarity_BERT,Value_BERT0,Top1_Similarity_BERT0,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_LLAMA70B,Usage,Value_sentence-t5-large2,Top1_Similarity_sentence-t5-large2,Value_BAAI2,Top1_Similarity_BAAI2
1,script_102957.txt,Function,Filter image collection by spatial bounds,Filter Image Collection By Bounds,0.896336079,Filter Image Collection By Bounds,0.999745607,Filter Image Collection By Bounds,0.972790599,Filter Image Collection By Bounds,0.951050758,Filter Image Collection By Bounds,"{'prompt_tokens': 4014, 'completion_tokens': 6, 'total_tokens': 4020}",Filter Image Collection By Bounds,0.9510507583618164,Filter Image Collection By Bounds,0.8963360786437988
2,script_102957.txt,Function,Mask clear pixels,Clear Pixel Masking,0.881211519,Clear Pixel Masking,0.999154806,Stack Multiple Image Bands,0.923694849,Clear Pixel Masking,0.949528933,Clear Pixel Masking,"{'prompt_tokens': 4011, 'completion_tokens': 4, 'total_tokens': 4015}",Clear Pixel Masking,0.9495289325714112,Clear Pixel Masking,0.881211519241333
3,script_102957.txt,Function,Mask cloud and cloud shadow,Cloud And Cloud Shadow Masking,0.872214079,Cloud And Cloud Shadow Masking,0.99974674,Cloud And Cloud Shadow Masking,0.942927897,Cloud And Cloud Shadow Masking,0.954921722,Cloud Masking,"{'prompt_tokens': 4013, 'completion_tokens': 3, 'total_tokens': 4016}",Image Cloud Masking,0.9130788445472716,Shadow Masking,0.792118489742279
4,script_102957.txt,Function,Convert DN to SR,Unit Conversion For Daily Averages,0.534983516,Calculate dNBR For Fire Severity,0.99892199,Reduce Image Collection To Minimum Value,0.85980624,Data Conversion,0.829274774,Image Correction,"{'prompt_tokens': 4012, 'completion_tokens': 3, 'total_tokens': 4015}",Data Conversion,0.8292747735977173,Data Conversion,0.5289424657821655
5,script_102957.txt,Function,Filter image collection by time window,Filter Image Collection By Time,0.938981056,Filter Image Collection By Time,0.999821663,Filter Image Collection By Time,0.981316507,Filter Image Collection By Time,0.986424267,Filter Image Collection By Time,"{'prompt_tokens': 4014, 'completion_tokens': 5, 'total_tokens': 4019}",Filter Image Collection By Time,0.9864242672920228,Filter Image Collection By Time,0.9389810562133789
6,script_102957.txt,Function,Median composite to convert IC to Image,Create Median Composite Of Images,0.774344206,Create Median Composite Of Images,0.999237597,Reduction To Single Image,0.879269421,Create Median Composite Of Images,0.921164811,Image Mosaicking,"{'prompt_tokens': 4016, 'completion_tokens': 4, 'total_tokens': 4020}",Displays Composite Image,0.8695589303970337,Export Composite Image,0.7098008394241333
7,script_10376.txt,Function,Filtering image collection by date and bounds,Filter Image Collection By Date And Boundaries,0.947230577,Filter Image Collection By Date And Boundaries,0.999483347,Filter Image Collection By Date And Boundaries,0.893042564,Filter Image Collection By Date And Boundaries,0.98748827,Filter Image Collection By Date And Boundaries,"{'prompt_tokens': 4016, 'completion_tokens': 8, 'total_tokens': 4024}",Filter Image Collection By Date And Boundaries,0.9874882698059082,Filter Image Collection By Date And Boundaries,0.9472305774688721
8,script_10376.txt,Function,Converting image to reflectance,Surface Reflectance Correction,0.740300536,Image Masking,0.999096453,Applying Mean Filter To Image,0.930246472,Convert Image,0.890420675,Reflectance Value Scaling,"{'prompt_tokens': 4015, 'completion_tokens': 5, 'total_tokens': 4020}",Convert Image,0.89042067527771,Surface Reflectance Correction,0.7403005361557007
9,script_10376.txt,Function,Visualizing image bands,Visualize Images In Different Band Combinations,0.892967343,Visualize Satellite Images,0.999234855,Visualization Setup,0.943425536,Visualize Images In Different Band Combinations,0.941932738,Image Band Manipulation,"{'prompt_tokens': 4012, 'completion_tokens': 5, 'total_tokens': 4017}",Visualize Images In Different Band Combinations,0.941932737827301,Visualize Images In Different Band Combinations,0.8929673433303833
10,script_10376.txt,Function,Exporting images to Drive,Export Processed Images To Drive,0.894373894,Export Processed Images To Drive,0.999714255,Stacking Multiple Images,0.928141236,Export Processed Images To Drive,0.954555631,Export Processed Images To Drive,"{'prompt_tokens': 4013, 'completion_tokens': 6, 'total_tokens': 4019}",Export Processed Images To Drive,0.9545555710792542,Export Processed Images To Drive,0.8943740129470825
