ID,Script_ID,Entity_Type,Value,Value_BAAI,Top1_Similarity_BAAI,Value_BERT,Top1_Similarity_BERT,Value_BERT0,Top1_Similarity_BERT0,Value_LLAMA70B,Usage,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large
1,script_102957.txt,Theme,Land cover analysis in Los Angeles County,LAND USE/LAND COVER CLASSIFICATION,0.665326715,ENVIRONMENTAL VULNERABILITY INDEX (EVI),0.997798443,ENVIRONMENTAL ASSESSMENTS,0.899153173,LAND USE/LAND COVER,"{'prompt_tokens': 7771, 'completion_tokens': 6, 'total_tokens': 7777}",LAND SURFACE/AGRICULTURE INDICATORS,0.8359535336494446
2,script_10376.txt,Theme,Land surface analysis using Landsat 8 imagery,LAND SURFACE,0.643516779,AFFORESTATION/REFORESTATION,0.998718739,SOLAR IMAGERY,0.942331195,LAND SURFACE,"{'prompt_tokens': 7774, 'completion_tokens': 3, 'total_tokens': 7777}",SATELLITE SOIL MOISTURE INDEX,0.8340094685554504
3,script_103827.txt,Theme,Flood monitoring and analysis,FLOOD FREQUENCY,0.703985333,STORMWATER MANAGEMENT,0.998867393,FOREST HARVESTING AND ENGINEERING,0.861917257,HYDROLOGY,"{'prompt_tokens': 7769, 'completion_tokens': 4, 'total_tokens': 7773}",FLOOD LEVELS,0.849592924118042
4,script_106121.txt,Theme,Sentinel-2 image reprojection and export,ISOSTATIC REBOUND,0.557174921,HARMFUL ALGAL BLOOM (HABs),0.998825967,CFC-11,0.855924785,REMOTE SENSING,"{'prompt_tokens': 7773, 'completion_tokens': 4, 'total_tokens': 7777}",RADAR IMAGERY,0.7661371231079102
5,script_10828.txt,Theme,Vegetation Index Analysis,VEGETATION INDEX,0.792009592,VEGETATION INDEX,0.999379277,VEGETATION RECONSTRUCTION,0.934777856,VEGETATION INDEX,"{'prompt_tokens': 7768, 'completion_tokens': 4, 'total_tokens': 7772}",VEGETATION INDEX,0.9318158626556396
6,script_118175.txt,Theme,Land cover classification and vegetation index analysis,LAND USE/LAND COVER CLASSIFICATION,0.729021311,FOREST COMPOSITION/VEGETATION STRUCTURE,0.99907589,SEDIMENTARY ROCK AGE DETERMINATIONS,0.902766764,LAND SURFACE/AGRICULTURE INDICATORS,"{'prompt_tokens': 7771, 'completion_tokens': 12, 'total_tokens': 7783}",VEGETATION INDEX,0.891660213470459
7,script_119133.txt,Theme,Wildfire severity analysis,FIRE WEATHER INDEX,0.597022355,WILDFIRE SUPPRESSION,0.999418736,SEA SURFACE TEMPERATURE RECONSTRUCTION,0.919936419,NATURAL HAZARDS,"{'prompt_tokens': 7768, 'completion_tokens': 6, 'total_tokens': 7774}",FIRE WEATHER INDEX,0.8797204494476318
8,script_11983.txt,Theme,Vegetation Index Analysis,VEGETATION INDEX,0.792009592,VEGETATION INDEX,0.999379277,VEGETATION RECONSTRUCTION,0.934777856,VEGETATION INDEX,"{'prompt_tokens': 7768, 'completion_tokens': 4, 'total_tokens': 7772}",VEGETATION INDEX,0.9318158626556396
9,script_120271.txt,Theme,NDVI analysis of Sentinel-2 imagery,INFRARED IMAGERY,0.554455101,HARMFUL ALGAL BLOOM (HABs),0.998846292,RADAR CROSS-SECTION,0.874995947,VEGETATION INDEX,"{'prompt_tokens': 7774, 'completion_tokens': 4, 'total_tokens': 7778}",NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.8014709949493408
10,script_120557.txt,Theme,Land cover classification in Florida,LAND USE/LAND COVER CLASSIFICATION,0.735061646,SOIL PLASTICITY,0.998322845,PALMER HYDROLOGICAL DROUGHT INDEX,0.923708081,LAND USE/LAND COVER,"{'prompt_tokens': 7769, 'completion_tokens': 6, 'total_tokens': 7775}",LAND USE/LAND COVER CLASSIFICATION,0.8443316221237183
11,script_125294.txt,Theme,Ecorregion Alto Parana analysis,ANTHROPOGENIC/HUMAN INFLUENCED ECOSYSTEMS,0.504976094,EPEIROGENIC MOVEMENT,0.998567104,OCEAN SALINITY RECONSTRUCTION,0.889966726,ECOLOGICAL DYNAMICS,"{'prompt_tokens': 7771, 'completion_tokens': 7, 'total_tokens': 7778}",ALUMINUM-26 ANALYSIS,0.8165044784545898
12,script_144864.txt,Theme,"Land cover classification in Hai Phong, Vietnam",LAND USE/LAND COVER CLASSIFICATION,0.666466773,BERYLLIUM-10 ANALYSIS,0.997913003,SEDIMENTARY ROCK AGE DETERMINATIONS,0.873713732,LAND USE/LAND COVER,"{'prompt_tokens': 7773, 'completion_tokens': 6, 'total_tokens': 7779}",LAND USE/LAND COVER CLASSIFICATION,0.8527897596359253
13,script_146128.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.805195093,LAND USE/LAND COVER CLASSIFICATION,0.999158859,LAND USE CLASSES,0.940996528,LAND USE/LAND COVER,"{'prompt_tokens': 7767, 'completion_tokens': 6, 'total_tokens': 7773}",LAND USE/LAND COVER CLASSIFICATION,0.9255800247192383
14,script_15043.txt,Theme,Land Use Land Cover Classification,LAND USE/LAND COVER CLASSIFICATION,0.843844295,LAND USE/LAND COVER CLASSIFICATION,0.999672413,LAND USE/LAND COVER CLASSIFICATION,0.949848294,LAND USE/LAND COVER CLASSIFICATION,"{'prompt_tokens': 7770, 'completion_tokens': 8, 'total_tokens': 7778}",LAND USE/LAND COVER CLASSIFICATION,0.9516774415969849
15,script_155017.txt,Theme,Land Surface Temperature Analysis in Himachal Pradesh,LAND SURFACE TEMPERATURE,0.662556827,NATIONAL SANITATION FOUNDATION WATER QUALITY INDEX,0.997969329,ATMOSPHERIC PRESSURE MEASUREMENTS,0.891429543,LAND SURFACE TEMPERATURE,"{'prompt_tokens': 7774, 'completion_tokens': 6, 'total_tokens': 7780}",LAND SURFACE TEMPERATURE,0.856417715549469
16,script_165234.txt,Theme,MODIS vegetation analysis,SURFACE MOISTURE INDEX,0.599446774,VEGETATION RECONSTRUCTION,0.999058425,CORAL REEF ASSESSMENT,0.910144925,VEGETATION,"{'prompt_tokens': 7768, 'completion_tokens': 3, 'total_tokens': 7771}",VEGETATION INDEX,0.8547351360321045
17,script_165234.txt,Theme,Country boundary analysis,COUNTRY BOUNDARIES,0.752269745,LANDSCAPE MANAGEMENT,0.998970449,SEA SURFACE TEMPERATURE RECONSTRUCTION,0.933748364,BOUNDARIES,"{'prompt_tokens': 7767, 'completion_tokens': 3, 'total_tokens': 7770}",COUNTRY BOUNDARIES,0.8916383981704712
18,script_173652.txt,Theme,Land cover change detection and analysis,LAND USE/LAND COVER CLASSIFICATION,0.688638747,OCEAN SALINITY RECONSTRUCTION,0.998955905,GEOMAGNETIC FORECASTS,0.894976079,LAND USE/LAND COVER,"{'prompt_tokens': 7770, 'completion_tokens': 6, 'total_tokens': 7776}",LAND SURFACE/AGRICULTURE INDICATORS,0.8615080118179321
19,script_174474.txt,Theme,Land cover analysis using Landsat 5 imagery,LAND USE/LAND COVER CLASSIFICATION,0.635942936,AFFORESTATION/REFORESTATION,0.998544812,SOLAR IMAGERY,0.932077765,LAND USE/LAND COVER,"{'prompt_tokens': 7774, 'completion_tokens': 6, 'total_tokens': 7780}",SATELLITE SOIL MOISTURE INDEX,0.8380022048950195
20,script_174747.txt,Theme,"Land Surface Temperature Analysis in Michoacan, Mexico",LAND SURFACE TEMPERATURE,0.681699514,NON-REFRACTORY AEROSOL ORGANIC MASS,0.998314083,METEORITE AGE DETERMINATIONS,0.847335339,LAND SURFACE TEMPERATURE,"{'prompt_tokens': 7775, 'completion_tokens': 6, 'total_tokens': 7781}",LAND SURFACE TEMPERATURE,0.8376045823097229
21,script_179626.txt,Theme,Land Surface Temperature Analysis,LAND SURFACE TEMPERATURE,0.790771842,SEA SURFACE TEMPERATURE RECONSTRUCTION,0.999494553,SEA SURFACE TEMPERATURE RECONSTRUCTION,0.941057563,LAND SURFACE TEMPERATURE,"{'prompt_tokens': 7769, 'completion_tokens': 6, 'total_tokens': 7775}",LAND SURFACE TEMPERATURE,0.8780211210250854
22,script_180257.txt,Theme,Land cover analysis using Landsat imagery,LAND USE/LAND COVER CLASSIFICATION,0.668859243,LAND USE/LAND COVER,0.99875164,SOLAR IMAGERY,0.940662146,LAND USE/LAND COVER,"{'prompt_tokens': 7772, 'completion_tokens': 6, 'total_tokens': 7778}",LAND SURFACE/AGRICULTURE INDICATORS,0.8462215662002563
23,script_186294.txt,Theme,Land cover classification and vegetation analysis,LAND USE/LAND COVER CLASSIFICATION,0.74932003,FOREST COMPOSITION/VEGETATION STRUCTURE,0.999286592,FOREST HARVESTING AND ENGINEERING,0.903452098,VEGETATION,"{'prompt_tokens': 7770, 'completion_tokens': 3, 'total_tokens': 7773}",LAND USE/LAND COVER CLASSIFICATION,0.8886501789093018
24,script_186319.txt,Theme,Forest monitoring and land cover change detection,FOREST MENSURATION,0.736101985,CLOUD RADIATIVE FORCING,0.998940587,CORAL REEF ASSESSMENT,0.911260903,LAND USE/LAND COVER,"{'prompt_tokens': 7771, 'completion_tokens': 6, 'total_tokens': 7777}",FOREST MENSURATION,0.8819835782051086
