ID,Script_ID,Entity_Type,Value
1,script_102957.txt,Function,Filter image collection by bounds
2,script_102957.txt,Function,Mask clear pixels
3,script_102957.txt,Function,Mask cloud and cloud shadow
4,script_102957.txt,Function,Convert DN to SR
5,script_102957.txt,Function,Median composite
6,script_10376.txt,Function,Image collection filtering
7,script_10376.txt,Function,Image clipping
8,script_10376.txt,Function,Reflectance conversion
9,script_10376.txt,Function,Image visualization
10,script_10376.txt,Function,Image exporting
11,script_103827.txt,Function,Get weekly Sentinel-1 composite image
12,script_103827.txt,Function,Filter image collection by date and polarization
13,script_103827.txt,Function,Clip image to region
14,script_103827.txt,Function,Visualize image
15,script_106121.txt,Function,Filter image collection
16,script_106121.txt,Function,Select image bands
17,script_106121.txt,Function,Reproject image
18,script_106121.txt,Function,Export image to Google Drive
19,script_106121.txt,Function,Visualize image on Google Map
20,script_10828.txt,Function,Cloud Masking
21,script_10828.txt,Function,NDVI Calculation
22,script_10828.txt,Function,Linear Interpolation
23,script_10828.txt,Function,Image Collection Filtering
24,script_10828.txt,Function,Feature Collection Generation
25,script_10828.txt,Function,Table Export
26,script_118175.txt,Function,Apply scale factors to image
27,script_118175.txt,Function,Mask clouds in Sentinel-2 image
28,script_118175.txt,Function,Calculate NDVI
29,script_118175.txt,Function,Calculate NDWI
30,script_118175.txt,Function,Calculate MNDWI
31,script_118175.txt,Function,Calculate NDSI
32,script_118175.txt,Function,Calculate EWI
33,script_118175.txt,Function,Calculate ICE
34,script_118175.txt,Function,Filter image collection by date and cloud cover
35,script_118175.txt,Function,Join image collections
36,script_118175.txt,Function,Clip image to region of interest
37,script_118175.txt,Function,Quality mosaic of image collection
38,script_118175.txt,Function,Maximum value composite of image collection
39,script_119133.txt,Function,Normalized difference calculation
40,script_119133.txt,Function,Image stacking
41,script_119133.txt,Function,Clustering
42,script_119133.txt,Function,Image classification
43,script_119133.txt,Function,Histogram generation
44,script_119133.txt,Function,Filtering
45,script_119133.txt,Function,Masking
46,script_119133.txt,Function,Image multiplication
47,script_11983.txt,Function,Image Collection Filtering
48,script_11983.txt,Function,Cloud Masking
49,script_11983.txt,Function,NDVI Calculation
50,script_11983.txt,Function,Image Differencing
51,script_11983.txt,Function,Standard Anomaly Calculation
52,script_120271.txt,Function,Calculate NDVI
53,script_120271.txt,Function,Filter image collection
54,script_120271.txt,Function,Compute median
55,script_120271.txt,Function,Clip image
56,script_120271.txt,Function,Reduce region
57,script_120271.txt,Function,Get percentile
58,script_120271.txt,Function,Draw gradient bar
59,script_120271.txt,Function,Draw frame
60,script_120271.txt,Function,Draw scalebar
61,script_120557.txt,Function,Filtering image collection by region
62,script_120557.txt,Function,Masking cloudy pixels
63,script_120557.txt,Function,Calculating water and vegetation indices
64,script_120557.txt,Function,Classifying land cover
65,script_125294.txt,Function,Cloud masking for Landsat 5 images
66,script_125294.txt,Function,Image collection filtering
67,script_125294.txt,Function,Percentile calculation
68,script_125294.txt,Function,Image compositing
69,script_125294.txt,Function,Map visualization
70,script_144864.txt,Function,Filtering image collection by bounds and date
71,script_144864.txt,Function,Cloud masking and image quality assessment
72,script_144864.txt,Function,NDVI calculation and land cover classification
73,script_144864.txt,Function,Image clipping and spatial analysis
74,script_155017.txt,Function,Filtering image collection by bounds
75,script_155017.txt,Function,Filtering image collection by date
76,script_155017.txt,Function,Clipping images to geometry
77,script_155017.txt,Function,Scaling LST values
78,script_155017.txt,Function,Reducing regions to mean LST
79,script_155017.txt,Function,Joining tables by label
80,script_155017.txt,Function,Formatting table values
81,script_165234.txt,Function,Image collection filtering
82,script_165234.txt,Function,Cloud masking
83,script_165234.txt,Function,Image scaling
84,script_165234.txt,Function,NDVI calculation
85,script_165234.txt,Function,Date extraction
86,script_165234.txt,Function,Month extraction
87,script_165234.txt,Function,Day of year extraction
88,script_165234.txt,Function,Quality mosaic creation
89,script_173652.txt,Function,Masking cloud shadows and clouds in Landsat 8 images
90,script_173652.txt,Function,Filtering Landsat 8 images by date
91,script_173652.txt,Function,Clipping images to area of interest
92,script_173652.txt,Function,Running LandTrendr algorithm
93,script_173652.txt,Function,Getting change map layers
94,script_173652.txt,Function,Exporting change data to Google Drive
95,script_174474.txt,Function,Filtering image collection by cloud cover
96,script_174474.txt,Function,Masking clouds and shadows
97,script_174474.txt,Function,Calculating NDVI
98,script_174474.txt,Function,Compositing images
99,script_174747.txt,Function,Filtering country boundaries
100,script_174747.txt,Function,Importing LST image collection
101,script_174747.txt,Function,Scaling to Kelvin and converting to Celsius
102,script_174747.txt,Function,Calculating 8-day mean temperature
103,script_174747.txt,Function,Testing trend with Sen's slope
104,script_179626.txt,Function,Cloud masking
105,script_179626.txt,Function,Image collection filtering
106,script_179626.txt,Function,NDVI calculation
107,script_179626.txt,Function,Thermal band selection
108,script_179626.txt,Function,Land Surface Temperature calculation
109,script_180257.txt,Function,Buffering points
110,script_180257.txt,Function,Zonal statistics calculation
111,script_180257.txt,Function,Image masking
112,script_180257.txt,Function,Image renaming
113,script_180257.txt,Function,Image preprocessing
114,script_186294.txt,Function,Filtering image collection by date and bounds
115,script_186294.txt,Function,Applying NDVI function to images
116,script_186294.txt,Function,Updating image mask
117,script_186294.txt,Function,Exporting image to drive
118,script_186319.txt,Function,Image collection filtering
119,script_186319.txt,Function,Image normalization
120,script_186319.txt,Function,NDVI calculation
121,script_186319.txt,Function,NBR calculation
122,script_186319.txt,Function,Image mosaicking
123,script_186319.txt,Function,Image exporting
124,script_186320.txt,Function,Image collection filtering
125,script_186320.txt,Function,NDVI calculation
126,script_186320.txt,Function,NBR calculation
127,script_186320.txt,Function,Image mosaicking
128,script_186320.txt,Function,Image exporting
129,script_186321.txt,Function,Image collection filtering
130,script_186321.txt,Function,NDVI calculation
131,script_186321.txt,Function,NBR calculation
132,script_186321.txt,Function,Image mosaicking
133,script_186321.txt,Function,Image exporting
