ID,Script_ID,Entity_Type,Value
1,script_102957.txt,Theme,Land cover analysis in Los Angeles
2,script_10376.txt,Theme,Landsat 8 image analysis
3,script_103827.txt,Theme,Flood monitoring and analysis
4,script_106121.txt,Theme,Sentinel-2 image reprojection and export
5,script_10828.txt,Theme,Vegetation Index Analysis
6,script_118175.txt,Theme,Land cover classification and vegetation index analysis
7,script_119133.txt,Theme,Wildfire severity analysis
8,script_11983.txt,Theme,Vegetation Index Analysis
9,script_120271.txt,Theme,NDVI analysis of Sentinel-2 imagery
10,script_120557.txt,Theme,Land cover classification in Florida
11,script_125294.txt,Theme,Land cover analysis in the Alto Paraná ecoregion
12,script_144864.txt,Theme,Land use classification and land cover analysis
13,script_155017.txt,Theme,Land Surface Temperature Analysis in Himachal Pradesh
14,script_165234.txt,Theme,MODIS data analysis for vegetation monitoring
15,script_173652.txt,Theme,Land cover change analysis using Landsat 8 and LandTrendr
16,script_174474.txt,Theme,Land cover analysis using Landsat 5 imagery
17,script_174747.txt,Theme,"Land Surface Temperature Analysis in Michoacan, Mexico"
18,script_179626.txt,Theme,Land Surface Temperature Analysis
19,script_180257.txt,Theme,Land cover analysis using Landsat imagery
20,script_186294.txt,Theme,Land cover classification and vegetation analysis
21,script_186319.txt,Theme,Forest monitoring and land cover classification
22,script_186320.txt,Theme,Forest monitoring and early detection of forest loss and fire using Sentinel-2 images
23,script_186321.txt,Theme,Forest monitoring and land cover classification
24,script_186323.txt,Theme,Forest monitoring and land cover change detection
25,script_186325.txt,Theme,Forest monitoring and land cover analysis
26,script_186326.txt,Theme,Forest monitoring and land cover classification
27,script_186329.txt,Theme,Forest monitoring and land cover change detection
28,script_186332.txt,Theme,Land cover classification and crop type analysis
29,script_186333.txt,Theme,"Crop classification and land use analysis in Maharashtra, India"
30,script_186334.txt,Theme,Land cover classification and crop type analysis
31,script_186356.txt,Theme,Land cover classification using Sentinel-1 data
32,script_186365.txt,Theme,Land cover classification
33,script_186365.txt,Theme,Vegetation analysis
34,script_186365.txt,Theme,Burn area detection
35,script_186365.txt,Theme,Snow cover analysis
36,script_186378.txt,Theme,Land cover classification and vegetation monitoring
37,script_186380.txt,Theme,Marsh bird survey and spectral indices analysis
38,script_186418.txt,Theme,Land Surface Temperature Retrieval
39,script_186449.txt,Theme,Land cover classification and analysis
40,script_186466.txt,Theme,Forest monitoring and land cover classification
41,script_186503.txt,Theme,Land cover classification using Sentinel-1 data
42,script_186528.txt,Theme,Land cover classification using Sentinel-1 data
43,script_186540.txt,Theme,Land cover classification and vegetation analysis
44,script_186562.txt,Theme,Forest monitoring and change detection
45,script_186570.txt,Theme,Forest monitoring and land cover classification
46,script_186601.txt,Theme,Forest monitoring and land cover classification
47,script_186605.txt,Theme,Forest monitoring and land cover analysis
48,script_186607.txt,Theme,Forest monitoring and deforestation detection
49,script_186815.txt,Theme,Forest monitoring and land cover classification
50,script_186822.txt,Theme,Agricultural field analysis using Sentinel-1 data
51,script_186829.txt,Theme,Forest change and surface temperature analysis in the Amazon region
52,script_186856.txt,Theme,Cloud and Shadow Detection in Sentinel-2 Imagery
53,script_186886.txt,Theme,Forest monitoring and land cover change detection
54,script_186888.txt,Theme,Land surface temperature and vegetation analysis
55,script_186892.txt,Theme,Forest monitoring and land cover classification
56,script_186914.txt,Theme,Flood area detection and population analysis
57,script_186915.txt,Theme,Flood area detection and population analysis
58,script_186940.txt,Theme,Land cover classification and Landsat image processing
59,script_186974.txt,Theme,Land surface reflectance analysis
60,script_187038.txt,Theme,Land cover classification and cloud cover analysis
61,script_187125.txt,Theme,Water body detection and analysis
62,script_187131.txt,Theme,Wildfire analysis and burned area detection
63,script_187137.txt,Theme,Land Surface Temperature Analysis
64,script_187138.txt,Theme,Forest change and surface temperature analysis in the Amazon region
65,script_187226.txt,Theme,Forest analysis
66,script_187248.txt,Theme,Land Surface Temperature Analysis
67,script_187481.txt,Theme,Flood Mapping using Sentinel-1
68,script_187523.txt,Theme,Flood Mapping using Sentinel-1
