ID,Script_ID,Entity_Type,Value
1,script_102957.txt,Function,Filtering Landsat 9 imagery to Los Angeles county and a specific time window
2,script_102957.txt,Function,Applying clear pixel mask to the imagery
3,script_102957.txt,Function,Applying cloud and cloud shadow mask to the imagery
4,script_102957.txt,Function,Converting digital numbers to surface reflectance
5,script_102957.txt,Function,Creating a median composite image from the filtered and masked imagery
6,script_10376.txt,Function,Filtering image collection by date and extent
7,script_10376.txt,Function,Applying scale factors to optical and thermal bands
8,script_10376.txt,Function,Visualizing images in different bands and combinations
9,script_10376.txt,Function,Exporting images to Google Drive
10,script_103827.txt,Function,getWeeklySentinelComposite function for compositing Sentinel-1 images
11,script_103827.txt,Function,addLayerSelector function for adding layer selection widgets to maps
12,script_103827.txt,Function,updateMap function for updating maps based on user selection
13,script_106121.txt,Function,"Filtering Sentinel-2 image collection by cloud percentage, date, and geometry"
14,script_106121.txt,Function,Selecting a single band from the filtered image collection
15,script_106121.txt,Function,Reprojecting the image to EPSG:4326
16,script_106121.txt,Function,Exporting the reprojected image to Google Drive
17,script_106121.txt,Function,Visualizing the raw and reprojected images on a map
18,script_10828.txt,Function,getGlobalRoi: generates a global region of interest
19,script_10828.txt,Function,maskClouds: masks clouds in MODIS images
20,script_10828.txt,Function,cal_nirv: calculates NIRV values from MODIS images
21,script_10828.txt,Function,pkg_smooth.linearInterp: performs linear interpolation on NIRV values
22,script_10828.txt,Function,fill: extracts point information from NIRV images
23,script_110133.txt,Function,Filtering Sentinel-1 GRD data by predefined parameters
24,script_110133.txt,Function,Selecting images by predefined dates
25,script_110133.txt,Function,Creating a mosaic of selected tiles and clipping to study area
26,script_110133.txt,Function,Applying reduce radar speckle by smoothing
27,script_110133.txt,Function,Calculating flood extent
28,script_110133.txt,Function,Refining flood result using additional datasets
29,script_110133.txt,Function,Calculating flood extent area
30,script_110133.txt,Function,Damage assessment
31,script_110133.txt,Function,Exposed population density calculation
32,script_118175.txt,Function,applyScaleFactors: scales optical and thermal bands of Landsat imagery
33,script_118175.txt,Function,maskS2Clouds: masks clouds in Sentinel-2 imagery
34,script_118175.txt,Function,add_NDVI: calculates Normalized Difference Vegetation Index
35,script_118175.txt,Function,add_NDWI: calculates Normalized Difference Water Index
36,script_118175.txt,Function,add_MNDWI: calculates Modified Normalized Difference Water Index
37,script_118175.txt,Function,add_NDSI: calculates Normalized Difference Snow Index
38,script_118175.txt,Function,add_EWI: calculates Enhanced Wetness Index
39,script_118175.txt,Function,add_ICE: extracts ice cover information from Sentinel-2 imagery
40,script_119133.txt,Function,Normalized Burn Ratio (NBR) calculation
41,script_119133.txt,Function,Difference NBR (dNBR) calculation
42,script_119133.txt,Function,Layer stacking
43,script_119133.txt,Function,Training dataset generation
44,script_119133.txt,Function,Weka Cascade K-Means clustering
45,script_119133.txt,Function,Image classification
46,script_119133.txt,Function,Statistics calculation
47,script_119133.txt,Function,Visualization
48,script_119133.txt,Function,Filtering
49,script_119133.txt,Function,Masking
50,script_119133.txt,Function,Image multiplication
51,script_11983.txt,Function,maskL8sr (cloud masking and image correction)
52,script_11983.txt,Function,ndvi (calculating Normalized Difference Vegetation Index)
53,script_11983.txt,Function,image filtering and compositing
54,script_11983.txt,Function,image differencing and anomaly calculation
55,script_120271.txt,Function,addNDVI function to calculate NDVI band
56,script_120271.txt,Function,median function to calculate median image
57,script_120271.txt,Function,clip function to clip image to testing area
58,script_120271.txt,Function,select function to select NDVI band
59,script_120271.txt,Function,reduceRegion function to calculate percentile
60,script_120271.txt,Function,Map.addLayer function to add layers to the map
61,script_120557.txt,Function,Filtering the region of interest (Florida) from the TIGER/2016/States feature collection
62,script_120557.txt,Function,Filtering Landsat 8 images within the region of interest and date range
63,script_120557.txt,Function,Extracting QA bits for cloud masking
64,script_120557.txt,Function,Masking out cloudy pixels
65,script_120557.txt,Function,Applying decision tree classification for land cover types (water and vegetation)
66,script_125294.txt,Function,Cloud masking for Landsat 5 images
67,script_125294.txt,Function,Image collection filtering and reduction
68,script_125294.txt,Function,Percentile calculation and image clipping
69,script_125294.txt,Function,Map visualization and layering
70,script_125294.txt,Function,Image export to Google Drive
71,script_144864.txt,Function,Filtering and selecting administrative boundaries
72,script_144864.txt,Function,Cloud masking and image filtering
73,script_144864.txt,Function,Image collection and mosaicking
74,script_144864.txt,Function,NDVI calculation and land cover classification
75,script_144864.txt,Function,Area calculation and statistics
76,script_146128.txt,Function,Filtering and sorting Sentinel-2 images by date and cloud cover
77,script_146128.txt,Function,Merging feature collections
78,script_146128.txt,Function,Creating training data using sample regions
79,script_146128.txt,Function,Training a classifier using CART algorithm
80,script_146128.txt,Function,Running classification on Sentinel-2 image
81,script_15043.txt,Function,Sample regions for training data
82,script_15043.txt,Function,Classify images using Random Forest and CART classifiers
83,script_15043.txt,Function,Compute variable importance
84,script_15043.txt,Function,Classify test data
85,script_15043.txt,Function,Accuracy assessment
86,script_15043.txt,Function,Visualize results
87,script_155017.txt,Function,Filtering MODIS images by bounds and date
88,script_155017.txt,Function,Clipping images to Himachal Pradesh region
89,script_155017.txt,Function,Scaling LST values
90,script_155017.txt,Function,Reducing regions to mean LST values
91,script_155017.txt,Function,Joining tables by label and imageId
92,script_155017.txt,Function,Exporting results to CSV
93,script_165234.txt,Function,Filtering MODIS data by year (2019) and applying cloud mask
94,script_165234.txt,Function,Scaling MODIS data
95,script_165234.txt,Function,Calculating NDVI
96,script_165234.txt,Function,"Extracting date, month, and day of year from MODIS data"
97,script_165234.txt,Function,Creating a quality mosaic of NDVI
98,script_165234.txt,Function,"Visualizing NDVI, greenest pixel, greenest month, and greenest day of year"
99,script_173652.txt,Function,maskL8sr
100,script_173652.txt,Function,filterDate
101,script_173652.txt,Function,map
102,script_173652.txt,Function,clip
103,script_173652.txt,Function,median
104,script_173652.txt,Function,reduceRegions
105,script_173652.txt,Function,Export.table.toDrive
106,script_174474.txt,Function,Filtering image collection by cloud cover and date
107,script_174474.txt,Function,Masking clouds and shadows in images
108,script_174474.txt,Function,Calculating NDVI
109,script_174474.txt,Function,Clipping images to a specific geometry
110,script_174474.txt,Function,Compositing images
111,script_174474.txt,Function,Adding layers to the map
112,script_174747.txt,Function,Filtering country boundaries
113,script_174747.txt,Function,Importing LST image collection
114,script_174747.txt,Function,Scaling to Kelvin and converting to Celsius
115,script_174747.txt,Function,Charting time series of LST
116,script_174747.txt,Function,Calculating 8-day mean temperature
117,script_174747.txt,Function,Testing trend with Sen's slope
118,script_174747.txt,Function,Exporting images to Drive
119,script_179626.txt,Function,Cloud masking using Landsat 8 imagery
120,script_179626.txt,Function,NDVI calculation and visualization
121,script_179626.txt,Function,Thermal band selection and visualization
122,script_179626.txt,Function,Fractional Vegetation Cover (FV) calculation
123,script_179626.txt,Function,Emissivity (EM) calculation
124,script_179626.txt,Function,Land Surface Temperature (LST) calculation and visualization
125,script_180257.txt,Function,Filtering Landsat 7 imagery by date
126,script_180257.txt,Function,Painting a feature collection onto an image
127,script_180257.txt,Function,Buffering points
128,script_180257.txt,Function,Calculating zonal statistics
129,script_180257.txt,Function,Masking clouds and shadows in Landsat 7 imagery
130,script_180257.txt,Function,Renaming bands in Landsat 7 imagery
131,script_180257.txt,Function,Preparing Landsat 7 imagery for analysis
132,script_186294.txt,Function,Filtering Sentinel-2 images by date and bounds
133,script_186294.txt,Function,Applying NDVI function to the image collection
134,script_186294.txt,Function,Masking images using QA60 band
135,script_186294.txt,Function,Clipping and visualizing NDVI results
136,script_186294.txt,Function,Exporting NDVI image to Google Drive
137,script_186319.txt,Function,Filtering and sorting image collections
138,script_186319.txt,Function,Calculating NDVI and NBR indices
139,script_186319.txt,Function,Mosaicking and exporting images
140,script_186319.txt,Function,Visualizing and comparing images
