ID,Script_ID,Entity_Type,Value
1,script_102957.txt,Theme,Land cover analysis using Landsat 9 imagery and FAO administrative boundaries
2,script_10376.txt,Theme,Landsat 8 Image Processing and Visualization
3,script_103827.txt,Theme,Flood analysis and monitoring using Sentinel-1 imagery
4,script_106121.txt,Theme,Reprojection and Export of Sentinel-2 Image
5,script_10828.txt,Theme,MODIS data processing and analysis
6,script_110133.txt,Theme,Flood extent calculation and damage assessment
7,script_118175.txt,Theme,Land cover classification and change detection using Landsat and Sentinel-2 imagery
8,script_119133.txt,Theme,Burned area detection and severity analysis
9,script_11983.txt,Theme,Land cover analysis using Landsat 8 imagery
10,script_120271.txt,Theme,NDVI calculation and visualization
11,script_120557.txt,Theme,Land cover classification and cloud masking
12,script_125294.txt,Theme,Land cover analysis and image processing
13,script_144864.txt,Theme,Land cover classification and area calculation
14,script_146128.txt,Theme,Land cover classification using Sentinel-2 imagery
15,script_15043.txt,Theme,Land Use Land Cover (LULC) classification using optical and SAR data
16,script_155017.txt,Theme,Land Surface Temperature Analysis
17,script_165234.txt,Theme,Land cover analysis using MODIS data
18,script_173652.txt,Theme,Land cover change analysis using Landsat 8 imagery and LandTrendr algorithm
19,script_174474.txt,Theme,Landsat 5 image processing and analysis for different years
20,script_174747.txt,Theme,Land Surface Temperature Analysis
21,script_179626.txt,Theme,Land Surface Temperature (LST) analysis
22,script_180257.txt,Theme,Land cover analysis using Landsat 7 imagery
23,script_186294.txt,Theme,Land cover classification and NDVI analysis
24,script_186319.txt,Theme,Land cover classification and change detection
25,script_186319.txt,Theme,Forest monitoring and deforestation detection
26,script_186320.txt,Theme,"Phát hiện sớm mất rừng, suy thoái rừng và lửa rừng bằng ảnh Sentinel 2"
27,script_186321.txt,Theme,"Phát hiện sớm mất rừng, suy thoái rừng và lửa rừng ở Sóc Sơn_Hà Nội bằng ảnh vệ tinh Sentinel 2"
28,script_186323.txt,Theme,Land cover classification and change detection
