ID,Script_ID,Entity_Type,Value
1,script_102957.txt,Function,Filtering image collection by spatial bounds
2,script_102957.txt,Function,Filtering image collection by time window
3,script_102957.txt,Function,Masking cloud and cloud shadow
4,script_102957.txt,Function,Converting DN to SR
5,script_102957.txt,Function,Median compositing to convert IC to Image
6,script_10376.txt,Function,Image collection filtering
7,script_10376.txt,Function,Image clipping
8,script_10376.txt,Function,Reflectance conversion
9,script_10376.txt,Function,Image visualization
10,script_10376.txt,Function,Image exporting
11,script_103827.txt,Function,Filtering Sentinel-1 images by date and polarization
12,script_103827.txt,Function,Clipping images to a specific region
13,script_103827.txt,Function,Compositing images
14,script_103827.txt,Function,Visualizing images
15,script_106121.txt,Function,Filtering image collection by cloud percentage and date
16,script_106121.txt,Function,Selecting specific bands from an image
17,script_106121.txt,Function,Reprojecting an image to a different CRS
18,script_106121.txt,Function,Exporting an image to Google Drive
19,script_106121.txt,Function,Visualizing images on a map
20,script_10828.txt,Function,Cloud Masking
21,script_10828.txt,Function,NDVI Calculation
22,script_10828.txt,Function,Linear Interpolation
23,script_10828.txt,Function,Image Collection Filtering
24,script_10828.txt,Function,Region Reduction
25,script_10828.txt,Function,Feature Collection Iteration
26,script_10828.txt,Function,Table Export
27,script_118175.txt,Function,Apply scale factors to image bands
28,script_118175.txt,Function,Mask clouds in Sentinel-2 images
29,script_118175.txt,Function,Calculate NDVI index
30,script_118175.txt,Function,Calculate NDWI index
31,script_118175.txt,Function,Calculate MNDWI index
32,script_118175.txt,Function,Calculate NDSI index
33,script_118175.txt,Function,Calculate EWI index
34,script_118175.txt,Function,Extract ICE band
35,script_118175.txt,Function,Filter image collection by date and cloud cover
36,script_118175.txt,Function,Merge and sort image collections
37,script_118175.txt,Function,Join image collections based on time difference
38,script_118175.txt,Function,Clip images to region of interest
39,script_118175.txt,Function,Reduce image collection to list
40,script_118175.txt,Function,Create mosaic and maximum composite images
41,script_119133.txt,Function,Calculating normalized burn ratio
42,script_119133.txt,Function,Generating training dataset
43,script_119133.txt,Function,Clustering with wekaCascadeKMeans algorithm
44,script_119133.txt,Function,Clustering with wekaKMeans algorithm
45,script_119133.txt,Function,Calculating statistics and visualization
46,script_119133.txt,Function,Applying filter to visualization results
47,script_119133.txt,Function,Masking binary classification
48,script_119133.txt,Function,Multiplying binary and non-binary classifications
49,script_11983.txt,Function,Filtering image collection by bounds
50,script_11983.txt,Function,Masking clouds and shadows
51,script_11983.txt,Function,Calculating NDVI
52,script_11983.txt,Function,Creating yearly composites
53,script_11983.txt,Function,Filtering by date
54,script_11983.txt,Function,Clipping to study area
55,script_11983.txt,Function,Creating image series chart
56,script_11983.txt,Function,Calculating image difference
57,script_11983.txt,Function,Calculating standard anomalies
58,script_120271.txt,Function,Filter image collection by date and cloud percentage
59,script_120271.txt,Function,Calculate NDVI band
60,script_120271.txt,Function,Apply median to image collection
61,script_120271.txt,Function,Clip image to testing area
62,script_120271.txt,Function,Reduce region to calculate percentile
63,script_120271.txt,Function,Draw gradient bar
64,script_120271.txt,Function,Draw frame
65,script_120271.txt,Function,Draw scalebar
66,script_120557.txt,Function,Filtering image collection by region
67,script_120557.txt,Function,Masking cloudy pixels
68,script_120557.txt,Function,Computing QA bits
69,script_120557.txt,Function,Applying decision tree classification
70,script_120557.txt,Function,Calculating frequency of land cover classes
71,script_125294.txt,Function,Cloud masking for Landsat 5 images
72,script_125294.txt,Function,Image collection filtering by date and cloud cover
73,script_125294.txt,Function,Image reduction by percentile
74,script_125294.txt,Function,Image clipping by region
75,script_125294.txt,Function,Image visualization with multiple RGB compositions
76,script_125294.txt,Function,Image export to Drive
77,script_144864.txt,Function,Filtering image collection by cloud cover percentage
78,script_144864.txt,Function,Applying cloud mask to images
79,script_144864.txt,Function,Calculating NDVI index
80,script_144864.txt,Function,Classifying land cover based on NDVI values
81,script_144864.txt,Function,Calculating area of classified land cover
82,script_146128.txt,Function,Filter image collection by date
83,script_146128.txt,Function,Sort images by cloud cover
84,script_146128.txt,Function,Filter images by region of interest
85,script_146128.txt,Function,Merge feature collections
86,script_146128.txt,Function,Create training data
87,script_146128.txt,Function,Train classifier
88,script_146128.txt,Function,Run classification
89,script_15043.txt,Function,Sample regions for training
90,script_15043.txt,Function,Add random column to training dataset
91,script_15043.txt,Function,Split data for training and testing
92,script_15043.txt,Function,Define bands for classification
93,script_15043.txt,Function,Train Random Forest classifier
94,script_15043.txt,Function,Train CART classifier
95,script_15043.txt,Function,Classify imagery
96,script_15043.txt,Function,Compute variable importance
97,script_15043.txt,Function,Display variable importance results
98,script_15043.txt,Function,Get confusion matrices for accuracy assessment
99,script_15043.txt,Function,Visualize classification results
100,script_155017.txt,Function,Filtering image collection by bounds
101,script_155017.txt,Function,Filtering image collection by date
102,script_155017.txt,Function,Clipping images to region
103,script_155017.txt,Function,Scaling land surface temperature
104,script_155017.txt,Function,Reducing regions to mean
105,script_155017.txt,Function,Joining tables by label
106,script_155017.txt,Function,Formatting table for export
107,script_165234.txt,Function,Filtering image collection by year
108,script_165234.txt,Function,Cloud masking
109,script_165234.txt,Function,Scaling image values
110,script_165234.txt,Function,Calculating NDVI
111,script_165234.txt,Function,Adding date to image
112,script_165234.txt,Function,Adding month to image
