Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity
1,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filtering image collection by spatial bounds
2,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filtering image collection by time window
3,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Masking cloud and cloud shadow
4,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Converting DN to SR
5,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Median compositing to convert IC to Image
6,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Image collection filtering
7,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Image clipping
8,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Reflectance conversion
9,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Image visualization
10,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Image exporting
11,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Clipping images to a specific region
12,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Visualizing images
13,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Filtering Sentinel-1 images by date and polarization
14,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Compositing images
15,script_106121.txt,COPERNICUS/S2,ActOn,Filtering image collection by cloud percentage and date
16,script_106121.txt,COPERNICUS/S2,ActOn,Selecting specific bands from an image
17,script_106121.txt,COPERNICUS/S2,ActOn,Reprojecting an image to a different CRS
18,script_106121.txt,COPERNICUS/S2,ActOn,Exporting an image to Google Drive
19,script_106121.txt,COPERNICUS/S2,ActOn,Visualizing images on a map
20,script_10828.txt,MODIS/006/MOD09A1,ActOn,Cloud Masking
21,script_10828.txt,MODIS/006/MOD09A1,ActOn,NDVI Calculation
22,script_10828.txt,MODIS/006/MOD09A1,ActOn,Image Collection Filtering
23,script_10828.txt,users/kongdd/public:Math/pkg_smooth.js,ActOn,Linear Interpolation
24,script_10828.txt,users/kongdd/public:pkg_vis.js,ActOn,Region Reduction
25,script_10828.txt,users/kongdd/public:pkg_vis.js,ActOn,Feature Collection Iteration
26,script_10828.txt,users/kongdd/public:pkg_vis.js,ActOn,Table Export
27,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Apply scale factors to image bands
28,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Apply scale factors to image bands
29,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filter image collection by date and cloud cover
30,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Filter image collection by date and cloud cover
31,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Merge and sort image collections
32,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Merge and sort image collections
33,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Clip images to region of interest
34,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Clip images to region of interest
35,script_118175.txt,COPERNICUS/S2_SR,ActOn,Mask clouds in Sentinel-2 images
36,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate NDVI index
37,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate NDWI index
38,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate MNDWI index
39,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate NDSI index
40,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate EWI index
41,script_118175.txt,COPERNICUS/S2_SR,ActOn,Extract ICE band
42,script_118175.txt,users/gena/packages:utils,ActOn,Join image collections based on time difference
43,script_118175.txt,users/gena/packages:text,ActOn,Join image collections based on time difference
44,script_118175.txt,users/gena/packages:palettes,ActOn,Join image collections based on time difference
45,script_118175.txt,users/gena/packages:utils,ActOn,Reduce image collection to list
46,script_118175.txt,users/gena/packages:text,ActOn,Reduce image collection to list
47,script_118175.txt,users/gena/packages:palettes,ActOn,Reduce image collection to list
48,script_118175.txt,users/gena/packages:utils,ActOn,Create mosaic and maximum composite images
49,script_118175.txt,users/gena/packages:text,ActOn,Create mosaic and maximum composite images
50,script_118175.txt,users/gena/packages:palettes,ActOn,Create mosaic and maximum composite images
51,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Calculating normalized burn ratio
52,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Generating training dataset
53,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Clustering with wekaCascadeKMeans algorithm
54,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Clustering with wekaKMeans algorithm
55,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Calculating statistics and visualization
56,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Applying filter to visualization results
57,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Masking binary classification
58,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Multiplying binary and non-binary classifications
59,script_11983.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Filtering image collection by bounds
