ID,Script_ID,Entity_Type,Value
1,script_102957.txt,Datasource,LANDSAT/LC09/C02/T1_L2
2,script_102957.txt,Datasource,FAO/GAUL_SIMPLIFIED_500m/2015/level2
3,script_10376.txt,Datasource,LANDSAT/LC08/C02/T1_L2
4,script_103827.txt,Datasource,users/hrishippatel/IndiaStates
5,script_103827.txt,Datasource,COPERNICUS/S1_GRD
6,script_106121.txt,Datasource,COPERNICUS/S2
7,script_10828.txt,Datasource,MODIS/006/MOD09A1
8,script_10828.txt,Datasource,users/kongdd/public:Math/pkg_smooth.js
9,script_10828.txt,Datasource,users/kongdd/public:pkg_vis.js
10,script_118175.txt,Datasource,LANDSAT/LC09/C02/T1_L2
11,script_118175.txt,Datasource,LANDSAT/LC08/C02/T1_L2
12,script_118175.txt,Datasource,COPERNICUS/S2_SR
13,script_118175.txt,Datasource,users/gena/packages:utils
14,script_118175.txt,Datasource,users/gena/packages:text
15,script_118175.txt,Datasource,users/gena/packages:palettes
16,script_119133.txt,Datasource,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB
17,script_119133.txt,Datasource,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB
18,script_11983.txt,Datasource,LANDSAT/LC08/C01/T1_SR
19,script_120271.txt,Datasource,COPERNICUS/S2_SR
20,script_120271.txt,Datasource,users/gena/packages:colorbrewer
21,script_120271.txt,Datasource,users/gena/packages:palettes
22,script_120271.txt,Datasource,users/gena/packages:style
23,script_120271.txt,Datasource,users/gena/packages:utils
24,script_120557.txt,Datasource,TIGER/2016/States
25,script_120557.txt,Datasource,LANDSAT/LC08/C01/T1_SR
26,script_125294.txt,Datasource,users/GeoForPy/Tesis/EcorregionAltoParana
27,script_125294.txt,Datasource,LANDSAT/LT05/C01/T1_SR
28,script_144864.txt,Datasource,users/thao226355/share/VietNam_Ranh_gioi_tinh
29,script_144864.txt,Datasource,COPERNICUS/S2_SR
30,script_146128.txt,Datasource,COPERNICUS/S2
31,script_15043.txt,Datasource,users/abuhafsgaa/Makarfi
32,script_15043.txt,Datasource,users/abuhafsgaa/ALLsample
33,script_15043.txt,Datasource,users/abuhafsgaa/DATASET_COMPOSITION_2017_21
34,script_15043.txt,Datasource,users/abuhafsgaa/TEST_SAR_2017_DATASET_BOXCAR
35,script_155017.txt,Datasource,MODIS/006/MOD11A1
36,script_165234.txt,Datasource,MODIS/006/MOD09GA
37,script_165234.txt,Datasource,users/giswqs/public/countries
38,script_173652.txt,Datasource,users/jrmancerafGEE/POL_SUB_AE_1055
39,script_173652.txt,Datasource,users/jrmancerafGEE/PTS_SUB_AE_1055
40,script_173652.txt,Datasource,LANDSAT/LC08/C01/T1_SR
41,script_174474.txt,Datasource,LANDSAT/LT05/C01/T1_SR
42,script_174747.txt,Datasource,users/juanjoseromeroacm21/MORELIA
43,script_174747.txt,Datasource,users/juanjoseromeroacm21/michoacan_state
44,script_174747.txt,Datasource,USDOS/LSIB_SIMPLE/2017
45,script_174747.txt,Datasource,MODIS/MOD11A2
46,script_179626.txt,Datasource,users/KARTIKA_EAA/Semarang
47,script_179626.txt,Datasource,LANDSAT/LC08/C01/T1_SR
48,script_180257.txt,Datasource,users/Katemiller125/Illilouette
49,script_180257.txt,Datasource,LANDSAT/LE07/C02/T1_L2
50,script_180257.txt,Datasource,LANDSAT/LE07/C01/T1_SR
51,script_186294.txt,Datasource,ft:1XPgyHDQHN4d5IF4x8u5ZkJxkVQ_xKWFFuUTi9ofT
52,script_186294.txt,Datasource,COPERNICUS/S2
53,script_186319.txt,Datasource,LANDSAT/LC8_SR
54,script_186319.txt,Datasource,LANDSAT/LC8_L1T_TOA
55,script_186319.txt,Datasource,LANDSAT/LE7_L1T_TOA_FMASK
56,script_186319.txt,Datasource,LANDSAT/LE7_L1T_TOA
57,script_186319.txt,Datasource,COPERNICUS/S2
58,script_186320.txt,Datasource,COPERNICUS/S2
59,script_186320.txt,Datasource,ft:1ovvyN_dzo01mRw8uSNMIYNg-HKyGTrqLErfg26X0
60,script_186321.txt,Datasource,COPERNICUS/S2
61,script_186321.txt,Datasource,ft:1ovvyN_dzo01mRw8uSNMIYNg-HKyGTrqLErfg26X0
62,script_186323.txt,Datasource,LANDSAT/LC8_SR
63,script_186323.txt,Datasource,LANDSAT/LC8_L1T_TOA
64,script_186323.txt,Datasource,LANDSAT/LE7_L1T_TOA_FMASK
65,script_186323.txt,Datasource,LANDSAT/LE7_L1T_TOA
66,script_186323.txt,Datasource,COPERNICUS/S2
67,script_186323.txt,Datasource,ft:1XKfDbVsTtinnWZ5Ki89j8074Zm9k2XFHiATs1XNR
68,script_186325.txt,Datasource,LANDSAT/LC8_SR
69,script_186325.txt,Datasource,LANDSAT/LC8_L1T_TOA
70,script_186325.txt,Datasource,LANDSAT/LE7_L1T_TOA_FMASK
71,script_186325.txt,Datasource,LANDSAT/LE7_L1T_TOA
72,script_186325.txt,Datasource,COPERNICUS/S2
73,script_186325.txt,Datasource,ft:1TFcNAU6zr_9svAb610dlsyqNiiXMLYlFrfP23ZuH
74,script_186326.txt,Datasource,COPERNICUS/S2
75,script_186326.txt,Datasource,ft:1TFcNAU6zr_9svAb610dlsyqNiiXMLYlFrfP23ZuH
76,script_186329.txt,Datasource,LANDSAT/LC8_SR
77,script_186329.txt,Datasource,LANDSAT/LC8_L1T_TOA
78,script_186329.txt,Datasource,LANDSAT/LC08/C01/T1_TOA
79,script_186329.txt,Datasource,LANDSAT/LT5_L1T_TOA_FMASK
80,script_186329.txt,Datasource,LANDSAT/LE7_L1T_TOA_FMASK
81,script_186329.txt,Datasource,LANDSAT/LE7_L1T_TOA
82,script_186329.txt,Datasource,users/khoapv/xatong
83,script_186329.txt,Datasource,ft:1Fp3oWwAiWxh1XyXIc1HYl_eWBP9Uh8froBiiC9CG
84,script_186332.txt,Datasource,MODIS/006/MOD09Q1
85,script_186333.txt,Datasource,MODIS/006/MOD09Q1
86,script_186334.txt,Datasource,MODIS/006/MOD09Q1
87,script_186334.txt,Datasource,users/khoapv/Ranhgioi_DL
88,script_186356.txt,Datasource,COPERNICUS/S1_GRD
89,script_186365.txt,Datasource,LANDSAT/LC08/C01/T1_TOA
90,script_186365.txt,Datasource,LANDSAT/LT5_L1T_TOA
91,script_186378.txt,Datasource,users/khoapv/xatong
92,script_186378.txt,Datasource,COPERNICUS/S1_GRD
93,script_186378.txt,Datasource,LANDSAT/LC08/C01/T1_SR
94,script_186378.txt,Datasource,COPERNICUS/S2
95,script_186380.txt,Datasource,LANDSAT/LC8_L1T_TOA
96,script_186380.txt,Datasource,LANDSAT/LE7_L1T_TOA
97,script_186380.txt,Datasource,ft:1QKw5K7582CuFBKiqDcYEPADrvjHTLAkz3EIxL_TI
98,script_186380.txt,Datasource,ft:1iQ8RECwcWSVF3AkSPVdxgpnENRJc-su6G6c1CZiF
99,script_186418.txt,Datasource,LANDSAT/LC08/C01/T1_32DAY_NDVI
100,script_186418.txt,Datasource,LANDSAT/LC08/C01/T1
101,script_186418.txt,Datasource,LANDSAT/LC8_SR
102,script_186418.txt,Datasource,NCEP_RE/surface_temp
103,script_186418.txt,Datasource,NCEP_RE/surface_wv
104,script_186449.txt,Datasource,LANDSAT/LC08/C01/T1_SR/LC08_118062_20150819
105,script_186466.txt,Datasource,COPERNICUS/S1_GRD
106,script_186466.txt,Datasource,ft:10RV_TKg9w5SMTutAz-XZpGcd2ejYgbQs6IVy2TF7
107,script_186503.txt,Datasource,COPERNICUS/S1_GRD
108,script_186528.txt,Datasource,COPERNICUS/S1_GRD
109,script_186540.txt,Datasource,LANDSAT/LC8_L1T_TOA_FMASK
110,script_186540.txt,Datasource,ft:1XPgyHDQHN4d5IF4x8u5ZkJxkVQ_xKWFFuUTi9ofT
111,script_186548.txt,Datasource,COPERNICUS/S1_GRD
112,script_186548.txt,Datasource,NOAA/CFSV2/FOR6H
113,script_186548.txt,Datasource,users/gena/GlobalHAND/30m/hand-5000
114,script_186562.txt,Datasource,LANDSAT/LC8_SR
115,script_186562.txt,Datasource,LANDSAT/LC8_L1T_TOA
116,script_186562.txt,Datasource,LANDSAT/LE7_L1T_TOA_FMASK
117,script_186562.txt,Datasource,LANDSAT/LT5_L1T_TOA_FMASK
118,script_186562.txt,Datasource,COPERNICUS/S2
119,script_186562.txt,Datasource,ft:1jAZtLqcNzJvkjSwTMe9CGASiWffqNQRuDRynFPAe
120,script_186570.txt,Datasource,LANDSAT/LC8_SR
121,script_186570.txt,Datasource,LANDSAT/LC8_L1T_TOA
122,script_186570.txt,Datasource,LANDSAT/LE7_L1T_TOA_FMASK
123,script_186570.txt,Datasource,LANDSAT/LE7_L1T_TOA
124,script_186570.txt,Datasource,COPERNICUS/S2
125,script_186570.txt,Datasource,ft:1Oaa3b2LdFGrAXL4jqFJzA-3iBeiNq6AQZkyFLVvp
