ID,Script_ID,Entity_Type,Value
1,script_102957.txt,Function,Filtering image collection by area of interest
2,script_102957.txt,Function,Applying clear pixel mask
3,script_102957.txt,Function,Applying cloud and cloud shadow mask
4,script_102957.txt,Function,Converting digital numbers to surface reflectance
5,script_102957.txt,Function,Filtering image collection by time window
6,script_102957.txt,Function,Creating median composite image
7,script_10376.txt,Function,Filtering image collection by date and bounds
8,script_10376.txt,Function,Converting image to reflectance
9,script_10376.txt,Function,Clipping image to extent
10,script_10376.txt,Function,Visualizing image bands
11,script_10376.txt,Function,Exporting images to Drive
12,script_103827.txt,Function,Filtering Sentinel-1 images by date and polarization
13,script_103827.txt,Function,Clipping images to a region
14,script_103827.txt,Function,Compositing images
15,script_103827.txt,Function,Visualizing images
16,script_106121.txt,Function,Filtering image collection by cloud percentage and date
17,script_106121.txt,Function,Selecting specific bands from image
18,script_106121.txt,Function,Reprojecting image to EPSG:4326
19,script_106121.txt,Function,Exporting image to Google Drive
20,script_106121.txt,Function,Visualizing image with Google Map API
21,script_10828.txt,Function,Cloud Masking
22,script_10828.txt,Function,NDVI Calculation
23,script_10828.txt,Function,Linear Interpolation
24,script_10828.txt,Function,Image Collection Filtering
25,script_10828.txt,Function,Region Reduction
26,script_10828.txt,Function,Feature Collection Iteration
27,script_10828.txt,Function,Table Export
28,script_118175.txt,Function,Apply scale factors to image bands
29,script_118175.txt,Function,Mask clouds in Sentinel-2 images
30,script_118175.txt,Function,Calculate NDVI index
31,script_118175.txt,Function,Calculate NDWI index
32,script_118175.txt,Function,Calculate MNDWI index
33,script_118175.txt,Function,Calculate NDSI index
34,script_118175.txt,Function,Calculate EWI index
35,script_118175.txt,Function,Extract ICE band
36,script_118175.txt,Function,Filter image collection by date and cloud cover
37,script_118175.txt,Function,Merge and sort image collections
38,script_118175.txt,Function,Join image collections based on time difference
39,script_118175.txt,Function,Clip images to region of interest
40,script_118175.txt,Function,Reduce image collection to list
41,script_118175.txt,Function,Create mosaic and maximum composite images
42,script_119133.txt,Function,Calculating normalized burn ratio
43,script_119133.txt,Function,Generating training dataset
44,script_119133.txt,Function,Clustering for severity classification
45,script_119133.txt,Function,Clustering for binary classification
46,script_119133.txt,Function,Calculating statistics and visualization
47,script_119133.txt,Function,Applying filter for visualization
48,script_119133.txt,Function,Masking for binary classification
49,script_119133.txt,Function,Multiplying binary and severity classifications
50,script_11983.txt,Function,Filtering image collection by date and bounds
51,script_11983.txt,Function,Masking clouds and shadows
52,script_11983.txt,Function,Calculating NDVI
53,script_11983.txt,Function,Creating yearly composites
54,script_11983.txt,Function,Filtering by date and clipping to study area
55,script_11983.txt,Function,Creating image series chart
56,script_11983.txt,Function,Creating timeseries GIF
57,script_11983.txt,Function,Calculating image differences
58,script_11983.txt,Function,Calculating standard anomalies
59,script_120271.txt,Function,Filtering image collection by date and cloud coverage
60,script_120271.txt,Function,Calculating NDVI band
61,script_120271.txt,Function,Applying median reduction to image collection
62,script_120271.txt,Function,Clipping image to testing area
63,script_120271.txt,Function,Reducing region to percentile values
64,script_120271.txt,Function,Drawing gradient bar
65,script_120271.txt,Function,Drawing frame
66,script_120271.txt,Function,Drawing scale bar
67,script_120557.txt,Function,Filtering image collection by region
68,script_120557.txt,Function,Masking cloudy pixels
69,script_120557.txt,Function,Computing QA bits
70,script_120557.txt,Function,Classifying land cover using decision tree
71,script_120557.txt,Function,Calculating frequency of land cover classes
72,script_125294.txt,Function,Cloud masking for Landsat 5 images
73,script_125294.txt,Function,Image collection filtering by date and cloud cover
74,script_125294.txt,Function,Percentile calculation for image collection
75,script_125294.txt,Function,Image clipping to region of interest
76,script_125294.txt,Function,Image visualization with multiple band combinations
77,script_125294.txt,Function,Image export to Google Drive
78,script_144864.txt,Function,Filtering image collection by cloud cover
