Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity
1,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filtering image collection by area of interest
2,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Applying clear pixel mask
3,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Applying cloud and cloud shadow mask
4,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Converting digital numbers to surface reflectance
5,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Filtering image collection by time window
6,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Creating median composite image
7,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Filtering image collection by date and bounds
8,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Converting image to reflectance
9,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Clipping image to extent
10,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Visualizing image bands
11,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Exporting images to Drive
12,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Clipping images to a region
13,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Visualizing images
14,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Filtering Sentinel-1 images by date and polarization
15,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Compositing images
16,script_106121.txt,COPERNICUS/S2,ActOn,Filtering image collection by cloud percentage and date
17,script_106121.txt,COPERNICUS/S2,ActOn,Selecting specific bands from image
18,script_106121.txt,COPERNICUS/S2,ActOn,Reprojecting image to EPSG:4326
19,script_106121.txt,COPERNICUS/S2,ActOn,Exporting image to Google Drive
20,script_106121.txt,COPERNICUS/S2,ActOn,Visualizing image with Google Map API
21,script_10828.txt,MODIS/006/MOD09A1,ActOn,Cloud Masking
22,script_10828.txt,MODIS/006/MOD09A1,ActOn,NDVI Calculation
23,script_10828.txt,MODIS/006/MOD09A1,ActOn,Image Collection Filtering
24,script_10828.txt,users/kongdd/public:Math/pkg_smooth.js,ActOn,Linear Interpolation
25,script_10828.txt,users/kongdd/public:pkg_vis.js,ActOn,Region Reduction
26,script_10828.txt,users/kongdd/public:pkg_vis.js,ActOn,Feature Collection Iteration
27,script_10828.txt,users/kongdd/public:pkg_vis.js,ActOn,Table Export
28,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Apply scale factors to image bands
29,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Apply scale factors to image bands
30,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filter image collection by date and cloud cover
31,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Filter image collection by date and cloud cover
32,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Merge and sort image collections
33,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Merge and sort image collections
34,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Clip images to region of interest
35,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Clip images to region of interest
36,script_118175.txt,COPERNICUS/S2_SR,ActOn,Mask clouds in Sentinel-2 images
37,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate NDVI index
38,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate NDWI index
39,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate MNDWI index
40,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate NDSI index
41,script_118175.txt,COPERNICUS/S2_SR,ActOn,Calculate EWI index
42,script_118175.txt,COPERNICUS/S2_SR,ActOn,Extract ICE band
43,script_118175.txt,users/gena/packages:utils,ActOn,Join image collections based on time difference
44,script_118175.txt,users/gena/packages:text,ActOn,Join image collections based on time difference
45,script_118175.txt,users/gena/packages:palettes,ActOn,Join image collections based on time difference
46,script_118175.txt,users/gena/packages:utils,ActOn,Reduce image collection to list
47,script_118175.txt,users/gena/packages:text,ActOn,Reduce image collection to list
48,script_118175.txt,users/gena/packages:palettes,ActOn,Reduce image collection to list
49,script_118175.txt,users/gena/packages:utils,ActOn,Create mosaic and maximum composite images
50,script_118175.txt,users/gena/packages:text,ActOn,Create mosaic and maximum composite images
51,script_118175.txt,users/gena/packages:palettes,ActOn,Create mosaic and maximum composite images
52,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Calculating normalized burn ratio
53,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Generating training dataset
54,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Clustering for severity classification
55,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Calculating statistics and visualization
56,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Applying filter for visualization
57,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Multiplying binary and severity classifications
58,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Clustering for binary classification
59,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Masking for binary classification
60,script_11983.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Filtering image collection by date and bounds
61,script_11983.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Masking clouds and shadows
62,script_11983.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Calculating NDVI
