Script_ID,Concept_4,Concept_35,Similarity
script_102957.txt,Clear Pixel Masking,Clear Pixel Masking,1.0
script_102957.txt,Cloud And Cloud Shadow Masking,Cloud And Cloud Shadow Masking,1.0
script_102957.txt,Filter Image Collection By Date And Region,Filter Image Collection By Date And Region,1.0
script_102957.txt,Surface Reflectance Correction,Surface Reflectance Correction,1.0
script_102957.txt,Create Median Composite Of Images,Spatial Analysis,0.0
script_102957.txt,Filter Image Collection By Bounds,Spatial Analysis,0.0
script_102957.txt,Filter Image Collection By Time,Spatial Analysis,0.0
script_10376.txt,Surface Reflectance Correction,Surface Reflectance Correction,1.0
script_10376.txt,Export Processed Images To Drive,Visualization And Output Generation,0.42929470390891133
script_10376.txt,Filter Image Collection By Date And Boundaries,Spatial Analysis,0.0
script_10376.txt,Visualize Images In Different Band Combinations,Spatial Analysis,0.0
script_103827.txt,Generate Image Composites,Creating Monthly Composite,0.7909300922177892
script_103827.txt,Enhancing Image Visualization,Visualize Data Layers,0.42480765933254194
script_103827.txt,Clip Images To A Specific Region,Spatial Analysis,0.0
script_103827.txt,Filter Images By Date,Spatial Analysis,0.0
script_106121.txt,Select Specific Bands From Images,Select Specific Bands From Images,1.0
script_106121.txt,Export Processed Images To Google Drive,Export Composite Image,0.6077271581200774
script_106121.txt,Filter Image Collection By Cloud Coverage,Filter Images By Cloud Cover,0.3854194811514833
script_106121.txt,Display Interactive Map,Spatial Analysis,0.0
script_106121.txt,Image Reprojection,Spatial Analysis,0.0
script_10828.txt,Compute Median Of NDVI,Compute Median Of NDVI,1.0
script_10828.txt,Interpolate Missing Values,Interpolate Missing Values,1.0
script_10828.txt,Image Cloud Masking,Cloud And Snow Masking,0.821964979616698
script_10828.txt,Performs Linear Interpolation,Feature Collection Sampling For Training,0.169048588997855
script_10828.txt,Cloud And Shade Masking,Spatial Analysis,0.0
script_10828.txt,Computes Normalized Difference Vegetation Index (NDVI),Spatial Analysis,0.0
script_10828.txt,Export Results,Spatial Analysis,0.0
script_10828.txt,Filter Feature Collection,Spatial Analysis,0.0
script_10828.txt,Filter Image Collection,Spatial Analysis,0.0
script_10828.txt,Reduction Of Image Regions,Spatial Analysis,0.0
script_110133.txt,Flood Area Calculation,Flood Area Calculation,1.0
script_115907.txt,Add NDVI Band To Images,Add NDVI Band To Images,1.0
script_115907.txt,Data Filtering,Data Filtering,1.0
script_115907.txt,Generate Time Series Charts For NDVI,Generate Time Series Charts For NDVI,1.0
script_115907.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_118175.txt,Apply Scale Factors To Image,Apply Scale Factors To Image,1.0
script_118175.txt,Calculates Normalized Difference Water Index (NDWI),Calculates Normalized Difference Water Index (NDWI),1.0
script_118175.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_118175.txt,Quality Mosaic Generation,Quality Mosaic Generation,1.0
script_118175.txt,Filter Image Collection By Time,Filtering Pixels,0.40735430028322694
script_118175.txt,Calculates Modified Normalized Difference Water Index (MNDWI),Spatial Analysis,0.0
script_118175.txt,Clip Images To A Specific Region,Spatial Analysis,0.0
script_118175.txt,Compute Maximum Values,Spatial Analysis,0.0
script_118175.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_118175.txt,Filter Images By Cloud Cover,Spatial Analysis,0.0
script_118175.txt,Geometric Index Calculation,Spatial Analysis,0.0
script_118175.txt,Image Mosaicking,Spatial Analysis,0.0
script_119133.txt,Compute Difference Between Pre- And Post-Fire NBR,Compute Difference Between Pre- And Post-Fire NBR,1.0
script_119133.txt,Training Data Creation,Training Data Creation,1.0
script_119133.txt,Generate Visualizations And Statistical Charts For Classification Results,Data Visualization,0.5317733083190554
script_119133.txt,Apply Mask To Classification Results,Filtering Training Data,0.0
script_119133.txt,Calculate Difference Normalized Burn Ratio (dNBR),Filter And Visualize,0.0
script_119133.txt,Cluster Analysis,Binary Image Creation,0.0
script_119133.txt,Severity Classification,Spatial Analysis,0.0
script_11983.txt,Anomaly Calculation,Anomaly Calculation,1.0
script_11983.txt,Compute Median Of NDVI,Compute Median Of NDVI,1.0
script_11983.txt,Filter Image Collection,Filter Image Collection,1.0
script_11983.txt,Image Differencing,Image Differencing,1.0
script_11983.txt,Cloud And Shade Masking,Cloud And Cloud Shadow Masking,0.9635516198105758
script_11983.txt,Computes Normalized Difference Vegetation Index (NDVI),Spatial Analysis,0.0
script_11983.txt,Creates Animation Of NDVI Over Time,Spatial Analysis,0.0
script_11983.txt,Filter Image Collection By Date And Boundaries,Spatial Analysis,0.0
script_11983.txt,Generate Image Composites,Spatial Analysis,0.0
script_11983.txt,Generate Time Series Charts,Spatial Analysis,0.0
script_11983.txt,Generate Time Series Charts For NDVI,Spatial Analysis,0.0
script_120271.txt,Add NDVI Band To Images,Add NDVI Band To Images,1.0
script_120271.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_120271.txt,Create Median Composite Of Images,Create Median Composite Of Images,1.0
script_120271.txt,Visualize NDVI Results,Visualize NDVI Results,1.0
script_120271.txt,Calculates Median Of Image Collection,Compute Maximum Values,0.6099634931036131
script_120271.txt,Filter Image Collection By Cloud Coverage,Filter Images By Cloud Cover,0.3854194811514833
script_120271.txt,Gradient Calculation,Generate Visualizations and Charts For Analysis,0.0
script_120271.txt,Image Scaling,Enhancing Image Visualization,0.0
script_120557.txt,Cloud And Shade Masking,Cloud And Cloud Shadow Masking,0.9635516198105758
script_120557.txt,Filter Image Collection By Region,Filter And Process Images For Water Detection,0.3854194811514833
script_120557.txt,Decision Tree Classification,Spatial Analysis,0.0
script_125294.txt,Export Processed Images To Google Drive,Export Processed Images To Google Drive,1.0
script_125294.txt,Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage,1.0
script_125294.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_125294.txt,Visualize Images In Different Band Combinations,Enhancing Image Visualization,0.38536259942904805
script_125294.txt,Clip Images To A Specific Region,Spatial Analysis,0.0
script_125294.txt,Export Processed Images To Drive,Spatial Analysis,0.0
script_125294.txt,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,Spatial Analysis,0.0
script_125294.txt,Reduce Image Collection To Minimum Value,Spatial Analysis,0.0
script_131942.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_131942.txt,Exporting Classified Images,Exporting Classified Images,1.0
