Script_ID,Concept_4,Concept_35,Similarity
script_102957.txt,Filter Image Collection By Date And Region,Filter Image Collection By Date And Region,1.0
script_102957.txt,Cloud And Cloud Shadow Masking,Cloud And Shade Masking,0.9635516198105758
script_102957.txt,Clear Pixel Masking,Image Cloud Masking,0.6195649527291602
script_102957.txt,Create Median Composite Of Images,Conversion Feature Collection,0.0
script_102957.txt,Filter Image Collection By Bounds,Spatial Analysis,0.0
script_102957.txt,Filter Image Collection By Time,Spatial Analysis,0.0
script_102957.txt,Surface Reflectance Correction,Spatial Analysis,0.0
script_10376.txt,Visualize Images In Different Band Combinations,Image Mapping,0.41225654467758216
script_10376.txt,Export Processed Images To Drive,'Visualization And Output Generation',0.0
script_10376.txt,Filter Image Collection By Date And Boundaries,Spatial Analysis,0.0
script_10376.txt,Surface Reflectance Correction,Spatial Analysis,0.0
script_103827.txt,Clip Images To A Specific Region,'Generate Image Composites',0.0
script_103827.txt,Enhancing Image Visualization,'Add A Feature Collection',0.0
script_103827.txt,Filter Images By Date,Spatial Analysis,0.0
script_103827.txt,Generate Image Composites,Spatial Analysis,0.0
script_106121.txt,Image Reprojection,Image Reprojection,1.0
script_106121.txt,Display Interactive Map,'Filter Image Collection By Cloud Coverage',0.0
script_106121.txt,Export Processed Images To Google Drive,'Select Specific Bands From Images',0.0
script_106121.txt,Filter Image Collection By Cloud Coverage,Spatial Analysis,0.0
script_106121.txt,Select Specific Bands From Images,Spatial Analysis,0.0
script_10828.txt,Cloud And Shade Masking,Cloud And Shade Masking,1.0
script_10828.txt,Interpolate Missing Values,Interpolate Missing Values,1.0
script_10828.txt,Computes Normalized Difference Vegetation Index (NDVI),Calculate Spectral Indices And Ratios From Satellite Bands,0.44831813389479624
script_10828.txt,Performs Linear Interpolation,Sample Collection,0.169048588997855
script_10828.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_10828.txt,Export Results,Spatial Analysis,0.0
script_10828.txt,Filter Feature Collection,Spatial Analysis,0.0
script_10828.txt,Filter Image Collection,Spatial Analysis,0.0
script_10828.txt,Image Cloud Masking,Spatial Analysis,0.0
script_10828.txt,Reduction Of Image Regions,Spatial Analysis,0.0
script_110133.txt,Flood Area Calculation,Estimation,0.2622983877847342
script_115907.txt,Add NDVI Band To Images,Add NDVI Band To Images,1.0
script_115907.txt,Generate Time Series Charts For NDVI,Generate Time Series Charts For NDVI,1.0
script_115907.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_115907.txt,Data Filtering,Filter And Process Images For Water Detection,0.5563939101406948
script_118175.txt,Apply Scale Factors To Image,Apply Scale Factors To Image,1.0
script_118175.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_118175.txt,Quality Mosaic Generation,Quality Mosaic Generation,1.0
script_118175.txt,Calculates Modified Normalized Difference Water Index (MNDWI),Calculate Spectral Indices And Ratios From Satellite Bands,0.4703470243636482
script_118175.txt,Geometric Index Calculation,Identify Water And Flood Surfaces Using Indices,0.1961758501855679
script_118175.txt,Calculates Normalized Difference Water Index (NDWI),Spatial Analysis,0.0
script_118175.txt,Clip Images To A Specific Region,Spatial Analysis,0.0
script_118175.txt,Compute Maximum Values,Spatial Analysis,0.0
script_118175.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_118175.txt,Filter Image Collection By Time,Spatial Analysis,0.0
script_118175.txt,Filter Images By Cloud Cover,Spatial Analysis,0.0
script_118175.txt,Image Mosaicking,Spatial Analysis,0.0
script_119133.txt,Cluster Analysis,Cluster Analysis,1.0
script_119133.txt,Training Data Creation,Training Data Creation,1.0
script_119133.txt,Apply Mask To Classification Results,Reclassify,0.565042756352879
script_119133.txt,Severity Classification,Train And Apply Random Forest Classifier,0.352923288666643
script_119133.txt,Calculate Difference Normalized Burn Ratio (dNBR),Statistics Calculation,0.24498558837640158
script_119133.txt,Compute Difference Between Pre- And Post-Fire NBR,Calculate NBR for Pre-Fire Image,0.0
script_119133.txt,Generate Visualizations And Statistical Charts For Classification Results,Spatial Analysis,0.0
script_11983.txt,Anomaly Calculation,Anomaly Calculation,1.0
script_11983.txt,Filter Image Collection,Filter Image Collection,1.0
script_11983.txt,Image Differencing,Image Differencing,1.0
script_11983.txt,Computes Normalized Difference Vegetation Index (NDVI),Image Index Calculation,0.5996951136936705
script_11983.txt,Cloud And Shade Masking,Cloud And Shadow Masking,0.0
script_11983.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_11983.txt,Creates Animation Of NDVI Over Time,Spatial Analysis,0.0
script_11983.txt,Filter Image Collection By Date And Boundaries,Spatial Analysis,0.0
script_11983.txt,Generate Image Composites,Spatial Analysis,0.0
script_11983.txt,Generate Time Series Charts,Spatial Analysis,0.0
script_11983.txt,Generate Time Series Charts For NDVI,Spatial Analysis,0.0
script_120271.txt,Add NDVI Band To Images,Add NDVI Band To Images,1.0
script_120271.txt,Create Median Composite Of Images,Create Median Composite Of Images,1.0
script_120271.txt,Visualize NDVI Results,Visualize NDVI Results,1.0
script_120271.txt,Clip Images To A Specific Region,Clip Images To Specific Geographic Boundaries,0.7817204997538865
script_120271.txt,Calculates Median Of Image Collection,Compute Maximum Values,0.6099634931036131
script_120271.txt,Image Scaling,Add A Legend,0.2320617451681777
script_120271.txt,Filter Image Collection By Cloud Coverage,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.20789082168507475
script_120271.txt,Gradient Calculation,Generate Histograms,0.0
script_120557.txt,Cloud And Shade Masking,Cloud And Shade Masking,1.0
script_120557.txt,Decision Tree Classification,Decision Tree Classification,1.0
script_120557.txt,Filter Image Collection By Region,Spatial Analysis,0.0
script_125294.txt,Export Processed Images To Google Drive,Export Processed Images To Google Drive,1.0
script_125294.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_125294.txt,Filter Image Collection By Cloud Coverage,Generate Image Composites,0.23969151302371655
script_125294.txt,Clip Images To A Specific Region,Filter Image Collection By Date And Cloud Cover,0.0
script_125294.txt,Export Processed Images To Drive,Spatial Analysis,0.0
script_125294.txt,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,Spatial Analysis,0.0
script_125294.txt,Reduce Image Collection To Minimum Value,Spatial Analysis,0.0
script_125294.txt,Visualize Images In Different Band Combinations,Spatial Analysis,0.0
script_131942.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_131942.txt,Image Reprojection,Image Reprojection,1.0
script_131942.txt,Image Cloud Masking,Cloud And Shade Masking,0.821964979616698
script_131942.txt,Exporting Classified Images,Export Processed Images,0.7560078276350019
script_144864.txt,Area Calculation,Area Calculation,1.0
script_144864.txt,Image Cloud Masking,Cloud And Shadow Removal,0.7868994278164562
script_144864.txt,Computes Normalized Difference Vegetation Index (NDVI),Image Band Manipulation,0.37861548033620224
script_144864.txt,Compute Median Of NDVI,Calculate NDVI And Date Information,0.0
script_144864.txt,Filter Image Collection By Cloud Coverage,Spatial Analysis,0.0
script_144864.txt,Land Cover Classification And Mapping,Spatial Analysis,0.0
script_146128.txt,Merge Feature Collections,Merge Feature Collections,1.0
script_146128.txt,Training CART Classifier,Training CART Classifier,1.0
script_146128.txt,Classification,Machine Learning Classification,0.7754393407476801
