Script_ID,Concept_4,Concept_35,Similarity
script_102957.txt,Clear Pixel Masking,Clear Pixel Masking,1.0
script_102957.txt,Cloud And Cloud Shadow Masking,Cloud And Cloud Shadow Masking,1.0
script_102957.txt,Filter Image Collection By Date And Region,Filter Image Collection By Date And Region,1.0
script_102957.txt,Surface Reflectance Correction,Reflectance Value Scaling,0.18437812756451483
script_102957.txt,Create Median Composite Of Images,Spatial Analysis,0.0
script_102957.txt,Filter Image Collection By Bounds,Spatial Analysis,0.0
script_102957.txt,Filter Image Collection By Time,Spatial Analysis,0.0
script_10376.txt,Export Processed Images To Drive,Visualization And Output Generation,0.42929470390891133
script_10376.txt,Surface Reflectance Correction,Reflectance Value Scaling,0.18437812756451483
script_10376.txt,Filter Image Collection By Date And Boundaries,Spatial Analysis,0.0
script_10376.txt,Visualize Images In Different Band Combinations,Spatial Analysis,0.0
script_103827.txt,Enhancing Image Visualization,Add Land Use Layer,0.38536259942904805
script_103827.txt,Clip Images To A Specific Region,Convert Flood Detection Results To Vector Polygons,0.0
script_103827.txt,Filter Images By Date,Spatial Analysis,0.0
script_103827.txt,Generate Image Composites,Spatial Analysis,0.0
script_106121.txt,Image Reprojection,Image Reprojection,1.0
script_106121.txt,Select Specific Bands From Images,Select Specific Bands From Images,1.0
script_106121.txt,Filter Image Collection By Cloud Coverage,Filter Images By Cloud Cover,0.3854194811514833
script_106121.txt,Display Interactive Map,Spatial Analysis,0.0
script_106121.txt,Export Processed Images To Google Drive,Spatial Analysis,0.0
script_10828.txt,Cloud And Shade Masking,Cloud And Shade Masking,1.0
script_10828.txt,Computes Normalized Difference Vegetation Index (NDVI),Computes Normalized Difference Vegetation Index (NDVI),1.0
script_10828.txt,Interpolate Missing Values,Interpolate Missing Values,1.0
script_10828.txt,Performs Linear Interpolation,Feature Importance Extraction,0.18437812756451483
script_10828.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_10828.txt,Export Results,Spatial Analysis,0.0
script_10828.txt,Filter Feature Collection,Spatial Analysis,0.0
script_10828.txt,Filter Image Collection,Spatial Analysis,0.0
script_10828.txt,Image Cloud Masking,Spatial Analysis,0.0
script_10828.txt,Reduction Of Image Regions,Spatial Analysis,0.0
script_110133.txt,Flood Area Calculation,Flood Area Calculation,1.0
script_115907.txt,Add NDVI Band To Images,Add NDVI Band To Images,1.0
script_115907.txt,Data Filtering,Data Filtering,1.0
script_115907.txt,Generate Time Series Charts For NDVI,Generate Time Series Charts For NDVI,1.0
script_115907.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_118175.txt,Quality Mosaic Generation,Quality Mosaic Generation,1.0
script_118175.txt,Apply Scale Factors To Image,Apply Scale Factors To Features,0.8807810012344264
script_118175.txt,Calculates Modified Normalized Difference Water Index (MNDWI),Calculate Normalized Difference Water Body Index (NDWBI),0.7570974819182416
script_118175.txt,Image Mosaicking,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.7271958009120494
script_118175.txt,Image Cloud Masking,Image Segmentation,0.2650076145327703
script_118175.txt,Calculates Normalized Difference Water Index (NDWI),Spatial Analysis,0.0
script_118175.txt,Clip Images To A Specific Region,Spatial Analysis,0.0
script_118175.txt,Compute Maximum Values,Spatial Analysis,0.0
script_118175.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_118175.txt,Filter Image Collection By Time,Spatial Analysis,0.0
script_118175.txt,Filter Images By Cloud Cover,Spatial Analysis,0.0
script_118175.txt,Geometric Index Calculation,Spatial Analysis,0.0
script_119133.txt,Compute Difference Between Pre- And Post-Fire NBR,Compute Difference Between Pre- And Post-Fire NBR,1.0
script_119133.txt,Generate Visualizations And Statistical Charts For Classification Results,Generate Visualizations And Statistical Charts For Classification Results,1.0
script_119133.txt,Training Data Creation,Training Data Creation,1.0
script_119133.txt,Apply Mask To Classification Results,Prepares Images For Classification,0.565042756352879
script_119133.txt,Severity Classification,Machine Learning Model Training,0.369452591643446
script_119133.txt,Calculate Difference Normalized Burn Ratio (dNBR),Filter And Visualize,0.0
script_119133.txt,Cluster Analysis,Spatial Analysis,0.0
script_11983.txt,Anomaly Calculation,Anomaly Calculation,1.0
script_11983.txt,Cloud And Shade Masking,Cloud And Shade Masking,1.0
script_11983.txt,Computes Normalized Difference Vegetation Index (NDVI),Computes Normalized Difference Vegetation Index (NDVI),1.0
script_11983.txt,Filter Image Collection,Filter Image Collection,1.0
script_11983.txt,Image Differencing,Image Differencing,1.0
script_11983.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_11983.txt,Creates Animation Of NDVI Over Time,Spatial Analysis,0.0
script_11983.txt,Filter Image Collection By Date And Boundaries,Spatial Analysis,0.0
script_11983.txt,Generate Image Composites,Spatial Analysis,0.0
script_11983.txt,Generate Time Series Charts,Spatial Analysis,0.0
script_11983.txt,Generate Time Series Charts For NDVI,Spatial Analysis,0.0
script_120271.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_120271.txt,Create Median Composite Of Images,Create Median Composite Of Images,1.0
script_120271.txt,Gradient Calculation,Gradient Calculation,1.0
script_120271.txt,Visualize NDVI Results,Visualize NDVI Results,1.0
script_120271.txt,Calculates Median Of Image Collection,Compute Minimum Values,0.6099634931036131
script_120271.txt,Filter Image Collection By Cloud Coverage,Filter Images By Cloud Cover,0.3854194811514833
script_120271.txt,Add NDVI Band To Images,Calculate Data For Specific Spectral Bands,0.0
script_120271.txt,Image Scaling,Visualization Setup,0.0
script_120557.txt,Cloud And Shade Masking,Cloud And Shade Masking,1.0
script_120557.txt,Decision Tree Classification,Decision Tree Classification,1.0
script_120557.txt,Filter Image Collection By Region,Spatial Analysis,0.0
script_125294.txt,Export Processed Images To Google Drive,Export Processed Images To Google Drive,1.0
script_125294.txt,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,1.0
script_125294.txt,Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage,1.0
script_125294.txt,Reduce Image Collection To Minimum Value,Image Preprocessing,0.608650293873989
script_125294.txt,Clip Images To A Specific Region,Spatial Analysis,0.0
script_125294.txt,Export Processed Images To Drive,Spatial Analysis,0.0
script_125294.txt,Image Cloud Masking,Spatial Analysis,0.0
script_125294.txt,Visualize Images In Different Band Combinations,Spatial Analysis,0.0
