Script_ID,Concept_4,Concept_35,Similarity
script_102957.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_10376.txt,LAND SURFACE,REMOTE SENSING,0.0
script_10376.txt,SATELLITE SOIL MOISTURE INDEX,Earth Science,0.0
script_103827.txt,FLOOD FREQUENCY,FLOODS,0.9254990313103096
script_103827.txt,FLOOD LEVELS,Earth Science,0.0
script_10828.txt,VEGETATION INDEX,VEGETATION INDEX,1.0
script_115907.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),VEGETATION INDEX,0.9522022925216991
script_118175.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_118175.txt,VEGETATION INDEX,VEGETATION INDEX,1.0
script_119133.txt,FIRE WEATHER INDEX,FIRE MANAGEMENT,0.0
script_11983.txt,VEGETATION INDEX,VEGETATION INDEX,1.0
script_11983.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),VEGETATION SPECIES,0.0
script_120271.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),VEGETATION INDEX,0.9522022925216991
script_120557.txt,LAND USE/LAND COVER CLASSIFICATION,VEGETATION INDEX,0.9345423585566951
script_131942.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_144864.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_146128.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_15043.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_155017.txt,LAND SURFACE TEMPERATURE,LAND SURFACE TEMPERATURE,1.0
script_159299.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_165234.txt,VEGETATION INDEX,VEGETATION INDEX,1.0
script_165234.txt,COUNTRY BOUNDARIES,LAND USE/LAND COVER CLASSIFICATION,0.0
script_173652.txt,LAND USE/LAND COVER,LAND USE/LAND COVER,1.0
script_173652.txt,LAND SURFACE/AGRICULTURE INDICATORS,Earth Science,0.0
script_173652.txt,LAND USE/LAND COVER CLASSIFICATION,Earth Science,0.0
script_174376.txt,LAND USE/LAND COVER CLASSIFICATION,LAND RESOURCES,0.6805102010332138
script_174474.txt,SATELLITE SOIL MOISTURE INDEX,LAND/OCEAN/ICE MASK,0.0
script_174747.txt,LAND SURFACE TEMPERATURE,LAND SURFACE TEMPERATURE,1.0
script_176914.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_179626.txt,LAND SURFACE TEMPERATURE,LAND SURFACE TEMPERATURE,1.0
script_186294.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),VEGETATION INDEX,0.9522022925216991
script_186294.txt,LAND USE/LAND COVER CLASSIFICATION,Earth Science,0.0
script_186319.txt,FOREST MENSURATION,LAND USE/LAND COVER CLASSIFICATION,0.0
script_186320.txt,FOREST MENSURATION,VEGETATION INDEX,0.0
script_186321.txt,FOREST MENSURATION,REMOTE SENSING DATA ANALYSIS,0.0
script_186323.txt,FOREST MENSURATION,VEGETATION INDEX,0.0
script_186325.txt,FOREST MENSURATION,LAND USE/LAND COVER,0.0
script_186326.txt,FOREST MENSURATION,VEGETATION INDEX,0.0
script_186329.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_186329.txt,FOREST MENSURATION,FOREST FIRE DANGER INDEX,0.0
script_186332.txt,LAND USE/LAND COVER CLASSIFICATION,CROP CLASSIFICATION,0.0
script_186333.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_186334.txt,SOIL CLASSIFICATION,FIELD CROP PRODUCTS,0.0
script_186338.txt,RADAR BACKSCATTER,RADAR BACKSCATTER,1.0
script_186356.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_186365.txt,SNOW COVER,SNOW/ICE,0.7168325021549387
script_186365.txt,LAND USE/LAND COVER CLASSIFICATION,LAND SURFACE,0.39760134349094806
script_186365.txt,BURNED AREA,FIRE MANAGEMENT,0.27524500303743143
script_186365.txt,SPECTRAL IRRADIANCE,VEGETATION COVER,0.0
script_186365.txt,VEGETATION,WATER QUALITY/WATER CHEMISTRY,0.0
script_186365.txt,VEGETATION INDEX,SPECTRAL/ENGINEERING,0.0
script_186378.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_186418.txt,LAND SURFACE TEMPERATURE,LAND SURFACE TEMPERATURE,1.0
script_186449.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_186466.txt,FOREST MENSURATION,FOREST MANAGEMENT,0.6318685366714172
script_186503.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_186528.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_186540.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),VEGETATION INDEX,0.9522022925216991
script_186540.txt,LAND USE/LAND COVER CLASSIFICATION,CLOUDS,0.0
script_186562.txt,FOREST MENSURATION,LAND USE/LAND COVER,0.0
script_186570.txt,FOREST MENSURATION,LAND USE/LAND COVER,0.0
script_186601.txt,FOREST MENSURATION,LAND USE/LAND COVER,0.0
script_186605.txt,FOREST MENSURATION,LAND SURFACE,0.0
script_186607.txt,FOREST MENSURATION,FOREST MONITORING,0.0
script_186815.txt,FOREST MENSURATION,IMAGE PROCESSING,0.0
script_186822.txt,LAND SURFACE/AGRICULTURE INDICATORS,AGRICULTURE PRODUCTION,0.0
script_186829.txt,FOREST MENSURATION,VEGETATION COVER,0.0
script_186856.txt,CLOUD OPTICAL DEPTH/THICKNESS,CLOUD MICROPHYSICS,0.7961589110597984
script_186856.txt,MESOSPHERIC CLOUDS (OBSERVED/ANALYZED),Earth Science,0.0
script_186886.txt,FOREST MENSURATION,VEGETATION INDEX,0.0
script_186888.txt,VEGETATION INDEX,VEGETATION INDEX,1.0
script_186892.txt,FOREST MENSURATION,LAND SURFACE/AGRICULTURE INDICATORS,0.0
script_186914.txt,FLOOD LEVELS,FLOODS,0.9254990313103096
