Script_ID,Concept_4,Concept_35,Similarity
script_102957.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_10376.txt,SATELLITE SOIL MOISTURE INDEX,SATELLITE SOIL MOISTURE INDEX,1.0
script_10376.txt,LAND SURFACE,Earth Science,0.0
script_103827.txt,FLOOD LEVELS,FLOOD LEVELS,1.0
script_103827.txt,FLOOD FREQUENCY,Earth Science,0.0
script_10828.txt,VEGETATION INDEX,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.9522022925216991
script_115907.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),1.0
script_118175.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_118175.txt,VEGETATION INDEX,VEGETATION INDEX,1.0
script_119133.txt,FIRE WEATHER INDEX,FIRE WEATHER INDEX,1.0
script_11983.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),1.0
script_11983.txt,VEGETATION INDEX,VEGETATION INDEX,1.0
script_120271.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),1.0
script_120557.txt,LAND USE/LAND COVER CLASSIFICATION,VEGETATION INDEX,0.9345423585566951
script_131942.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_144864.txt,LAND USE/LAND COVER CLASSIFICATION,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.887097890752496
script_146128.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_15043.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_155017.txt,LAND SURFACE TEMPERATURE,LAND SURFACE TEMPERATURE,1.0
script_159299.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_165234.txt,VEGETATION INDEX,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.9522022925216991
script_165234.txt,COUNTRY BOUNDARIES,GREEN INFRASTRUCTURE,0.27524500303743143
script_173652.txt,LAND SURFACE/AGRICULTURE INDICATORS,LAND SURFACE/AGRICULTURE INDICATORS,1.0
script_173652.txt,LAND USE/LAND COVER,Earth Science,0.0
script_173652.txt,LAND USE/LAND COVER CLASSIFICATION,Earth Science,0.0
script_174376.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_174474.txt,SATELLITE SOIL MOISTURE INDEX,SATELLITE SOIL MOISTURE INDEX,1.0
script_174747.txt,LAND SURFACE TEMPERATURE,LAND SURFACE TEMPERATURE,1.0
script_176914.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_179626.txt,LAND SURFACE TEMPERATURE,LAND SURFACE TEMPERATURE,1.0
script_186294.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),1.0
script_186294.txt,LAND USE/LAND COVER CLASSIFICATION,Earth Science,0.0
script_186319.txt,FOREST MENSURATION,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.0
script_186320.txt,FOREST MENSURATION,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.0
script_186321.txt,FOREST MENSURATION,RADAR IMAGERY,0.0
script_186323.txt,FOREST MENSURATION,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.0
script_186325.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186326.txt,FOREST MENSURATION,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.0
script_186329.txt,LAND USE/LAND COVER CLASSIFICATION,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.887097890752496
script_186329.txt,FOREST MENSURATION,FLUVIAL PROCESSES,0.0
script_186332.txt,LAND USE/LAND COVER CLASSIFICATION,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.887097890752496
script_186333.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_186334.txt,SOIL CLASSIFICATION,SOIL CLASSIFICATION,1.0
script_186338.txt,RADAR BACKSCATTER,RADAR BACKSCATTER,1.0
script_186356.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_186365.txt,SPECTRAL IRRADIANCE,SPECTRAL IRRADIANCE,1.0
script_186365.txt,VEGETATION INDEX,VEGETATION INDEX,1.0
script_186365.txt,SNOW COVER,SNOW STRATIGRAPHY,0.5586429701179152
script_186365.txt,BURNED AREA,VECTOR-BORN DISEASES,0.2583350030364185
script_186365.txt,LAND USE/LAND COVER CLASSIFICATION,WATER QUALITY/WATER CHEMISTRY,0.0
