Script_ID,Concept_4,Concept_35,Similarity
script_102957.txt,LAND USE/LAND COVER CLASSIFICATION,RADAR IMAGERY,0.0
script_10376.txt,LAND SURFACE,LANDFALL INTENSITY,0.0
script_10376.txt,SATELLITE SOIL MOISTURE INDEX,Earth Science,0.0
script_103827.txt,FLOOD LEVELS,FLOOD LEVELS,1.0
script_103827.txt,FLOOD FREQUENCY,Earth Science,0.0
script_10828.txt,VEGETATION INDEX,INFILTRATION RATE,0.0
script_115907.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),1.0
script_118175.txt,VEGETATION INDEX,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.9522022925216991
script_118175.txt,LAND USE/LAND COVER CLASSIFICATION,CLOUD CEILING,0.0
script_119133.txt,FIRE WEATHER INDEX,BRIGHTNESS TEMPERATURE,0.0
script_11983.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),1.0
script_11983.txt,VEGETATION INDEX,STRATIGRAPHIC SEQUENCE,0.0
script_120271.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),1.0
script_120557.txt,LAND USE/LAND COVER CLASSIFICATION,CLOUD CEILING,0.0
script_131942.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_144864.txt,LAND USE/LAND COVER CLASSIFICATION,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.887097890752496
script_146128.txt,LAND USE/LAND COVER CLASSIFICATION,SOIL INFILTRATION,0.24812885474901297
script_15043.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_155017.txt,LAND SURFACE TEMPERATURE,LAND SURFACE TEMPERATURE,1.0
script_159299.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_165234.txt,VEGETATION INDEX,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.9522022925216991
script_165234.txt,COUNTRY BOUNDARIES,GREEN INFRASTRUCTURE,0.27524500303743143
script_173652.txt,LAND USE/LAND COVER,LAND USE/LAND COVER,1.0
script_173652.txt,LAND SURFACE/AGRICULTURE INDICATORS,CLOUD CEILING,0.0
script_173652.txt,LAND USE/LAND COVER CLASSIFICATION,RADAR IMAGERY,0.0
script_174376.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_174474.txt,SATELLITE SOIL MOISTURE INDEX,RADAR IMAGERY,0.0
script_174747.txt,LAND SURFACE TEMPERATURE,AMBIENT TEMPERATURE,0.0
script_176914.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_179626.txt,LAND SURFACE TEMPERATURE,LAND SURFACE TEMPERATURE,1.0
script_186294.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),1.0
script_186294.txt,LAND USE/LAND COVER CLASSIFICATION,Earth Science,0.0
script_186319.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186320.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186321.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186323.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186325.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186326.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186329.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186329.txt,LAND USE/LAND COVER CLASSIFICATION,DEFORESTATION,0.0
script_186332.txt,LAND USE/LAND COVER CLASSIFICATION,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.887097890752496
script_186333.txt,LAND USE/LAND COVER CLASSIFICATION,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.887097890752496
script_186334.txt,SOIL CLASSIFICATION,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.22011458368268186
script_186338.txt,RADAR BACKSCATTER,TERRAIN ELEVATION,0.0
script_186356.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_186365.txt,BURNED AREA,BURNED AREA,1.0
script_186365.txt,SPECTRAL IRRADIANCE,SPECTRAL IRRADIANCE,1.0
script_186365.txt,VEGETATION,VEGETATION,1.0
script_186365.txt,SNOW COVER,SNOW CLASSIFICATION,0.5586429701179152
script_186365.txt,LAND USE/LAND COVER CLASSIFICATION,WATER CHARACTERISTICS,0.0
script_186365.txt,VEGETATION INDEX,SENSOR CHARACTERISTICS,0.0
script_186378.txt,LAND USE/LAND COVER CLASSIFICATION,RADAR BACKSCATTER,0.0
script_186418.txt,LAND SURFACE TEMPERATURE,LAND SURFACE TEMPERATURE,1.0
script_186449.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_186466.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186503.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_186528.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_186540.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),1.0
script_186540.txt,LAND USE/LAND COVER CLASSIFICATION,Earth Science,0.0
script_186562.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186570.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186601.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186605.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186607.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186815.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186822.txt,LAND SURFACE/AGRICULTURE INDICATORS,AGRICULTURE PRODUCTION,0.0
script_186829.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186856.txt,MESOSPHERIC CLOUDS (OBSERVED/ANALYZED),CLOUD CEILING,0.4183339782611256
script_186856.txt,CLOUD OPTICAL DEPTH/THICKNESS,LIGHT TRANSMISSION,0.0
script_186886.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186888.txt,VEGETATION INDEX,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.9522022925216991
script_186892.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_186914.txt,FLOOD LEVELS,FLOOD LEVELS,1.0
script_186915.txt,FLOOD LEVELS,FLOOD LEVELS,1.0
script_186915.txt,FLOOD FREQUENCY,Earth Science,0.0
script_187038.txt,MESOSPHERIC CLOUDS (OBSERVED/ANALYZED),CLOUD OPTICAL DEPTH/THICKNESS,0.4183339782611256
script_187038.txt,LAND USE/LAND COVER CLASSIFICATION,WATER CHARACTERISTICS,0.0
script_187125.txt,WATER CHARACTERISTICS,WATER CHARACTERISTICS,1.0
script_187131.txt,FIRE MANAGEMENT,FIRE WEATHER INDEX,0.0
script_187137.txt,LAND SURFACE TEMPERATURE,LAND SURFACE TEMPERATURE,1.0
script_187138.txt,FOREST MENSURATION,TREE LINE SHIFT,0.0
script_187226.txt,FOREST MENSURATION,CLOUD OPTICAL DEPTH/THICKNESS,0.0
script_187248.txt,LAND SURFACE TEMPERATURE,LAND SURFACE TEMPERATURE,1.0
script_187481.txt,FLOOD LEVELS,FLOODING,0.0
script_187523.txt,FLOOD FREQUENCY,FLOODING,0.0
script_187523.txt,FLOOD LEVELS,Earth Science,0.0
script_187528.txt,FLOOD LEVELS,FLOOD FREQUENCY,0.8613291735222143
script_187532.txt,FLOOD LEVELS,FLOOD FREQUENCY,0.8613291735222143
script_187532.txt,RADAR BACKSCATTER,Earth Science,0.0
script_187533.txt,FLOOD LEVELS,FLOOD FREQUENCY,0.8613291735222143
script_187534.txt,FLOOD LEVELS,FLOOD FREQUENCY,0.8613291735222143
script_187535.txt,FLOOD LEVELS,FLOOD FREQUENCY,0.8613291735222143
script_187582.txt,LAND USE/LAND COVER CLASSIFICATION,VEGETATION INDEX,0.9345423585566951
script_187585.txt,VEGETATION INDEX,ENVIRONMENTAL VULNERABILITY INDEX (EVI),0.0
script_187586.txt,VEGETATION INDEX,ENVIRONMENTAL VULNERABILITY INDEX (EVI),0.0
script_187587.txt,VEGETATION INDEX,ENVIRONMENTAL VULNERABILITY INDEX (EVI),0.0
script_187738.txt,SOIL CLASSIFICATION,SOIL CLASSIFICATION,1.0
script_187738.txt,LAND SURFACE/AGRICULTURE INDICATORS,INFRARED IMAGERY,0.0
script_187749.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),1.0
script_187821.txt,FIRE MANAGEMENT,FIRE MANAGEMENT,1.0
script_187825.txt,FIRE MANAGEMENT,FIRE MANAGEMENT,1.0
script_187888.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),1.0
script_187888.txt,LAND SURFACE/AGRICULTURE INDICATORS,CLOUD CEILING,0.0
script_187895.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_188011.txt,LAND SURFACE TEMPERATURE,LAND SURFACE TEMPERATURE,1.0
script_188052.txt,WATER CHARACTERISTICS,WATER IMPOUNDMENT,0.0
script_188116.txt,LAND USE/LAND COVER CLASSIFICATION,FOREST MENSURATION,0.0
script_188147.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_188147.txt,FOREST COMPOSITION/VEGETATION STRUCTURE,LAND USE/LAND COVER,0.0
script_188163.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_188190.txt,FOREST MENSURATION,FOREST MENSURATION,1.0
script_188200.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER,0.809885236774905
script_188217.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER CLASSIFICATION,1.0
script_188217.txt,LAND USE/LAND COVER,URBANIZATION/URBAN SPRAWL,0.0
script_188378.txt,LAND USE/LAND COVER CLASSIFICATION,SOIL CLASSIFICATION,0.24812885474901297
script_188386.txt,LAND USE/LAND COVER CLASSIFICATION,LAND USE/LAND COVER,0.809885236774905
script_188389.txt,LAND USE/LAND COVER CLASSIFICATION,SOIL CLASSIFICATION,0.24812885474901297
script_188397.txt,WILDFIRES,BURNED AREA,0.9083960250738369
script_188400.txt,AIR QUALITY,OXYGEN ISOTOPE ANALYSIS,0.0
script_188412.txt,LAND SURFACE TEMPERATURE,LAND SURFACE TEMPERATURE,1.0
