Script_ID,Concept_4,Concept_35,Similarity
script_102957.txt,Clear Pixel Masking,Clear Pixel Masking,1.0
script_102957.txt,Cloud And Cloud Shadow Masking,Cloud And Cloud Shadow Masking,1.0
script_102957.txt,Create Median Composite Of Images,Create Median Composite Of Images,1.0
script_102957.txt,Filter Image Collection By Bounds,Filter Image Collection By Bounds,1.0
script_102957.txt,Filter Image Collection By Time,Filter Image Collection By Time,1.0
script_102957.txt,Filter Image Collection By Date And Region,Unit Conversion For Daily Averages,0.20789082168507475
script_102957.txt,Surface Reflectance Correction,Spatial Analysis,0.0
script_10376.txt,Export Processed Images To Drive,Export Processed Images To Drive,1.0
script_10376.txt,Filter Image Collection By Date And Boundaries,Filter Image Collection By Date And Boundaries,1.0
script_10376.txt,Surface Reflectance Correction,Surface Reflectance Correction,1.0
script_10376.txt,Visualize Images In Different Band Combinations,Visualize Images In Different Band Combinations,1.0
script_103827.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_103827.txt,Enhancing Image Visualization,Enhancing Image Visualization,1.0
script_103827.txt,Filter Images By Date,Filter Images By Date,1.0
script_103827.txt,Generate Image Composites,Generate Image Composites,1.0
script_106121.txt,Export Processed Images To Google Drive,Export Processed Images To Google Drive,1.0
script_106121.txt,Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage,1.0
script_106121.txt,Image Reprojection,Image Reprojection,1.0
script_106121.txt,Select Specific Bands From Images,Select Specific Bands From Images,1.0
script_106121.txt,Display Interactive Map,Enhancing Image Visualization,0.41170626838776514
script_10828.txt,Compute Median Of NDVI,Compute Median Of NDVI,1.0
script_10828.txt,Export Results,Export Results,1.0
script_10828.txt,Filter Feature Collection,Filter Feature Collection,1.0
script_10828.txt,Filter Image Collection,Filter Image Collection,1.0
script_10828.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_10828.txt,Reduction Of Image Regions,Reduction Of Image Regions,1.0
script_10828.txt,Interpolate Missing Values,Interpolation,0.8174710689652901
script_10828.txt,Cloud And Shade Masking,Spatial Analysis,0.0
script_10828.txt,Computes Normalized Difference Vegetation Index (NDVI),Spatial Analysis,0.0
script_10828.txt,Performs Linear Interpolation,Spatial Analysis,0.0
script_118175.txt,Apply Scale Factors To Image,Apply Scale Factors To Image,1.0
script_118175.txt,Calculates Modified Normalized Difference Water Index (MNDWI),Calculates Modified Normalized Difference Water Index (MNDWI),1.0
script_118175.txt,Calculates Normalized Difference Water Index (NDWI),Calculates Normalized Difference Water Index (NDWI),1.0
script_118175.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_118175.txt,Compute Maximum Values,Compute Maximum Values,1.0
script_118175.txt,Compute Median Of NDVI,Compute Median Of NDVI,1.0
script_118175.txt,Filter Image Collection By Time,Filter Image Collection By Time,1.0
script_118175.txt,Filter Images By Cloud Cover,Filter Images By Cloud Cover,1.0
script_118175.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_118175.txt,Image Mosaicking,Image Mosaicking,1.0
script_118175.txt,Geometric Index Calculation,"Calculate Other Vegetation Indices/index (SAVI, EVI)",0.0
script_118175.txt,Quality Mosaic Generation,Spatial Analysis,0.0
script_119133.txt,Apply Mask To Classification Results,Apply Mask To Classification Results,1.0
script_119133.txt,Calculate Difference Normalized Burn Ratio (dNBR),Calculate Difference Normalized Burn Ratio (dNBR),1.0
script_119133.txt,Cluster Analysis,Cluster Analysis,1.0
script_119133.txt,Generate Visualizations And Statistical Charts For Classification Results,Generate Visualizations And Statistical Charts For Classification Results,1.0
script_119133.txt,Severity Classification,Severity Classification,1.0
script_119133.txt,Training Data Creation,Training Data Creation,1.0
script_119133.txt,Compute Difference Between Pre- And Post-Fire NBR,Spatial Analysis,0.0
script_11983.txt,Anomaly Calculation,Anomaly Calculation,1.0
script_11983.txt,Cloud And Shade Masking,Cloud And Shade Masking,1.0
script_11983.txt,Compute Median Of NDVI,Compute Median Of NDVI,1.0
script_11983.txt,Filter Image Collection By Date And Boundaries,Filter Image Collection By Date And Boundaries,1.0
script_11983.txt,Generate Image Composites,Generate Image Composites,1.0
script_11983.txt,Generate Time Series Charts For NDVI,Generate Time Series Charts For NDVI,1.0
script_11983.txt,Image Differencing,Difference Calculation,0.9207623817674213
script_11983.txt,Filter Image Collection,Binary Image Creation,0.25989196961914307
script_11983.txt,Computes Normalized Difference Vegetation Index (NDVI),Spatial Analysis,0.0
script_11983.txt,Creates Animation Of NDVI Over Time,Spatial Analysis,0.0
script_11983.txt,Generate Time Series Charts,Spatial Analysis,0.0
script_120271.txt,Add NDVI Band To Images,Add NDVI Band To Images,1.0
script_120271.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_120271.txt,Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage,1.0
script_120271.txt,Gradient Calculation,Gradient Calculation,1.0
script_120271.txt,Image Scaling,Reduction Of Image Collection,0.46544425978441595
script_120271.txt,Visualize NDVI Results,Generating Histograms,0.41100141823000563
script_120271.txt,Calculates Median Of Image Collection,Scaling Image Values,0.1757427044267457
script_120271.txt,Create Median Composite Of Images,Spatial Analysis,0.0
script_120557.txt,Filter Image Collection By Region,Filter Image Collection By Region,1.0
script_120557.txt,Cloud And Shade Masking,Image Cloud Masking,0.821964979616698
script_120557.txt,Decision Tree Classification,Training And Sampling For Land Cover Classification,0.538578753509965
script_125294.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_125294.txt,Export Processed Images To Drive,Export Processed Images To Drive,1.0
script_125294.txt,Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage,1.0
script_125294.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_125294.txt,Visualize Images In Different Band Combinations,Visualize Images In Different Band Combinations,1.0
script_125294.txt,Export Processed Images To Google Drive,Calculates Mean Of Image Collection,0.0
script_125294.txt,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,Spatial Analysis,0.0
script_125294.txt,Reduce Image Collection To Minimum Value,Spatial Analysis,0.0
script_144864.txt,Area Calculation,Area Calculation,1.0
script_144864.txt,Compute Median Of NDVI,Compute Median Of NDVI,1.0
script_144864.txt,Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage,1.0
script_144864.txt,Image Cloud Masking,Image Cloud Masking,1.0
