Script_ID,Concept_4,Concept_35,Similarity
script_102957.txt,Clear Pixel Masking,Clear Pixel Masking,1.0
script_102957.txt,Filter Image Collection By Bounds,Filter Image Collection By Bounds,1.0
script_102957.txt,Filter Image Collection By Time,Filter Image Collection By Time,1.0
script_102957.txt,Surface Reflectance Correction,Image Correction,0.6895064005773852
script_102957.txt,Filter Image Collection By Date And Region,Image Mosaicking,0.2680288873311685
script_102957.txt,Cloud And Cloud Shadow Masking,Cloud Masking,0.0
script_102957.txt,Create Median Composite Of Images,Spatial Analysis,0.0
script_10376.txt,Export Processed Images To Drive,Export Processed Images To Drive,1.0
script_10376.txt,Filter Image Collection By Date And Boundaries,Filter Image Collection By Date And Boundaries,1.0
script_10376.txt,Surface Reflectance Correction,Reflectance Value Scaling,0.18437812756451483
script_10376.txt,Visualize Images In Different Band Combinations,Image Band Manipulation,0.0
script_103827.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_103827.txt,Enhancing Image Visualization,Data Visualization,0.5832746905033623
script_103827.txt,Generate Image Composites,Image Mosaicking,0.3013825953942841
script_103827.txt,Filter Images By Date,Filter Image Collection By Date And Polarization,0.0
script_106121.txt,Display Interactive Map,Display Interactive Map,1.0
script_106121.txt,Export Processed Images To Google Drive,Export Processed Images To Google Drive,1.0
script_106121.txt,Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage,1.0
script_106121.txt,Select Specific Bands From Images,Select Specific Bands From Images,1.0
script_106121.txt,Image Reprojection,Projection,0.9043859459422203
script_10828.txt,Filter Feature Collection,Filter Feature Collection,1.0
script_10828.txt,Filter Image Collection,Filter Image Collection,1.0
script_10828.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_10828.txt,Performs Linear Interpolation,Performs Linear Interpolation,1.0
script_10828.txt,Reduction Of Image Regions,Reduction Of Image Regions,1.0
script_10828.txt,Export Results,Export Processed Data,0.8384630149944787
script_10828.txt,Computes Normalized Difference Vegetation Index (NDVI),Vegetation Indices/Index Calculation,0.7363156700282654
script_10828.txt,Cloud And Shade Masking,Spatial Analysis,0.0
script_10828.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_10828.txt,Interpolate Missing Values,Spatial Analysis,0.0
script_118175.txt,Apply Scale Factors To Image,Apply Scale Factors To Image,1.0
script_118175.txt,Calculates Modified Normalized Difference Water Index (MNDWI),Calculates Modified Normalized Difference Water Index (MNDWI),1.0
script_118175.txt,Calculates Normalized Difference Water Index (NDWI),Calculates Normalized Difference Water Index (NDWI),1.0
script_118175.txt,Image Mosaicking,Image Mosaicking,1.0
script_118175.txt,Clip Images To A Specific Region,Spatial Clipping,0.8938046873955124
script_118175.txt,Compute Maximum Values,"Maximum, Minimum And Mean Statistical Analysis",0.7804395498147776
script_118175.txt,Filter Image Collection By Time,Cloud Filtering,0.40735430028322694
script_118175.txt,Compute Median Of NDVI,Vegetation Indices/Index Calculation,0.0
script_118175.txt,Filter Images By Cloud Cover,Water Indices/Index Calculation,0.0
script_118175.txt,Geometric Index Calculation,Spectral Index Computation,0.0
script_118175.txt,Image Cloud Masking,Filter Image Collection By Date And Cloud Cover,0.0
script_118175.txt,Quality Mosaic Generation,Temporal Collection Creation,0.0
script_119133.txt,Cluster Analysis,Cluster Analysis,1.0
script_119133.txt,Training Data Creation,Data Preparation For Training,0.7511202029620554
script_119133.txt,Apply Mask To Classification Results,Classification,0.7220796416701547
script_119133.txt,Severity Classification,Correct Classification Results Using Specified Conditions,0.538578753509965
script_119133.txt,Generate Visualizations And Statistical Charts For Classification Results,Display Classified Image and Indices,0.36218746827864734
script_119133.txt,Calculate Difference Normalized Burn Ratio (dNBR),Index Calculation,0.0
script_119133.txt,Compute Difference Between Pre- And Post-Fire NBR,Spatial Analysis,0.0
script_11983.txt,Anomaly Calculation,Anomaly Calculation,1.0
script_11983.txt,Filter Image Collection By Date And Boundaries,Filter Image Collection By Date And Boundaries,1.0
script_11983.txt,Generate Time Series Charts For NDVI,Generate Time Series Charts For NDVI,1.0
script_11983.txt,Image Differencing,Image Differencing,1.0
script_11983.txt,Computes Normalized Difference Vegetation Index (NDVI),Vegetation Indices/Index Calculation,0.7363156700282654
script_11983.txt,Cloud And Shade Masking,Image Masking,0.5874868083914289
script_11983.txt,Generate Time Series Charts,Visualization And Output Generation,0.49415414183416023
script_11983.txt,Filter Image Collection,Image Mosaicking,0.3340275546922948
script_11983.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_11983.txt,Creates Animation Of NDVI Over Time,Spatial Analysis,0.0
script_11983.txt,Generate Image Composites,Spatial Analysis,0.0
script_120271.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_120271.txt,Gradient Calculation,Gradient Calculation,1.0
script_120271.txt,Image Scaling,Reduction Of Image Collection,0.46544425978441595
script_120271.txt,Add NDVI Band To Images,Vegetation Indices/Index Calculation,0.3791229426708398
script_120271.txt,Calculates Median Of Image Collection,Buffer Creation,0.1987506885066105
script_120271.txt,Create Median Composite Of Images,Filter Image Collection By Date And Cloud Coverage,0.0
script_120271.txt,Filter Image Collection By Cloud Coverage,Spatial Analysis,0.0
script_120271.txt,Visualize NDVI Results,Spatial Analysis,0.0
script_120557.txt,Filter Image Collection By Region,Filter Image Collection By Region,1.0
script_120557.txt,Decision Tree Classification,Classification And Machine Learning,0.52171958546809
script_120557.txt,Cloud And Shade Masking,Quality Filtering,0.2205321420798927
script_125294.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_125294.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_125294.txt,Visualize Images In Different Band Combinations,Visualize Images In Different Band Combinations,1.0
script_125294.txt,Export Processed Images To Drive,Export Processed Data To Drive,0.2733133357207549
script_125294.txt,Export Processed Images To Google Drive,Filter Image Collection By Date And Cloud Cover,0.0
script_125294.txt,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,Statistics Calculation,0.0
script_125294.txt,Filter Image Collection By Cloud Coverage,Spatial Analysis,0.0
script_125294.txt,Reduce Image Collection To Minimum Value,Spatial Analysis,0.0
script_144864.txt,Area Calculation,Area Calculation,1.0
script_144864.txt,Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage,1.0
script_144864.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_144864.txt,Computes Normalized Difference Vegetation Index (NDVI),Vegetation Indices/Index Calculation,0.7363156700282654
script_144864.txt,Land Cover Classification And Mapping,Classification And Machine Learning,0.5586689688407188
script_144864.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_146128.txt,Classification,Classification,1.0
script_146128.txt,Filter Image Collection By Date,Filter Image Collection By Date,1.0
script_146128.txt,Sort Image Collections By Cloud Cover,Sort Image Collections By Cloud Cover,1.0
script_146128.txt,Training Data Creation,Data Preparation For Training,0.7511202029620554
script_146128.txt,Trains And Applies Classifier,Classification And Machine Learning,0.6498201033088051
script_146128.txt,Merge Feature Collections,Data Fusion,0.5914084493786795
script_146128.txt,Filter Images By Region,Area Of Interest Selection,0.2320617451681777
script_146128.txt,Training CART Classifier,Spatial Analysis,0.0
script_15043.txt,Feature Importance Analysis,Feature Importance Analysis,1.0
script_15043.txt,Generating Confusion Matrix,Generating Confusion Matrix,1.0
script_15043.txt,Visualize NDVI Results,Data Visualization,0.6099240309528215
script_15043.txt,Split Data Into Training And Testing Sets,Classification And Machine Learning,0.5586689688407188
script_15043.txt,Train And Apply Random Forest Classifier,Classification,0.4660644552730835
script_15043.txt,Training CART Classifier,Validation Data,0.40297288980657503
script_15043.txt,Accuracy Assessment,Select Data,0.0
script_15043.txt,Feature Importance Calculation,Add Variables To Imagery,0.0
script_15043.txt,Generate Visualizations And Statistical Charts For Classification Results,Spatial Analysis,0.0
script_15043.txt,Sampling Regions For Training Data,Spatial Analysis,0.0
script_155017.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_155017.txt,Filter Image Collection By Bounds,Filter Image Collection By Bounds,1.0
script_155017.txt,Filter Image Collection By Date,Filter Image Collection By Date,1.0
script_155017.txt,Reduction Of Image Regions,Reduction Of Image Regions,1.0
script_155017.txt,Export Time Series Data,Export Processed Data,0.6967742714555208
script_155017.txt,Convert And Format Spatial Data For Export,Temperature Calculation,0.0
script_155017.txt,Derive Land Surface Temperature Using Thermal Properties,Data Fusion,0.0
script_165234.txt,Add Date Information To Images,Add Date Information To Images,1.0
script_165234.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_165234.txt,Quality Mosaic Generation,Quality Mosaic Generation,1.0
script_165234.txt,Vegetation Indices/Index Calculation,Vegetation Indices/Index Calculation,1.0
script_165234.txt,Filter Image Collection By Year,Filter Image Collection By Time,0.8965288533804582
script_165234.txt,Scaling Image Values,Reflectance Value Scaling,0.786960373444224
script_165234.txt,Add Date Bands To Images,'Visualize NDVI Results',0.0
script_165234.txt,Cloud And Shade Masking,Spatial Analysis,0.0
script_165234.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_165234.txt,Computes Normalized Difference Vegetation Index (NDVI),Spatial Analysis,0.0
script_165234.txt,Creating Monthly Composite,Spatial Analysis,0.0
script_165234.txt,Filter Images By Month,Spatial Analysis,0.0
script_165234.txt,Filtering Pixels,Spatial Analysis,0.0
script_165234.txt,Visualize NDVI Results,Spatial Analysis,0.0
script_173652.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_173652.txt,Export Processed Data To Google Drive,Export Processed Data To Google Drive,1.0
script_173652.txt,Filter Image Collection By Date,Filter Image Collection By Date,1.0
script_173652.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_173652.txt,Calculates Median Of Image Collection,Change Detection,0.2169526297534061
script_173652.txt,Cloud And Shade Masking,Reduction By Statistics,0.20789082168507475
script_173652.txt,Cloud And Cloud Shadow Masking,Temporal Analysis,0.0
script_173652.txt,Layer Addition To Map,Spatial Analysis,0.0
script_174474.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_174474.txt,Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage,1.0
script_174474.txt,Computes Normalized Difference Vegetation Index (NDVI),Vegetation Indices/Index Calculation,0.7363156700282654
script_174474.txt,Cloud And Shade Masking,Image Masking,0.5874868083914289
script_174474.txt,Generate Image Composites,Image Mosaicking,0.3013825953942841
script_174474.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_174747.txt,Export Processed Images To Drive,Export Processed Images To Drive,1.0
script_174747.txt,Filter Image Collection By Date,Filter Image Collection By Date,1.0
script_174747.txt,Generate Time Series Charts Of Temperature Data,Generate Time Series Charts Of Temperature Data,1.0
script_174747.txt,Temperature Calculation,Temperature Calculation,1.0
script_174747.txt,Filtering Administrative Boundaries,Filter Feature Collection,0.3854194811514833
script_174747.txt,Slope calculation,Temporal Analysis,0.0
script_179626.txt,Filter Image Collection,Filter Image Collection,1.0
script_179626.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_179626.txt,Temperature Calculation,Temperature Calculation,1.0
script_179626.txt,Selects Temperature Data,Select Specific Bands From Images,0.7565271894456453
script_179626.txt,Calculates Median Of Image Collection,"Maximum, Minimum And Mean Statistical Analysis",0.7363156700282654
script_179626.txt,Computes Normalized Difference Vegetation Index (NDVI),Vegetation Indices/Index Calculation,0.7363156700282654
script_179626.txt,Enhancing Image Visualization,Data Visualization,0.5832746905033623
script_179626.txt,Cloud And Shade Masking,Spatial Analysis,0.0
script_179626.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_179626.txt,Surface Temperature Calculation,Spatial Analysis,0.0
script_180257.txt,Filter Image Collection By Date,Filter Image Collection By Date,1.0
script_180257.txt,Image Mapping,Image Mapping,1.0
script_180257.txt,Image Masking,Image Masking,1.0
script_180257.txt,Image Preprocessing,Image Preprocessing,1.0
script_180257.txt,Rename Image Bands,Rename Image Bands,1.0
script_180257.txt,Buffering Points,Buffering Features,0.7465929134153629
script_180257.txt,Area Statistics Calculation,Boundary Statistics Calculation,0.18437812756451483
script_180257.txt,Buffering Points To Create Zones For Analysis,Spatial Analysis,0.0
script_186294.txt,Filter Image Collection By Date And Boundaries,Filter Image Collection By Date And Boundaries,1.0
script_186294.txt,Image Masking,Image Masking,1.0
script_186294.txt,Add NDVI Band To Images,Vegetation Indices/Index Calculation,0.3791229426708398
script_186294.txt,Visualize NDVI Results,Export Processed Data To Drive,0.2820107618632349
script_186294.txt,Export Processed Images To Google Drive,Clip Images To A Specific Region,0.0
script_186294.txt,Image Cloud Masking,Spatial Analysis,0.0
script_186319.txt,Filter Image Collection,Filter Image Collection,1.0
script_186319.txt,Image Mosaicking,Image Mosaicking,1.0
script_186319.txt,Export Composite Image,Export Processed Images,0.7560078276350019
script_186319.txt,Export Processed Images To Google Drive,Data Visualization,0.3872099201385448
script_186319.txt,Compute Median Of NDVI,Vegetation Indices/Index Calculation,0.0
script_186319.txt,Export Selected Image,Index Calculation,0.0
script_186320.txt,Export Processed Images To Drive,Export Processed Images To Drive,1.0
script_186320.txt,Filter Image Collection By Date And Boundaries,Filter Image Collection By Date And Boundaries,1.0
script_186320.txt,Image Mosaicking,Image Mosaicking,1.0
script_186320.txt,Computes Normalized Difference Vegetation Index (NDVI),Spectral Index Computation,0.507011304237271
script_186320.txt,Calculate dNBR For Fire Severity,Export Statistics,0.0
