Script_ID,Concept_4,Concept_35,Similarity
script_102957.txt,Clear Pixel Masking,Clear Pixel Masking,1.0
script_102957.txt,Create Median Composite Of Images,Create Median Composite Of Images,1.0
script_102957.txt,Surface Reflectance Correction,Surface Reflectance Correction,1.0
script_102957.txt,Cloud And Cloud Shadow Masking,Cloud And Shade Masking,0.9635516198105758
script_102957.txt,Filter Image Collection By Time,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.21913810292961647
script_102957.txt,Filter Image Collection By Bounds,Spatial Analysis,0.0
script_102957.txt,Filter Image Collection By Date And Region,Spatial Analysis,0.0
script_10376.txt,Filter Image Collection By Date And Boundaries,Filter Image Collection By Date And Boundaries,1.0
script_10376.txt,Visualize Images In Different Band Combinations,Visualize Images In Different Band Combinations,1.0
script_10376.txt,Export Processed Images To Drive,Export Processed Images To Google Drive,0.6077271581200774
script_10376.txt,Surface Reflectance Correction,Apply Scale Factors To Image,0.20635950332702752
script_103827.txt,Generate Image Composites,Creating Monthly Composite,0.7909300922177892
script_103827.txt,Enhancing Image Visualization,Layer Addition To Map,0.42480765933254194
script_103827.txt,Clip Images To A Specific Region,Spatial Analysis,0.0
script_103827.txt,Filter Images By Date,Spatial Analysis,0.0
script_106121.txt,Export Processed Images To Google Drive,Export Processed Images To Google Drive,1.0
script_106121.txt,Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage,1.0
script_106121.txt,Image Reprojection,Image Reprojection,1.0
script_106121.txt,Select Specific Bands From Images,Select Specific Bands From Images,1.0
script_106121.txt,Display Interactive Map,Spatial Analysis,0.0
script_10828.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_10828.txt,Performs Linear Interpolation,Performs Linear Interpolation,1.0
script_10828.txt,Computes Normalized Difference Vegetation Index (NDVI),Calculate Normalized Infrared Vegetation Index (NIRV),0.6570448171389547
script_10828.txt,Interpolate Missing Values,Generate Ratio Images,0.20958657468929595
script_10828.txt,Compute Median Of NDVI,Image Gap Filling,0.1864291782965528
script_10828.txt,Cloud And Shade Masking,Spatial Analysis,0.0
script_10828.txt,Export Results,Spatial Analysis,0.0
script_10828.txt,Filter Feature Collection,Spatial Analysis,0.0
script_10828.txt,Filter Image Collection,Spatial Analysis,0.0
script_10828.txt,Reduction Of Image Regions,Spatial Analysis,0.0
script_110133.txt,Flood Area Calculation,Flood Area Calculation,1.0
script_118175.txt,Apply Scale Factors To Image,Apply Scale Factors To Image,1.0
script_118175.txt,Calculates Modified Normalized Difference Water Index (MNDWI),Calculates Modified Normalized Difference Water Index (MNDWI),1.0
script_118175.txt,Calculates Normalized Difference Water Index (NDWI),Calculates Normalized Difference Water Index (NDWI),1.0
script_118175.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_118175.txt,Geometric Index Calculation,Topographic Wetness Index (TWI) Computation,0.1961758501855679
script_118175.txt,Clip Images To A Specific Region,Elevation Data Extraction,0.19037464192620718
script_118175.txt,Compute Maximum Values,Computes Normalized Difference Vegetation Index (NDVI),0.0
script_118175.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_118175.txt,Filter Image Collection By Time,Spatial Analysis,0.0
script_118175.txt,Filter Images By Cloud Cover,Spatial Analysis,0.0
script_118175.txt,Image Mosaicking,Spatial Analysis,0.0
script_118175.txt,Quality Mosaic Generation,Spatial Analysis,0.0
script_119133.txt,Calculate Difference Normalized Burn Ratio (dNBR),Calculate Difference Normalized Burn Ratio (dNBR),1.0
script_119133.txt,Training Data Creation,Training Data Creation,1.0
script_119133.txt,Cluster Analysis,Image Clustering,0.8233713144401191
script_119133.txt,Compute Difference Between Pre- And Post-Fire NBR,Calculate Normalized Burn Ratio (NBR) For Images,0.6828373393145643
script_119133.txt,Generate Visualizations And Statistical Charts For Classification Results,Data Visualization,0.5317733083190554
script_119133.txt,Apply Mask To Classification Results,Statistics Calculation,0.262097576064572
script_119133.txt,Severity Classification,Image Differencing,0.1811823883310224
script_11983.txt,Anomaly Calculation,Anomaly Calculation,1.0
script_11983.txt,Computes Normalized Difference Vegetation Index (NDVI),Computes Normalized Difference Vegetation Index (NDVI),1.0
script_11983.txt,Cloud And Shade Masking,Image Cloud Masking,0.821964979616698
script_11983.txt,Filter Image Collection,Filter And Composite,0.49471166134169203
script_11983.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_11983.txt,Creates Animation Of NDVI Over Time,Spatial Analysis,0.0
script_11983.txt,Filter Image Collection By Date And Boundaries,Spatial Analysis,0.0
script_11983.txt,Generate Image Composites,Spatial Analysis,0.0
script_11983.txt,Generate Time Series Charts,Spatial Analysis,0.0
script_11983.txt,Generate Time Series Charts For NDVI,Spatial Analysis,0.0
script_11983.txt,Image Differencing,Spatial Analysis,0.0
script_120271.txt,Add NDVI Band To Images,Add NDVI Band To Images,1.0
script_120271.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_120271.txt,Create Median Composite Of Images,Create Median Composite Of Images,1.0
script_120271.txt,Image Scaling,Reduction Of Image Regions,0.46544425978441595
script_120271.txt,Visualize NDVI Results,Layer Addition To Map,0.43877028632535203
script_120271.txt,Calculates Median Of Image Collection,Spatial Analysis,0.0
script_120271.txt,Filter Image Collection By Cloud Coverage,Spatial Analysis,0.0
script_120271.txt,Gradient Calculation,Spatial Analysis,0.0
script_120557.txt,Cloud And Shade Masking,Image Cloud Masking,0.821964979616698
script_120557.txt,Decision Tree Classification,Training And Sampling For Land Cover Classification,0.538578753509965
script_120557.txt,Filter Image Collection By Region,Filter Images By Region,0.3854194811514833
script_125294.txt,Export Processed Images To Google Drive,Export Processed Images To Google Drive,1.0
script_125294.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_125294.txt,Reduce Image Collection To Minimum Value,Reduction Of Image Collection,0.7120680206385149
script_125294.txt,Visualize Images In Different Band Combinations,Data Visualization,0.5317733083190554
script_125294.txt,Clip Images To A Specific Region,Image Fraction Calculation,0.20297846508477355
script_125294.txt,Export Processed Images To Drive,Spatial Analysis,0.0
script_125294.txt,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,Spatial Analysis,0.0
script_125294.txt,Filter Image Collection By Cloud Coverage,Spatial Analysis,0.0
script_144864.txt,Area Calculation,Area Calculation,1.0
script_144864.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_144864.txt,Land Cover Classification And Mapping,Land Cover Classification And Mapping,1.0
script_144864.txt,Filter Image Collection By Cloud Coverage,Filtering Administrative Boundaries,0.3854194811514833
script_144864.txt,Compute Median Of NDVI,Image Mosaicking,0.0
script_144864.txt,Computes Normalized Difference Vegetation Index (NDVI),Spatial Analysis,0.0
script_146128.txt,Merge Feature Collections,Merge Feature Collections,1.0
script_146128.txt,Training CART Classifier,Training CART Classifier,1.0
script_146128.txt,Filter Images By Region,Filter Images By Cloud Cover,0.6643348681537271
script_146128.txt,Training Data Creation,Sampling Regions For Training Data,0.5514307154199041
script_146128.txt,Classification,Run Algorithm For Change Detection,0.2356205628454307
script_146128.txt,Filter Image Collection By Date,Spatial Analysis,0.0
script_146128.txt,Sort Image Collections By Cloud Cover,Spatial Analysis,0.0
script_146128.txt,Trains And Applies Classifier,Spatial Analysis,0.0
script_15043.txt,Accuracy Assessment,Accuracy Assessment,1.0
script_15043.txt,Feature Importance Calculation,Feature Importance Calculation,1.0
script_15043.txt,Sampling Regions For Training Data,Sampling Regions For Training Data,1.0
script_15043.txt,Training CART Classifier,Training CART Classifier,1.0
script_15043.txt,Visualize NDVI Results,Visualize NDVI Results,1.0
script_15043.txt,Split Data Into Training And Testing Sets,Classify Images Based On Training Data,0.3876062866636363
script_15043.txt,Feature Importance Analysis,Spatial Analysis,0.0
script_15043.txt,Generate Visualizations And Statistical Charts For Classification Results,Spatial Analysis,0.0
script_15043.txt,Generating Confusion Matrix,Spatial Analysis,0.0
script_15043.txt,Train And Apply Random Forest Classifier,Spatial Analysis,0.0
script_155017.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_155017.txt,Reduction Of Image Regions,Reduction Of Image Regions,1.0
script_155017.txt,Filter Image Collection By Bounds,Filter Image Collection By Date And Boundaries,0.6784350724019818
script_155017.txt,Derive Land Surface Temperature Using Thermal Properties,Exporting Prediction Results,0.644957202211819
script_155017.txt,Convert And Format Spatial Data For Export,Converts Joined Data To Image Collection,0.6424090971549627
script_155017.txt,Export Time Series Data,Scaling Image Values,0.0
script_155017.txt,Filter Image Collection By Date,Spatial Analysis,0.0
script_165234.txt,Add Date Information To Images,Add Date Information To Images,1.0
script_165234.txt,Compute Median Of NDVI,Compute Median Of NDVI,1.0
script_165234.txt,Scaling Image Values,Scaling index/indices values,0.9531646011821682
script_165234.txt,Visualize NDVI Results,Visualize NDVI And Date Information,0.9043859459422203
script_165234.txt,Creating Monthly Composite,Addition Of NDVI,0.3921727879160602
script_165234.txt,Filtering Pixels,Cloud Filtering,0.3854194811514833
script_165234.txt,Add Date Bands To Images,Spatial Analysis,0.0
script_165234.txt,Cloud And Shade Masking,Spatial Analysis,0.0
script_165234.txt,Computes Normalized Difference Vegetation Index (NDVI),Spatial Analysis,0.0
script_165234.txt,Filter Image Collection By Year,Spatial Analysis,0.0
script_165234.txt,Filter Images By Month,Spatial Analysis,0.0
script_165234.txt,Image Cloud Masking,Spatial Analysis,0.0
script_165234.txt,Quality Mosaic Generation,Spatial Analysis,0.0
script_165234.txt,Vegetation Indices/Index Calculation,Spatial Analysis,0.0
script_173652.txt,Calculates Median Of Image Collection,Calculates Median Values,0.8769691252067208
script_173652.txt,Clip Images To A Specific Region,Clip Images,0.7524467025979407
