Script_ID,Concept_4,Concept_35,Similarity
script_102957.txt,Clear Pixel Masking,Clear Pixel Masking,1.0
script_102957.txt,Create Median Composite Of Images,Create Median Composite Of Images,1.0
script_102957.txt,Cloud And Cloud Shadow Masking,Image Cloud Masking,0.7868994278164562
script_102957.txt,Filter Image Collection By Time,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.21913810292961647
script_102957.txt,Surface Reflectance Correction,Reflectance Value Scaling,0.18437812756451483
script_102957.txt,Filter Image Collection By Bounds,Spatial Analysis,0.0
script_102957.txt,Filter Image Collection By Date And Region,Spatial Analysis,0.0
script_10376.txt,Filter Image Collection By Date And Boundaries,Filter Image Collection By Date And Boundaries,1.0
script_10376.txt,Visualize Images In Different Band Combinations,Visualize Images In Different Band Combinations,1.0
script_10376.txt,Export Processed Images To Drive,Export Processed Images To Google Drive,0.6077271581200774
script_10376.txt,Surface Reflectance Correction,Apply Scale Factors To Features,0.18437812756451483
script_103827.txt,Enhancing Image Visualization,Layer Addition To Map,0.42480765933254194
script_103827.txt,Clip Images To A Specific Region,Displays Composite Image,0.0
script_103827.txt,Filter Images By Date,Display Interactive Map,0.0
script_103827.txt,Generate Image Composites,Spatial Analysis,0.0
script_106121.txt,Export Processed Images To Google Drive,Export Processed Images To Google Drive,1.0
script_106121.txt,Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage,1.0
script_106121.txt,Image Reprojection,Image Reprojection,1.0
script_106121.txt,Select Specific Bands From Images,Select Specific Bands From Images,1.0
script_106121.txt,Display Interactive Map,Image Mapping,0.44255002318223063
script_10828.txt,Performs Linear Interpolation,Performs Linear Interpolation,1.0
script_10828.txt,Computes Normalized Difference Vegetation Index (NDVI),Calculate Normalized Infrared Vegetation Index (NIRV),0.6570448171389547
script_10828.txt,Reduction Of Image Regions,Image Segmentation,0.46544425978441595
script_10828.txt,Filter Image Collection,Area Of Interest Selection,0.27995349647222584
script_10828.txt,Image Cloud Masking,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.2339457269383913
script_10828.txt,Cloud And Shade Masking,Spatial Analysis,0.0
script_10828.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_10828.txt,Export Results,Spatial Analysis,0.0
script_10828.txt,Filter Feature Collection,Spatial Analysis,0.0
script_10828.txt,Interpolate Missing Values,Spatial Analysis,0.0
script_110133.txt,Flood Area Calculation,Flood Area Calculation,1.0
script_118175.txt,Calculates Modified Normalized Difference Water Index (MNDWI),Calculates Modified Normalized Difference Water Index (MNDWI),1.0
script_118175.txt,Calculates Normalized Difference Water Index (NDWI),Calculates Normalized Difference Water Index (NDWI),1.0
script_118175.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_118175.txt,Image Mosaicking,Filter And Mosaic Landsat Images,0.7711066538313891
script_118175.txt,Quality Mosaic Generation,Image Addition,0.2705322463941391
script_118175.txt,Apply Scale Factors To Image,Computes Normalized Difference Vegetation Index (NDVI),0.0
script_118175.txt,Clip Images To A Specific Region,Calculate Normalized Difference Water Body Index (NDWBI),0.0
script_118175.txt,Compute Maximum Values,Spatial Analysis,0.0
script_118175.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_118175.txt,Filter Image Collection By Time,Spatial Analysis,0.0
script_118175.txt,Filter Images By Cloud Cover,Spatial Analysis,0.0
script_118175.txt,Geometric Index Calculation,Spatial Analysis,0.0
script_119133.txt,Calculate Difference Normalized Burn Ratio (dNBR),Calculate Difference Normalized Burn Ratio (dNBR),1.0
script_119133.txt,Cluster Analysis,Cluster Analysis,1.0
script_119133.txt,Training Data Creation,Training Data Creation,1.0
script_119133.txt,Apply Mask To Classification Results,Classify Images Based On Training Data,0.565042756352879
script_119133.txt,Compute Difference Between Pre- And Post-Fire NBR,Difference Calculation,0.54761874850676
script_119133.txt,Generate Visualizations And Statistical Charts For Classification Results,Data Visualization,0.5317733083190554
script_119133.txt,Severity Classification,Statistics Calculation,0.24498558837640158
script_11983.txt,Computes Normalized Difference Vegetation Index (NDVI),Computes Normalized Difference Vegetation Index (NDVI),1.0
script_11983.txt,Image Differencing,Image Differencing,1.0
script_11983.txt,Cloud And Shade Masking,Image Cloud Masking,0.821964979616698
script_11983.txt,Filter Image Collection,Image Preprocessing,0.39090994339269797
script_11983.txt,Anomaly Calculation,Spatial Analysis,0.0
script_11983.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_11983.txt,Creates Animation Of NDVI Over Time,Spatial Analysis,0.0
script_11983.txt,Filter Image Collection By Date And Boundaries,Spatial Analysis,0.0
script_11983.txt,Generate Image Composites,Spatial Analysis,0.0
script_11983.txt,Generate Time Series Charts,Spatial Analysis,0.0
script_11983.txt,Generate Time Series Charts For NDVI,Spatial Analysis,0.0
script_120271.txt,Add NDVI Band To Images,Add NDVI Band To Images,1.0
script_120271.txt,Calculates Median Of Image Collection,Calculates Median Of Image Collection,1.0
script_120271.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_120271.txt,Gradient Calculation,Calculate Area Statistics,0.48832627454943955
script_120271.txt,Visualize NDVI Results,Layer Addition To Map,0.43877028632535203
script_120271.txt,Create Median Composite Of Images,Display Selected Band,0.0
script_120271.txt,Filter Image Collection By Cloud Coverage,Spatial Analysis,0.0
script_120271.txt,Image Scaling,Spatial Analysis,0.0
script_120557.txt,Decision Tree Classification,Decision Tree Classification,1.0
script_120557.txt,Cloud And Shade Masking,Cloud Probability Masking,0.6977423976319923
script_120557.txt,Filter Image Collection By Region,Filter Feature Collection,0.3854194811514833
script_125294.txt,Export Processed Images To Google Drive,Export Processed Images To Google Drive,1.0
script_125294.txt,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,1.0
script_125294.txt,Filter Image Collection By Cloud Coverage,Filter Image Collection,0.8084138416281831
script_125294.txt,Visualize Images In Different Band Combinations,Visualize Data Layers,0.39681768044969234
script_125294.txt,Clip Images To A Specific Region,Image Fraction Calculation,0.20297846508477355
script_125294.txt,Export Processed Images To Drive,Spatial Analysis,0.0
script_125294.txt,Image Cloud Masking,Spatial Analysis,0.0
script_125294.txt,Reduce Image Collection To Minimum Value,Spatial Analysis,0.0
script_144864.txt,Computes Normalized Difference Vegetation Index (NDVI),Computes Normalized Difference Vegetation Index (NDVI),1.0
script_144864.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_144864.txt,Compute Median Of NDVI,Area Statistics Calculation,0.3878833174254315
script_144864.txt,Filter Image Collection By Cloud Coverage,Filtering Administrative Boundaries,0.3854194811514833
script_144864.txt,Area Calculation,Image Aggregation,0.0
script_144864.txt,Land Cover Classification And Mapping,Spatial Analysis,0.0
script_146128.txt,Merge Feature Collections,Merge Feature Collections,1.0
script_146128.txt,Training CART Classifier,Training CART Classifier,1.0
script_146128.txt,Classification,Classify Images Based On Training Data,0.7220796416701547
script_146128.txt,Filter Images By Region,Filter Images By Cloud Cover,0.6643348681537271
script_146128.txt,Training Data Creation,Sampling Regions For Training Data,0.5514307154199041
script_146128.txt,Filter Image Collection By Date,Spatial Analysis,0.0
script_146128.txt,Sort Image Collections By Cloud Cover,Spatial Analysis,0.0
script_146128.txt,Trains And Applies Classifier,Spatial Analysis,0.0
script_15043.txt,Accuracy Assessment,Accuracy Assessment,1.0
script_15043.txt,Feature Importance Calculation,Feature Importance Calculation,1.0
script_15043.txt,Sampling Regions For Training Data,Sampling Regions For Training Data,1.0
script_15043.txt,Visualize NDVI Results,Visualize NDVI Results,1.0
script_15043.txt,Split Data Into Training And Testing Sets,Classify Images Based On Training Data,0.3876062866636363
script_15043.txt,Train And Apply Random Forest Classifier,Validating Classification,0.369452591643446
script_15043.txt,Feature Importance Analysis,Spatial Analysis,0.0
script_15043.txt,Generate Visualizations And Statistical Charts For Classification Results,Spatial Analysis,0.0
script_15043.txt,Generating Confusion Matrix,Spatial Analysis,0.0
script_15043.txt,Training CART Classifier,Spatial Analysis,0.0
script_155017.txt,Clip Images To A Specific Region,Clip Images To Specific Geographic Boundaries,0.7817204997538865
script_155017.txt,Derive Land Surface Temperature Using Thermal Properties,Export Results,0.7109658812554864
script_155017.txt,Convert And Format Spatial Data For Export,Converts Joined Data To Image Collection,0.6424090971549627
script_155017.txt,Reduction Of Image Regions,Mean Reduction,0.43745313719056117
script_155017.txt,Filter Image Collection By Bounds,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.20789082168507475
script_155017.txt,Export Time Series Data,Scaling index/indices values,0.0
script_155017.txt,Filter Image Collection By Date,Spatial Analysis,0.0
script_165234.txt,Computes Normalized Difference Vegetation Index (NDVI),Computes Normalized Difference Vegetation Index (NDVI),1.0
script_165234.txt,Visualize NDVI Results,Visualize NDVI Results,1.0
script_165234.txt,Scaling Image Values,Apply Scale Factors To Features,0.786960373444224
script_165234.txt,Quality Mosaic Generation,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.6344607248672459
script_165234.txt,Compute Median Of NDVI,Elevation Data Extraction,0.1757427044267457
script_165234.txt,Add Date Bands To Images,Visualize NDVI And Date Information,0.0
script_165234.txt,Add Date Information To Images,Spatial Analysis,0.0
script_165234.txt,Cloud And Shade Masking,Spatial Analysis,0.0
script_165234.txt,Creating Monthly Composite,Spatial Analysis,0.0
script_165234.txt,Filter Image Collection By Year,Spatial Analysis,0.0
script_165234.txt,Filter Images By Month,Spatial Analysis,0.0
script_165234.txt,Filtering Pixels,Spatial Analysis,0.0
script_165234.txt,Image Cloud Masking,Spatial Analysis,0.0
script_165234.txt,Vegetation Indices/Index Calculation,Spatial Analysis,0.0
