Script_ID,Concept_4,Concept_35,Similarity
script_102957.txt,Create Median Composite Of Images,Create Median Composite Of Images,1.0
script_102957.txt,Filter Image Collection By Bounds,Filter Image Collection By Bounds,1.0
script_102957.txt,Filter Image Collection By Time,Filter Image Collection By Time,1.0
script_102957.txt,Cloud And Cloud Shadow Masking,Cloud And Shade Masking,0.9635516198105758
script_102957.txt,Clear Pixel Masking,Data Conversion,0.0
script_102957.txt,Filter Image Collection By Date And Region,Spatial Analysis,0.0
script_102957.txt,Surface Reflectance Correction,Spatial Analysis,0.0
script_10376.txt,Filter Image Collection By Date And Boundaries,Filter Image Collection,0.8084138416281831
script_10376.txt,Export Processed Images To Drive,Export Composite Image,0.6077271581200774
script_10376.txt,Visualize Images In Different Band Combinations,Enhancing Image Visualization,0.38536259942904805
script_10376.txt,Surface Reflectance Correction,Clip Images,0.23560561492717846
script_103827.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_103827.txt,Enhancing Image Visualization,Enhancing Image Visualization,1.0
script_103827.txt,Generate Image Composites,Generate Image Composites,1.0
script_103827.txt,Filter Images By Date,Select Specific Polarization From Images,0.2205321420798927
script_106121.txt,Export Processed Images To Google Drive,Export Processed Images To Google Drive,1.0
script_106121.txt,Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage,1.0
script_106121.txt,Image Reprojection,Image Reprojection,1.0
script_106121.txt,Select Specific Bands From Images,Select Specific Bands From Images,1.0
script_106121.txt,Display Interactive Map,Image Mapping,0.44255002318223063
script_10828.txt,Cloud And Shade Masking,Cloud And Shade Masking,1.0
script_10828.txt,Computes Normalized Difference Vegetation Index (NDVI),Computes Normalized Difference Vegetation Index (NDVI),1.0
script_10828.txt,Export Results,Export Results,1.0
script_10828.txt,Filter Feature Collection,Filter Feature Collection,1.0
script_10828.txt,Filter Image Collection,Filter Image Collection,1.0
script_10828.txt,Performs Linear Interpolation,Performs Linear Interpolation,1.0
script_10828.txt,Reduction Of Image Regions,Reduction Of Image Regions,1.0
script_10828.txt,Compute Median Of NDVI,Spatial Analysis,0.0
script_10828.txt,Image Cloud Masking,Spatial Analysis,0.0
script_10828.txt,Interpolate Missing Values,Spatial Analysis,0.0
script_118175.txt,Apply Scale Factors To Image,Apply Scale Factors To Image,1.0
script_118175.txt,Calculates Normalized Difference Water Index (NDWI),Calculates Normalized Difference Water Index (NDWI),1.0
script_118175.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_118175.txt,Filter Image Collection By Time,Filter Image Collection By Time,1.0
script_118175.txt,Geometric Index Calculation,Geometric Index Calculation,1.0
script_118175.txt,Image Cloud Masking,Image Cloud Masking,1.0
script_118175.txt,Calculates Modified Normalized Difference Water Index (MNDWI),Image Index Calculation,0.6397768915364859
script_118175.txt,Filter Images By Cloud Cover,Filter Image Collection By Cloud Coverage,0.3854194811514833
script_118175.txt,Image Mosaicking,Generate Image Composites,0.3013825953942841
script_118175.txt,Quality Mosaic Generation,Reduction Of Image Collection,0.2320617451681777
script_118175.txt,Compute Maximum Values,Endmember extraction,0.18437812756451483
script_118175.txt,Compute Median Of NDVI,Computes Normalized Difference Vegetation Index (NDVI),0.0
script_119133.txt,Apply Mask To Classification Results,Apply Mask To Classification Results,1.0
script_119133.txt,Calculate Difference Normalized Burn Ratio (dNBR),Calculate Difference Normalized Burn Ratio (dNBR),1.0
script_119133.txt,Cluster Analysis,Cluster Analysis,1.0
script_119133.txt,Training Data Creation,Training Data Creation,1.0
script_119133.txt,Severity Classification,Classification,0.6794171134642548
script_119133.txt,Compute Difference Between Pre- And Post-Fire NBR,Statistics Calculation,0.24498558837640158
script_119133.txt,Generate Visualizations And Statistical Charts For Classification Results,Filter And Visualize,0.0
script_11983.txt,Anomaly Calculation,Anomaly Calculation,1.0
script_11983.txt,Cloud And Shade Masking,Cloud And Shade Masking,1.0
script_11983.txt,Computes Normalized Difference Vegetation Index (NDVI),Computes Normalized Difference Vegetation Index (NDVI),1.0
script_11983.txt,Generate Time Series Charts,Generate Time Series Charts,1.0
script_11983.txt,Image Differencing,Image Differencing,1.0
script_11983.txt,Filter Image Collection,Filter Image Collection By Bounds,0.8084138416281831
script_11983.txt,Generate Image Composites,Creating Annual Composite,0.7909300922177892
script_11983.txt,Filter Image Collection By Date And Boundaries,Filter Images By Date,0.36736820603959175
script_11983.txt,Compute Median Of NDVI,Spatial Clipping,0.1987506885066105
script_11983.txt,Creates Animation Of NDVI Over Time,Spatial Analysis,0.0
script_11983.txt,Generate Time Series Charts For NDVI,Spatial Analysis,0.0
script_120271.txt,Calculates Median Of Image Collection,Calculates Median Of Image Collection,1.0
script_120271.txt,Clip Images To A Specific Region,Clip Images To A Specific Region,1.0
script_120271.txt,Filter Image Collection By Cloud Coverage,Filter Image Collection By Cloud Coverage,1.0
script_120271.txt,Gradient Calculation,Gradient Calculation,1.0
script_120271.txt,Image Scaling,Image Scaling,1.0
script_120271.txt,Visualize NDVI Results,Visualize Boundary,0.42480765933254194
script_120271.txt,Add NDVI Band To Images,Calculate Data For Specific Spectral Bands,0.0
script_120271.txt,Create Median Composite Of Images,Calculate Area Statistics,0.0
script_120557.txt,Decision Tree Classification,Decision Tree Classification,1.0
script_120557.txt,Filter Image Collection By Region,Filter Image Collection By Region,1.0
script_120557.txt,Cloud And Shade Masking,Filtering Pixels,0.20789082168507475
